sector_code,sector_name,nipa_industry,nipa_industry_name,sic_range,classification,productive_share,uncertain,source,notes
1,Dairy farm products,1,"Agriculture, forestry, fishing",01,productive,1.0,false,"ST2 io_85_to_nipa_13 (Mohun 2013 Tables 2-3 + BEA 1967 85-sector plan)",
2,Poultry & eggs,1,"Agriculture, forestry, fishing",01,productive,1.0,false,"ST2 io_85_to_nipa_13",
3,Meat animals & misc livestock,1,"Agriculture, forestry, fishing",01,productive,1.0,false,"ST2 io_85_to_nipa_13",
4,"Cotton, food grains, tobacco, fruits, vegetables",1,"Agriculture, forestry, fishing",01-02,productive,1.0,false,"ST2 io_85_to_nipa_13",
5,Coal mining,2,Mining,11-12,productive,1.0,false,"ST2 io_85_to_nipa_13",
6,Crude petroleum & natural gas,2,Mining,13,productive,1.0,false,"ST2 io_85_to_nipa_13",
7,Stone & clay mining,2,Mining,14,productive,1.0,false,"ST2 io_85_to_nipa_13",
8,Chemical & fertilizer mineral mining,2,Mining,14,productive,1.0,false,"ST2 io_85_to_nipa_13",
9,New construction,3,Construction,15-17,productive,1.0,false,"ST2 io_85_to_nipa_13",
10,Maintenance & repair construction,3,Construction,15-17,productive,1.0,false,"ST2 io_85_to_nipa_13",
11,Ordnance & accessories,4,Manufacturing (durable goods),19,productive,1.0,false,"ST2 io_85_to_nipa_13",
12,Meat products,4,Manufacturing (durable goods),20,productive,1.0,false,"ST2 io_85_to_nipa_13",
13,Dairy products,4,Manufacturing (durable goods),20,productive,1.0,false,"ST2 io_85_to_nipa_13",
14,Canned & frozen foods,4,Manufacturing (durable goods),20,productive,1.0,false,"ST2 io_85_to_nipa_13",
15,Grain mill products,4,Manufacturing (durable goods),20,productive,1.0,false,"ST2 io_85_to_nipa_13",
16,Bakery products,4,Manufacturing (durable goods),20,productive,1.0,false,"ST2 io_85_to_nipa_13",
17,Sugar,4,Manufacturing (durable goods),20,productive,1.0,false,"ST2 io_85_to_nipa_13",
18,Confectionery products,4,Manufacturing (durable goods),20,productive,1.0,false,"ST2 io_85_to_nipa_13",
19,Alcoholic beverages,4,Manufacturing (durable goods),20,productive,1.0,false,"ST2 io_85_to_nipa_13",
20,Soft drinks & flavorings,4,Manufacturing (durable goods),20,productive,1.0,false,"ST2 io_85_to_nipa_13",
21,Tobacco manufactures,4,Manufacturing (durable goods),21,productive,1.0,false,"ST2 io_85_to_nipa_13",
22,Fabrics & yarn,4,Manufacturing (durable goods),22-23,productive,1.0,false,"ST2 io_85_to_nipa_13",
23,"Floor covering, misc textiles",4,Manufacturing (durable goods),22-23,productive,1.0,false,"ST2 io_85_to_nipa_13",
24,Lumber & wood products,4,Manufacturing (durable goods),24,productive,1.0,false,"ST2 io_85_to_nipa_13",
25,Wooden containers,4,Manufacturing (durable goods),24,productive,1.0,false,"ST2 io_85_to_nipa_13",
26,Household furniture,4,Manufacturing (durable goods),25,productive,1.0,false,"ST2 io_85_to_nipa_13",
27,Other furniture & fixtures,4,Manufacturing (durable goods),25,productive,1.0,false,"ST2 io_85_to_nipa_13",
28,Paper & paperboard,4,Manufacturing (durable goods),26,productive,1.0,false,"ST2 io_85_to_nipa_13",
29,Paper containers & products,4,Manufacturing (durable goods),26,productive,1.0,false,"ST2 io_85_to_nipa_13",
30,Printing & publishing,4,Manufacturing (durable goods),27,productive,1.0,false,"ST2 io_85_to_nipa_13",
31,Basic chemicals,4,Manufacturing (durable goods),28,productive,1.0,false,"ST2 io_85_to_nipa_13",
32,Synthetic materials,4,Manufacturing (durable goods),28,productive,1.0,false,"ST2 io_85_to_nipa_13",
33,"Drugs, cleaning & toilet items",4,Manufacturing (durable goods),28,productive,1.0,false,"ST2 io_85_to_nipa_13",
34,Paints & allied products,4,Manufacturing (durable goods),28,productive,1.0,false,"ST2 io_85_to_nipa_13",
35,Petroleum refining,4,Manufacturing (durable goods),29,productive,1.0,false,"ST2 io_85_to_nipa_13",
36,Rubber & plastic products,4,Manufacturing (durable goods),30,productive,1.0,false,"ST2 io_85_to_nipa_13",
37,Leather tanning & finishing,4,Manufacturing (durable goods),31,productive,1.0,false,"ST2 io_85_to_nipa_13",
38,Footwear & leather products,4,Manufacturing (durable goods),31,productive,1.0,false,"ST2 io_85_to_nipa_13",
39,Glass & glass products,5,Manufacturing (nondurable goods),32,productive,1.0,false,"ST2 io_85_to_nipa_13",
40,Stone & clay products,5,Manufacturing (nondurable goods),32,productive,1.0,false,"ST2 io_85_to_nipa_13",
41,Primary iron & steel,5,Manufacturing (nondurable goods),33,productive,1.0,false,"ST2 io_85_to_nipa_13",
42,Primary nonferrous metals,5,Manufacturing (nondurable goods),33,productive,1.0,false,"ST2 io_85_to_nipa_13",
43,Metal containers,5,Manufacturing (nondurable goods),34,productive,1.0,false,"ST2 io_85_to_nipa_13",
44,"Heating, plumbing, structural metal",5,Manufacturing (nondurable goods),34,productive,1.0,false,"ST2 io_85_to_nipa_13",
45,Screw machine products,5,Manufacturing (nondurable goods),34,productive,1.0,false,"ST2 io_85_to_nipa_13",
46,Other fabricated metal products,5,Manufacturing (nondurable goods),34,productive,1.0,false,"ST2 io_85_to_nipa_13",
47,Engines & turbines,5,Manufacturing (nondurable goods),35,productive,1.0,false,"ST2 io_85_to_nipa_13",
48,Farm machinery,5,Manufacturing (nondurable goods),35,productive,1.0,false,"ST2 io_85_to_nipa_13",
49,Construction & mining machinery,5,Manufacturing (nondurable goods),35,productive,1.0,false,"ST2 io_85_to_nipa_13",
50,Materials handling equipment,5,Manufacturing (nondurable goods),35,productive,1.0,false,"ST2 io_85_to_nipa_13",
51,Metalworking machinery,5,Manufacturing (nondurable goods),35,productive,1.0,false,"ST2 io_85_to_nipa_13",
52,Special industry machinery,5,Manufacturing (nondurable goods),35,productive,1.0,false,"ST2 io_85_to_nipa_13",
53,General industrial machinery,5,Manufacturing (nondurable goods),35,productive,1.0,false,"ST2 io_85_to_nipa_13",
54,Machine shop products,5,Manufacturing (nondurable goods),35,productive,1.0,false,"ST2 io_85_to_nipa_13",
55,Office & computing machines,5,Manufacturing (nondurable goods),35-36,productive,1.0,false,"ST2 io_85_to_nipa_13",
56,Service industry machines,5,Manufacturing (nondurable goods),35-36,productive,1.0,false,"ST2 io_85_to_nipa_13",
57,Electric industrial equipment,5,Manufacturing (nondurable goods),36,productive,1.0,false,"ST2 io_85_to_nipa_13",
58,Household appliances,5,Manufacturing (nondurable goods),36,productive,1.0,false,"ST2 io_85_to_nipa_13",
59,Electric lighting & wiring,5,Manufacturing (nondurable goods),36,productive,1.0,false,"ST2 io_85_to_nipa_13",
60,"Radio, TV, communication equipment",5,Manufacturing (nondurable goods),36,productive,1.0,false,"ST2 io_85_to_nipa_13",
61,Electronic components,5,Manufacturing (nondurable goods),36,productive,1.0,false,"ST2 io_85_to_nipa_13",
62,Misc electrical machinery,5,Manufacturing (nondurable goods),36,productive,1.0,false,"ST2 io_85_to_nipa_13",
63,Motor vehicles & equipment,5,Manufacturing (nondurable goods),37,productive,1.0,false,"ST2 io_85_to_nipa_13",
64,Aircraft & parts,5,Manufacturing (nondurable goods),37,productive,1.0,false,"ST2 io_85_to_nipa_13",
65,Transportation & warehousing,6,Transportation,40-47,productive,1.0,false,"ST2 io_85_to_nipa_13",
66,Communications except radio & TV,7,Communications,48,productive,1.0,false,"ST2 io_85_to_nipa_13",
67,Radio & TV broadcasting,7,Communications,48,productive,1.0,false,"ST2 io_85_to_nipa_13",
68,"Electric, gas, water & sanitary services",8,"Electric, gas utilities",49,productive,1.0,false,"ST2 io_85_to_nipa_13",
69,Wholesale trade,9,Wholesale trade,50-51,unproductive,0.0,false,"ST2 io_85_to_nipa_13 (ST 1994 Ch3.1: trade realizes value, does not create it)",
70,Retail trade,10,Retail trade,52-59,unproductive,0.0,false,"ST2 io_85_to_nipa_13 (ST 1994 Ch3.1: trade)",
71,Finance & insurance,11,"Finance, insurance, real estate",60-67,unproductive,0.0,false,"ST2 io_85_to_nipa_13 (ST 1994 Ch3.2: finance is secondary)",
72,Real estate & rental,11,"Finance, insurance, real estate",65,unproductive,0.0,false,"ST2 io_85_to_nipa_13 (ST 1994 Ch3.2)",
73,Hotels & personal services,12,Services,70,productive,1.0,false,"ST2 io_85_to_nipa_13 (use-value production)",
74,Business services,12,Services,73,unproductive,0.0,false,"ST2 io_85_to_nipa_13 (Mohun 2013: advertising, accounting, personnel)",
75,Eating & drinking places,12,Services,58,productive,1.0,false,"ST2 io_85_to_nipa_13",
76,Automobile repair & services,12,Services,75,productive,1.0,false,"ST2 io_85_to_nipa_13",
77,Amusements,12,Services,79,productive,1.0,false,"ST2 io_85_to_nipa_13",
78,"Medical, educational services & nonprofit orgs",12,Services,80,productive,1.0,false,"ST2 io_85_to_nipa_13",
79,Federal government enterprises,12,Services,gov,productive,1.0,false,"ST2 io_85_to_nipa_13 (govt enterprises produce use values)",
80,State & local government enterprises,13,Government,gov,productive,1.0,false,"ST2 io_85_to_nipa_13",
81,Gross imports of goods & services,13,Government,import,n/a,,true,"ST2 io_85_to_nipa_13","Special sector — imports; not labor-bearing; exclude from productive labor calculations"
82,"Business travel, entertainment, gifts",13,Government,special,unproductive,0.0,false,"ST2 io_85_to_nipa_13","Special intermediate use category"
83,Office supplies,13,Government,special,unproductive,0.0,false,"ST2 io_85_to_nipa_13","Special intermediate use category"
84,"Scrap, used & secondhand goods",13,Government,special,n/a,,true,"ST2 io_85_to_nipa_13","Special sector — scrap; not labor-bearing"
85,Government industry,13,Government,gov,mixed,0.167,true,"ST2 io_85_to_nipa_13 (NIPA industry 13 weighted: 1 productive / 6 total = 16.7% per CONCORDANCE_METHODOLOGY.md)","Aggregate government industry; per ST 1994 Ch3.2 general government is secondary (unproductive); but includes some productive govt activities; fractional share is order-of-magnitude proxy and SHOULD be refined with BLS production-worker ratios at use time"
