Table 6.1: Taxes Paid by Workers,,,,,,
"Source: NIPA Tables 3.1, 3.2, 3.3, 2.1 via BEA API",,,,,,
year,personal_income_tax_workers,social_insurance_workers,sales_excise_tax_workers,property_tax_workers,total_tax_workers,worker_share
1952,22784.9,6923.0,19307.9,4192.5,53208.3,0.7119
1953,23912.2,7106.0,20933.4,4548.0,56499.6,0.7193
1954,21369.9,8074.0,20469.3,4836.5,54749.7,0.7086
1955,23372.3,9091.0,22382.2,5224.0,60069.4,0.7113
1956,26217.7,9987.0,24531.1,5726.5,66462.3,0.7165
1957,27747.3,11413.0,26127.5,6304.5,71592.3,0.7136
1958,26922.9,11384.0,26344.6,6882.0,71533.4,0.6984
1959,30003.7,13834.0,29126.0,7406.0,80369.7,0.7095
1960,32879.1,16444.0,31793.5,8119.0,89235.6,0.7137
1961,33291.5,17005.0,33092.8,8790.0,92179.3,0.7046
1962,36530.1,19117.0,35699.0,9479.0,100825.1,0.7086
1963,38791.5,21669.0,37962.4,10122.5,108545.4,0.7111
1964,37063.4,22387.0,40764.9,10843.5,111058.8,0.7118
1965,40966.4,23416.0,43129.7,11593.5,119105.6,0.7104
1966,48070.9,31336.0,45777.4,12267.5,137451.7,0.7242
1967,52802.6,34867.0,49166.6,13482.0,150318.2,0.7237
1968,63165.3,38695.0,55482.6,14948.0,172290.9,0.7261
1969,76317.2,44127.0,61237.2,16381.5,198062.8,0.7303
1970,74271.7,46359.0,65871.7,18337.0,204839.5,0.7206
1971,72506.9,51176.0,71642.8,20222.5,215548.2,0.7129
1972,88263.4,59204.0,77047.0,21613.5,246128.0,0.7139
1973,94325.7,75496.0,83506.6,23177.5,276505.9,0.7124
1974,107114.2,85181.0,88573.0,24490.0,305358.2,0.7091
1975,102102.3,89310.0,93583.8,26692.0,311688.1,0.6917
1976,120466.8,101334.0,102130.1,29123.5,353054.4,0.6977
1977,139035.2,113094.0,112184.3,31600.0,395913.6,0.7026
1978,162252.7,131260.0,120743.7,31874.0,446130.4,0.7065
1979,190735.5,152749.0,127742.7,32201.5,503428.7,0.7093
1980,209030.4,166188.0,139811.0,34413.0,549442.4,0.6979
1981,238099.0,195701.0,162261.0,38540.0,634601.0,0.6886
1982,240735.6,208894.0,163501.9,42650.0,655781.4,0.6786
1983,238173.3,225953.0,177699.7,45938.5,687764.5,0.6749
1984,254635.6,257470.0,195245.8,49850.0,757201.4,0.6738
1985,283135.2,281370.0,208809.4,53745.5,827060.1,0.6777
1986,298277.4,303438.0,220314.1,58079.0,880108.5,0.6813
1987,337704.5,323113.0,239727.6,63211.0,963756.1,0.6898
1988,348480.0,361482.0,257922.8,68248.0,1036132.8,0.6888
1989,385729.7,385231.0,270997.6,74931.5,1116889.8,0.6794
