Table 6.3: Net Social Wage (NSW = B_w + G_w - T_w),,,,,,
Source: Derived from Tables 6.1 and 6.2,,,,,,
year,total_tax_workers,total_benefits,govt_services_workers,nsw,nsw_ni_share,tax_rate_T_EC
1952,53208.3,10994.0,32694.9,-9519.4,-0.0337,0.2646
1953,56499.6,11674.0,35576.5,-9249.1,-0.0309,0.2625
1954,54749.7,13747.0,34159.1,-6843.6,-0.0226,0.2557
1955,60069.4,14754.0,35478.6,-9836.9,-0.0303,0.2605
1956,66462.3,15593.0,37324.9,-13544.4,-0.0389,0.2666
1957,71592.3,18132.0,40373.9,-13086.4,-0.0356,0.2727
1958,71533.4,22226.0,42242.9,-7064.5,-0.0186,0.2703
1959,80369.7,22917.0,43899.2,-13553.5,-0.0336,0.2812
1960,89235.6,24428.0,45767.1,-19040.5,-0.0451,0.2962
1961,92179.3,28089.0,48085.2,-16005.1,-0.0363,0.2969
1962,100825.1,28843.0,52492.6,-19489.5,-0.0416,0.3035
1963,108545.4,30341.0,55659.1,-22545.3,-0.0458,0.3098
1964,111058.8,31317.0,59163.0,-20578.8,-0.039,0.2954
1965,119105.6,33913.0,63648.5,-21544.0,-0.0378,0.2938
1966,137451.7,37504.0,73348.8,-26599.0,-0.0429,0.306
1967,150318.2,45752.0,82594.3,-21971.9,-0.033,0.312
1968,172290.9,53306.0,92614.1,-26370.8,-0.0361,0.3246
1969,198062.8,58973.0,101690.5,-37399.3,-0.0467,0.3389
1970,204839.5,71737.0,109420.5,-23682.0,-0.0274,0.3286
1971,215548.2,85412.0,118548.7,-11587.5,-0.0124,0.3241
1972,246128.0,94808.0,128911.6,-22408.4,-0.0219,0.3365
1973,276505.9,108628.0,137714.3,-30163.6,-0.0264,0.3402
1974,305358.2,128556.0,153129.9,-23672.3,-0.0189,0.344
1975,311688.1,163134.0,168207.4,19653.3,0.0144,0.3291
1976,353054.4,177643.0,180339.6,4928.2,0.0033,0.3368
1977,395913.6,189482.0,197238.2,-9193.3,-0.0055,0.3396
1978,446130.4,203427.0,215559.3,-27144.1,-0.0146,0.3388
1979,503428.7,227334.0,236313.2,-39781.5,-0.0191,0.3408
1980,549442.4,271498.0,259481.2,-18463.2,-0.0079,0.3387
1981,634601.0,307809.0,284811.6,-41980.3,-0.0161,0.354
1982,655781.4,343079.0,306176.6,-6525.8,-0.0023,0.3464
1983,687764.5,370499.0,326257.4,8991.9,0.003,0.3417
1984,757201.4,380909.0,347839.9,-28452.6,-0.0087,0.3417
1985,827060.1,403112.0,381175.7,-42772.5,-0.0121,0.3464
1986,880108.5,428607.0,410197.7,-41303.8,-0.0111,0.3462
1987,963756.1,447913.0,439218.0,-76625.1,-0.0194,0.354
1988,1036132.8,476864.0,464976.5,-94292.2,-0.022,0.3515
1989,1116889.8,521070.0,494803.5,-101016.3,-0.0219,0.3557
