Parameter,Symbol,Value_or_Range,Description,Variation_Type
Maximum output-capital ratio,σ,0.4,Determines potential output given capital stock,Fixed
Minimum wage parameter,w₀,0.05,Base wage level (wage floor),Fixed
Wage sensitivity,w₁,0.15,Linear coefficient in wage function,Fixed
Wage nonlinearity,γ,4,Exponent in power wage function,Fixed
Minimum accumulation rate,g_min,-0.1,Lower bound on accumulation (-10%),Fixed
Maximum accumulation rate,g_max,0.3,Upper bound on accumulation (30%),Fixed
Reference profit rate,r₀,0.2,Midpoint of logistic accumulation function (20%),Fixed
Smoothness parameter,δ,0.01 to 0.1,Steepness of accumulation function response,Varied (bifurcation parameter)
Labor supply growth rate,n,0.02,Exogenous growth rate of labor (2%),Fixed
Bifurcation type,Type,Period doubling,Route to chaos via period-doubling cascade,Observed pattern
Direction,Direction,Decreasing δ,Chaos emerges as δ decreases,Bifurcation direction
High δ behavior,Behavior_high_δ,Stable limit cycle,Simple periodic oscillations,At δ ≈ 0.1
Period-2 bifurcation,Bifurcation_1,Period 2,Two distinct points per cycle,Intermediate δ
Period-4 bifurcation,Bifurcation_2,Period 4,Four distinct points per cycle,Lower δ
Period-8 bifurcation,Bifurcation_3,Period 8,Eight distinct points per cycle,Even lower δ
Chaotic regime,Behavior_low_δ,Chaos,Dense scatter of points,At δ ≈ 0.01-0.02
