Author,Year,Title,Publisher,Volume,Pages_Cited,Type
Harvey D.,2010,A Companion to Marx's Capital,Verso,,,Book
Lenin V.I.,1976a,Conspectus of Hegel's Book The Science of Logic,Progress Publishers,Vol. 38 Collected Works,,Book Chapter
Lenin V.I.,1976b,Plan of Hegel's Dialectics (Logic),Progress Publisher,Vol. 38 Collected Works,,Book Chapter
Lenin V.I.,1977a,Preface to the French and German Editions,Progress Publishers,Vol. 22 Collected Works,,Book Chapter
Lenin V.I.,1977b,Karl Marx (A Brief Biographical Sketch with an Exposition of Marxism),Progress Publishers,Vol. 21 Collected Works,,Book Chapter
Mandel E.,1977,Introduction to Capital Volume I,Penguin,Vol. I,,Book Chapter
Marx K.,1968,Capital (S. Moore & E. Aveling Trans.),International Publishers,Vol. I,763,Book
Marx K.,1970,A Contribution to the Critique of Political Economy,International Publishers,,20-21,Book
Marx K.,1971,Capital,Progress Publishers,Vol. III,,Book
Marx K.,1973,Grundrisse. Outlines of a Critique of Political Economy,Penguin,,,Book
Marx K.,1975,Marx to Engels in Manchester August 24 1867,Progress Publishers,Marx Engels Selected Correspondence (Third revised ed.),,Letter
Marx K.,1976,Capital,Penguin,Vol. I,,Book
Marx K. & Engels F.,1976,The German Ideology,Lawrence & Wishart,Vol. 5 Collected Works,49,Book
Marx K. & Engels F.,1998,The Communist Manifesto,Monthly Review Press,,11; 24,Book
Savran S.,2011,Capitalist Crisis or the Crisis of Capitalism?,Istanbul Bilgi University Press,In E. Ahmet Tonak (Ed.) Critical Perspectives on the World Bank and the IMF,,Book Chapter
Sweezy P.M.,1962,The Theory of Capitalist Development,Dennis Dobson,,,Book
Trotsky L.,1977,The Transitional Program for Socialist Revolution (3rd ed.),Pathfinder Press,,,Book
