year,central,lo,hi,basis
1967,0.0403,0.0361,0.0455,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1972,0.07,0.0628,0.0791,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1977,0.0478,0.0429,0.054,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1990,0.0204,0.0183,0.0231,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1991,0.0192,0.0172,0.0217,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1992,0.0182,0.0163,0.0206,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1993,0.0179,0.0161,0.0202,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1994,0.0176,0.0158,0.0199,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1995,0.0172,0.0154,0.0194,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1996,0.0166,0.0149,0.0188,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1997,0.0161,0.0144,0.0182,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1998,0.0154,0.0138,0.0174,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
1999,0.0147,0.0132,0.0166,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2000,0.0139,0.0125,0.0157,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2001,0.0137,0.0123,0.0155,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2002,0.0131,0.0117,0.0148,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2003,0.0123,0.011,0.0139,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2004,0.0116,0.0104,0.0131,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2005,0.0111,0.00996,0.0125,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2006,0.0107,0.0096,0.0121,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2007,0.0107,0.0096,0.0121,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2008,0.0106,0.00951,0.012,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2009,0.0106,0.00951,0.012,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2010,0.0101,0.00906,0.0114,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2011,0.00991,0.00889,0.0112,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2012,0.0095,0.00852,0.0107,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2013,0.00924,0.00829,0.0104,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2014,0.00889,0.00797,0.01,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2015,0.00859,0.0077,0.00971,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2016,0.00834,0.00748,0.00942,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2017,0.00813,0.00729,0.00919,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2018,0.00778,0.00698,0.00879,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2019,0.00749,0.00672,0.00846,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2020,0.00713,0.00639,0.00806,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2021,0.00649,0.00582,0.00733,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2022,0.0061,0.00547,0.00689,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2023,0.00585,0.00525,0.00661,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
2024,0.00556,0.00499,0.00628,"DIV-042 worst-case common-mode X_j +/-11.5% (lo=central/1.115, hi=central/0.885)"
