year,kio_central,kio_lo,kio_hi,machinery_flag,e_KIO_central,e_KIO_lo,e_KIO_hi,e_frozen_marx
1990,1.5561,1.5162,1.62,bridge_sic_illustrative,2.4335249410326556,2.3454858399805363,2.5745198923416894,2.467315213499074
1991,1.5651,1.5249,1.6293,bridge_sic_illustrative,2.5041947801861855,2.4141886271202573,2.6479359500078923,2.51833159492349
1992,1.5695,1.5293,1.634,native_1992_benchmark,2.575951634255042,2.484359881660552,2.7229085507312765,2.580312523206792
1993,1.5733,1.5329,1.6379,bridge_sic_illustrative,2.745329730616934,2.649155243159409,2.899113688284164,2.7408400299772766
1994,1.575,1.5347,1.6397,bridge_sic_illustrative,3.020054857705315,2.9171925016637124,3.1851961588440663,3.0109019259589083
1995,1.5744,1.534,1.639,bridge_sic_illustrative,3.1690322644617135,3.0620525239356375,3.34009392876826,3.161125328931637
1996,1.5713,1.531,1.6359,bridge_sic_illustrative,3.3552641800777083,3.243562311270267,3.534319781193358,3.3555801944860146
1997,1.5731,1.4042,1.6978,bea_benchmark_io,3.508137659667258,3.024109657176762,3.8654987722224092,3.503306012029305
1998,1.5695,1.4002,1.6938,annual_71order,2.9658573426685733,2.5380652763329317,3.2799421261624913,2.970693723369081
1999,1.5808,1.4048,1.706,annual_71order,2.9579632964922387,2.5172993667208354,3.2714355919887144,2.9344629200740027
2000,1.5822,1.407,1.7074,annual_71order,2.936172941091811,2.5003130628973445,3.2476435846417377,2.9093397258532345
2001,1.5765,1.3994,1.7013,annual_71order,2.9211183784032615,2.48062991356646,3.23152470483823,2.908468356161119
2002,1.602,1.4088,1.7287,bea_benchmark_io,3.087916221600974,2.594916587385425,3.4112239527350825,3.0098681844574697
2003,1.601,1.4096,1.7278,annual_71order,3.2759481435231352,2.764757341105691,3.614605373128841,3.1969299365136843
2004,1.6065,1.4134,1.7337,annual_71order,3.4173808583732876,2.8864152537969527,3.767141733060547,3.320905184104303
2005,1.6049,1.4151,1.7319,annual_71order,3.531376239599145,2.9954829065092845,3.889956077862645,3.436829782324695
2006,1.6037,1.4164,1.7307,annual_71order,3.603033746280845,3.065434307060042,3.9675565908139045,3.510364611669859
2007,1.6089,1.4183,1.7362,bea_benchmark_io,3.610502741500275,3.064314772993871,3.975296699479631,3.5030819886134275
2008,1.6117,1.4151,1.7394,annual_71order,3.6276498096839394,3.0631552061076768,3.9943128863710644,3.511977262947724
2009,1.5995,1.3982,1.7262,annual_71order,3.743254733381079,3.1463074512118947,4.118978631298791,3.6599668344325478
2010,1.6406,1.4246,1.7704,annual_71order,4.110546856023008,3.4376966055652662,4.514880015788816,3.8950292208832185
2011,1.6552,1.4358,1.7862,annual_71order,4.191501195001176,3.503357549409551,4.602380035349867,3.9287081454828447
2012,1.6724,1.4466,1.8047,bea_benchmark_io,4.186224855078585,3.486003871894691,4.596496051160202,3.8730605165722825
2013,1.6815,1.4525,1.8147,annual_71order,4.317991578968346,3.593745327654786,4.739256210736758,3.9698284175933773
2014,1.6945,1.4609,1.8287,annual_71order,4.285985842781519,3.557271594995292,4.704622195747751,3.9020196057049974
2015,1.7114,1.4657,1.8469,annual_71order,4.213687431629708,3.465175685719097,4.6264808446166334,3.78722769984821
2016,1.7269,1.4691,1.8636,annual_71order,4.193499965054668,3.4181891242468083,4.6046131998818,3.725889523233838
2017,1.729,1.472,1.866,bea_benchmark_io,4.209565999032021,3.4352117701417786,4.622354051008533,3.734751306295955
2018,1.7261,1.472,1.8628,annual_71order,4.200640447549623,3.4350516996657463,4.612509718843311,3.734580425189309
2019,1.7168,1.4627,1.8527,annual_71order,4.0893509436454405,3.3360866875991295,4.492218367481307,3.658362876321421
2020,1.729,1.4732,1.8659,annual_71order,4.046216371351194,3.299644857301665,4.445769304398029,3.586289829238468
2021,1.7591,1.4945,1.8984,annual_71order,4.507332187739664,3.6789312458512464,4.9434480275169,3.919731095385827
2022,1.7552,1.4961,1.8942,annual_71order,4.709187493560785,3.866405770918578,5.161316630755947,4.111381737640265
2023,1.7345,1.4779,1.8718,annual_71order,4.588659707906949,3.7618796092912534,5.031048279769515,4.063187186315991
2024,1.7311,1.471,1.8682,annual_71order,4.455055511251512,3.6354264092490167,4.887086075974856,3.951851809800826
