year,book,combined,k_star_adjusted
1948,1.5119999999999998,1.5119999999999998,1.5490476766086636
1949,1.475,1.475,1.5077706625594802
1950,1.586,1.586,1.620561439588689
1951,1.638,1.638,1.6761196321846787
1952,1.602,1.602,1.6389312111862926
1953,1.625,1.625,1.6616476366086308
1954,1.5719999999999998,1.5719999999999998,1.6064224533473879
1955,1.671,1.671,1.7080954630238456
1956,1.642,1.642,1.680021429164145
1957,1.6230000000000002,1.6230000000000002,1.6604513418691174
1958,1.585,1.585,1.6220295896757237
1959,1.638,1.638,1.6764142423329236
1960,1.624,1.624,1.6628691904793476
1961,1.618,1.618,1.6579418450274601
1962,1.672,1.672,1.7147318525790485
1963,1.705,1.705,1.7495893123582462
1964,1.7480000000000002,1.7480000000000002,1.7957945547653258
1965,1.794,1.794,1.8443882096908404
1966,1.797,1.797,1.8483106174929917
1967,1.7719999999999998,1.7719999999999998,1.8236326238420264
1968,1.774,1.774,1.8283945301698212
1969,1.735,1.735,1.7901959054868783
1970,1.675,1.675,1.7293440719347348
1971,1.682,1.682,1.7388193119797122
1972,1.724,1.724,1.7842383366208259
1973,1.7080000000000002,1.7080000000000002,1.769597193168805
1974,1.587,1.587,1.6461612067048652
1975,1.612,1.612,1.674054234081293
1976,1.665,1.665,1.731189082722922
1977,1.6840000000000002,1.6840000000000002,1.752811925679855
1978,1.652,1.652,1.7217072686280084
1979,1.57,1.57,1.6394396943019403
1980,1.505,1.505,1.5747997439321557
1981,1.524,1.524,1.5972809704667368
1982,1.504,1.504,1.5810051715176894
1983,1.5419999999999998,1.5419999999999998,1.6264200717314379
1984,1.6030000000000002,1.6030000000000002,1.6966148308557085
1985,1.592,1.592,1.6917865300247954
1986,1.588,1.588,1.6960771695771746
1987,1.594,1.594,1.7086755466599879
1988,1.605,1.605,1.7261176058008474
1989,1.5619999999999998,1.5619999999999998,1.6857756212473303
1990,,1.538,1.663976701609051
1991,,1.506,1.6314284618980133
1992,,1.5419999999999998,1.6718517055124427
1993,,1.568,1.7013344828593409
1994,,1.602,1.739980888882529
1995,,1.615,1.753206237030815
1996,,1.643,1.7836491956591132
1997,,1.662,1.8041337637349566
1998,,1.685,1.8322273444012522
1999,,1.702,1.8538878395867946
2000,,1.638,1.7840031916309012
2001,,1.585,1.7247575641738215
2002,,1.568,1.705892182752883
2003,,1.602,1.7417069374095417
2004,,1.663,1.8071714049503773
2005,,1.6840000000000002,1.827537772426046
2006,,1.695,1.837435077291326
2007,,1.642,1.778690136839674
2008,,1.536,1.6616614548377513
2009,,1.504,1.6251182524098668
2010,,1.585,1.7084292259649576
2011,,1.6230000000000002,1.7468692258785297
2012,,1.648,1.7718786601730803
2013,,1.672,1.7957205727781382
2014,,1.695,1.8180000094972544
2015,,1.6880000000000002,1.8113862577210293
2016,,1.665,1.7869630061419342
2017,,1.702,1.8259308882784504
2018,,1.725,1.8509567522419457
2019,,1.6840000000000002,1.8071061629388057
2020,,1.5519999999999998,1.6654498730364993
2021,,1.685,1.8094180451243884
2022,,1.724,1.8510185049267536
2023,,1.686,1.8077265995499057
2024,,1.668,1.788312431795336
