year,book,combined
1948,1294.16236,1294.16236
1949,1488.86644,1488.86644
1950,1599.6856,1599.6856
1951,1862.80472,1862.80472
1952,1972.74317,1972.74317
1953,2116.58773,2116.58773
1954,2240.89618,2240.89618
1955,2306.07748,2306.07748
1956,2460.52156,2460.52156
1957,2777.26247,2777.26247
1958,3040.59794,3040.59794
1959,3331.70769,3331.70769
1960,3576.3957400000004,3576.3957400000004
1961,3856.08869,3856.08869
1962,3980.04051,3980.04051
1963,4158.69633,4158.69633
1964,4255.8359900000005,4255.8359900000005
1965,4340.02101,4340.02101
1966,4616.35834,4616.35834
1967,4941.1377,4941.1377
1968,5297.84569,5297.84569
1969,5715.81701,5715.81701
1970,5924.1948,5924.1948
1971,6336.47892,6336.47892
1972,6608.28973,6608.28973
1973,6513.13615,6513.13615
1974,6628.79566,6628.79566
1975,6696.94736,6696.94736
1976,6958.99812,6958.99812
1977,7265.1195,7265.1195
1978,7699.16837,7699.16837
1979,8263.00578,8263.00578
1980,8800.67826,8800.67826
1981,8942.61819,8942.61819
1982,9059.64986,9059.64986
1983,9107.78587,9107.78587
1984,9118.89264,9118.89264
1985,9209.50889,9209.50889
1986,9542.64297,9542.64297
1987,9837.25276,9837.25276
1988,10433.78141,10433.78141
1989,11006.99557,11006.99557
1990,,9431.559384384247
1991,,8081.616082740602
1992,,6924.890768004805
1993,,5933.728063525654
1994,,5084.430919047744
1995,,4356.69405368882
1996,,3733.118490476492
1997,,3198.795575773264
1998,,2740.950538186792
1999,,2940.2793490339454
2000,,3225.594973003275
2001,,3449.0318326655715
2002,,3617.9593338265317
2003,,3829.095374714233
2004,,4075.6532096100236
2005,,4310.245047330361
2006,,4573.11611621696
2007,,4863.322874074864
2008,,5055.034617895808
2009,,5154.250456080879
2010,,5363.192562211187
2011,,5551.582637066147
2012,,5749.512586506609
2013,,5921.876453708289
2014,,6146.736880238922
2015,,6482.165826901818
2016,,6725.942004807653
2017,,7010.428075286413
2018,,7334.068987920766
2019,,7661.820460624222
2020,,7861.657147440898
2021,,8754.997096092939
2022,,9205.755061079386
2023,,9628.696848543928
2024,,10120.686552210653
