year,book,combined
1948,1673.13603,2200.0760120000004
1949,1930.38074,2550.42821172
1950,2109.77521,2761.0573456
1951,2530.99844,3239.41740808
1952,2702.33027,3456.2460338399997
1953,2956.86756,3735.7773434499995
1954,3175.84351,3984.3134080400005
1955,3296.17155,4130.1847666799995
1956,3585.52063,4438.780894240001
1957,4145.32363,5046.285907990002
1958,4611.54189,5564.2942302
1959,5143.686360000001,6196.976303400002
1960,5621.6113,6759.3879486
1961,6129.09932,7403.6902848
1962,6401.61038,7761.078994500001
1963,6787.85833,8234.2187334
1964,7045.30407,8554.2303399
1965,7276.15299,8853.642860400001
1966,7855.28479,9555.8617638
1967,8509.25535,10376.38917
1968,9244.01192,11125.475949000001
1969,10170.23296,12003.215721
1970,10663.56866,12440.80908
1971,11597.1378,13306.605732000002
1972,12203.34496,13877.408433000002
1973,12333.98611,13677.585915000001
1974,12638.20793,13920.470886000001
1975,12931.95134,14063.589456000002
1976,13670.18433,14613.896052000004
1977,14541.3208,15256.75095
1978,15553.98696,16383.830291360002
1979,16931.82968,17823.30346746
1980,18290.05961,19229.4819981
1981,18971.3117,19790.01405447
1982,19526.42745,20311.73498612
1983,19932.48204,20674.6739249
1984,20373.13013,20955.215286720002
1985,20810.84108,21430.52718703
1986,22098.3084,22472.924194350002
1987,23144.98657,23442.17332708
1988,24850.63404,25166.28076092
1989,26804.8101,26857.069190799997
1990,,23939.992448819896
1991,,20677.79011515009
1992,,17860.61422360546
1993,,15427.6929651667
1994,,13326.561040451455
1995,,11511.923346570691
1996,,10026.089660136862
1997,,8733.09731891833
1998,,7607.809054772119
1999,,8298.12171838469
2000,,9257.457572519395
2001,,9982.669493035826
2002,,10560.777498486052
2003,,11272.661670018586
2004,,12101.554914688222
2005,,12908.488715940344
2006,,13814.374138078765
2007,,14818.83087512223
2008,,15537.580088690273
2009,,15981.589824748795
2010,,16776.06633459659
2011,,17519.155409050352
2012,,18305.2049375805
2013,,19022.517424769074
2014,,19922.16364197985
2015,,21198.91748356443
2016,,22195.608615865254
2017,,23345.215730429303
2018,,24646.603669266126
2019,,25984.982583478744
2020,,26909.32932181198
2021,,30245.680615423225
2022,,32250.270639432285
2023,,34049.61149298281
2024,,36299.52910059554
