year,book,combined,k_star_adjusted
1948,1.865,1.865,1.9106970349703425
1949,1.783,1.783,1.8226136212498663
1950,1.924,1.924,1.9659269922879177
1951,2.012,2.012,2.05882338214626
1952,1.956,1.956,2.0010920406244623
1953,1.984,1.984,2.0287439452501683
1954,1.882,1.882,1.9232105961830688
1955,2.053,2.053,2.098575694546951
1956,1.987,1.987,2.033010097289377
1957,1.935,1.935,1.9796508604539385
1958,1.834,1.834,1.8768468564449698
1959,1.958,1.958,2.0039188562196975
1960,1.912,1.912,1.9577622488894781
1961,1.886,1.886,1.9325576759714398
1962,1.984,1.984,2.0347057389454735
1963,2.032,2.032,2.08514104557886
1964,2.0980000000000003,2.0980000000000003,2.155364402687445
1965,2.185,2.185,2.2463702553926903
1966,2.2230000000000003,2.2230000000000003,2.286474403275972
1967,2.136,2.136,2.1982388738863254
1968,2.158,2.158,2.2241687689438976
1969,2.082,2.082,2.1482350865842537
1970,1.943,1.943,2.006039123444292
1971,1.958,1.958,2.0241428138265616
1972,2.036,2.036,2.1071399381438525
1973,2.064,2.064,2.1384359524007106
1974,1.892,1.892,1.9625311928705764
1975,1.865,1.865,1.9367935152367313
1976,1.953,1.953,2.03063800513986
1977,1.986,1.986,2.067152306650945
1978,1.982,1.982,2.0656318440803343
1979,1.884,1.884,1.9673276331623282
1980,1.756,1.756,1.8374407643487476
1981,1.7819999999999998,1.7819999999999998,1.8676868040496881
1982,1.6840000000000002,1.6840000000000002,1.770221215981243
1983,1.758,1.758,1.854245451429227
1984,1.886,1.886,1.9961419656855055
1985,1.864,1.864,1.9808354849034038
1986,1.842,1.842,1.9673640720158407
1987,1.868,1.868,2.002387654429647
1988,1.902,1.902,2.0455300225752095
1989,1.863,1.863,2.010627389490254
1990,,1.805,1.9528465191185544
1991,,1.724,1.8675847731156539
1992,,1.786,1.9363989273963833
1993,,1.824,1.9791033780200493
1994,,1.885,2.047355789977258
1995,,1.908,2.0712801859162817
1996,,1.952,2.119101174635781
1997,,1.986,2.1558421508890637
1998,,2.024,2.2008475638386553
1999,,2.0580000000000003,2.2416575639657017
2000,,1.984,2.1608439146493943
2001,,1.856,2.019653021518368
2002,,1.824,1.984405192181925
2003,,1.886,2.0504739600214705
2004,,1.985,2.1570867341109436
2005,,2.028,2.2008590276009627
2006,,2.0540000000000003,2.2266027426291353
2007,,1.986,2.1513268037537103
2008,,1.784,1.9299505439000963
2009,,1.685,1.8206943186905755
2010,,1.826,1.9681966981779262
2011,,1.884,2.027789045936629
2012,,1.925,2.0697004980783857
2013,,1.958,2.1028833023322933
2014,,1.984,2.1279716925324794
2015,,1.962,2.105414595763424
2016,,1.924,2.0649350293195683
2017,,1.986,2.1306103079441847
2018,,2.024,2.171789255963883
2019,,1.958,2.101136500614122
2020,,1.725,1.8510960251211093
2021,,1.984,2.1304957872562533
2022,,2.056,2.207479145086662
2023,,1.982,2.12509734300588
2024,,1.954,2.0949415418034096
