,"B-Matrix (Leontief Inverse) — derived from S401; matrix; period=[1947, 1977]; series_status=book_period_validated"
Year,S402-A
1947,79.9427
1958,32.0272
1963,32.6916
1967,10.4717
1972,103.0209
1977,98.9415
