,"NSW/EC Extended (Moos 2017) — Moos 2017; share; period=[1959, 2012]; series_status=book_period_validated"
Year,ES1302-A
1959,-0.0265125451158458
1960,-0.0353716090009817
1961,-0.0201739922715929
1962,-0.0278152997319025
1963,-0.0312551030973582
1964,-0.0180272697612148
1965,-0.0142522970813058
1966,-0.0262308992415196
1967,-0.0168633785918552
1968,-0.0211237882018481
1969,-0.0351000456739986
1970,-0.0051979562057949
1971,0.0184616349694479
1972,0.0042084238364989
1973,0.0003488283744351
1974,0.0119730164695891
1975,0.0580788109973389
1976,0.0421350245064347
1977,0.0281189757900644
1978,0.0165619454612607
1979,0.0080287043166309
1980,0.023663393534804
1981,0.0143945017633574
1982,0.023347796281042
1983,0.0312825384739812
1984,0.0173910276532208
1985,0.0101079955484413
1986,0.0104867538528528
1987,0.0009357822018431
1988,-0.0019151682090304
1989,-0.0023793173599136
1990,0.0072219086652163
1991,0.0281740338367555
1992,0.0424162781462218
1993,0.0443272887987863
1994,0.0393200275274903
1995,0.0396629548014281
1996,0.0319291889085242
1997,0.0197758375956831
1998,0.006857663074435
1999,0.0015290942926777
2000,-0.0049504910005037
2001,0.014348876074892
2002,0.0536235293803824
2003,0.0668879855950754
2004,0.0671418834009177
2005,0.0590038833195815
2006,0.0563711467654711
2007,0.0549802216133773
2008,0.0795169543081582
2009,0.1416265954700878
2010,0.1503672858884741
2011,0.1373397743122316
2012,0.1269577077732512
