,"Social Insurance Tax Workers — S&T 1994; billions_usd; period=[1952, 1989]; series_status=book_period_validated"
Year,S602-A
1952,6.923
1953,7.106
1954,8.074
1955,9.091
1956,9.987
1957,11.413
1958,11.384
1959,13.834
1960,16.444
1961,17.005
1962,19.117
1963,21.669
1964,22.387
1965,23.416
1966,31.336
1967,34.867
1968,38.695
1969,44.127
1970,46.359
1971,51.176
1972,59.204
1973,75.496
1974,85.181
1975,89.31
1976,101.334
1977,113.094
1978,131.26
1979,152.749
1980,166.188
1981,195.701
1982,208.894
1983,225.953
1984,257.47
1985,281.37
1986,303.438
1987,323.113
1988,361.482
1989,385.231
