Sector_1995,Value_1995,Sector_2005,Value_2005
Construction,62.88,Construction,155.63
Food,23.50,Food,23.90
Motor Vehicles,21.21,Transportation,23.78
Trade,17.41,Trade,20.20
Hotels-Restaurant,16.04,Motor Vehicles,17.20
Textiles,14.19,Hotels-Restaurant,16.31
Transportation,12.70,Health,15.74
Agriculture,9.57,Agriculture,7.19
Chemicals,9.07,Telecommunications,6.56
Health,8.39,Chemicals,6.38
