"date","value"
"1972-01-01","5.94949844344516"
"1973-01-01","4.6153846153846"
"1974-01-01","8.63251311012504"
"1975-01-01","10.6112317716413"
"1976-01-01","13.508260447036"
"1977-01-01","7.08132159424404"
"1978-01-01","9.45698211012076"
"1979-01-01","-3.36920917173608"
"1980-01-01","-0.672962948801284"
"1981-01-01","10.1759270978357"
"1982-01-01","."
"1983-01-01","-0.742136374750104"
"1984-01-01","-20.8354737669966"
"1985-01-01","-11.96620649371"
"1986-01-01","0.267035765956072"
"1987-01-01","-2.17125099870319"
"1988-01-01","-3.60736547636091"
"1989-01-01","-5.03950530498552"
"1990-01-01","-30.3833487054997"
"1991-01-01","-56.4673951888145"
"1992-01-01","-45.0549110347697"
"1993-01-01","-73.6190635229088"
"1994-01-01","-41.626300605919"
"1995-01-01","-44.3157449987133"
"1996-01-01","-95.5296660091288"
"1997-01-01","-89.1667813296925"
"1998-01-01","-77.0750209131209"
"1999-01-01","-18.8505566226652"
"2000-01-01","-15.837253261478"
"2001-01-01","-31.0572866934874"
"2002-01-01","."
"2003-01-01","."
"2004-01-01","."
"2005-01-01","."
"2006-01-01","42.4692195449204"
"2007-01-01","26.7642845378752"
"2008-01-01","-68.9711197184719"
"2009-01-01","-199.250814076875"
"2010-01-01","-88.8198289843787"
"2011-01-01","-26.5734310031589"
"2012-01-01","-13.2021353332736"
"2013-01-01","-0.467545938296364"
"2014-01-01","6.02550632114308"
