"date","value"
"1960-01-01","7566666666.66667"
"1961-01-01","7988888888.88889"
"1962-01-01","8922222222.22222"
"1963-01-01","10355555555.5556"
"1964-01-01","11177777777.7778"
"1965-01-01","11966666666.6667"
"1966-01-01","14100000000.0"
"1967-01-01","15644444444.4444"
"1968-01-01","17500000000.0"
"1969-01-01","19466666666.6667"
"1970-01-01","17863636363.6364"
"1971-01-01","16166666666.6667"
"1972-01-01","20650000000.0"
"1973-01-01","26000000000.0"
"1974-01-01","35414285714.2857"
"1975-01-01","46042857142.8571"
"1976-01-01","51450000000.0"
"1977-01-01","58683333333.3333"
"1978-01-01","65912500000.0"
"1979-01-01","89616129032.2581"
"1980-01-01","68823684210.5263"
"1981-01-01","71180180180.1802"
"1982-01-01","64369325153.3742"
"1983-01-01","61803555555.5556"
"1984-01-01","59937602179.8365"
"1985-01-01","67232758620.6897"
"1986-01-01","75673037037.037"
"1987-01-01","87190081680.28"
"1988-01-01","90875175808.7201"
"1989-01-01","107127191328.935"
"1990-01-01","150655500191.644"
"1991-01-01","151034731543.624"
"1992-01-01","159104772991.851"
"1993-01-01","180415757851.616"
"1994-01-01","130650447499.071"
"1995-01-01","234699627004.035"
"1996-01-01","250366965174.129"
"1997-01-01","263817553748.395"
"1998-01-01","276035372654.608"
"1999-01-01","256673939247.773"
"2000-01-01","274748463178.502"
"2001-01-01","202195080239.036"
"2002-01-01","240778008473.845"
"2003-01-01","315392899922.379"
"2004-01-01","410156784495.948"
"2005-01-01","508314210212.544"
"2006-01-01","559668118237.002"
"2007-01-01","685228481017.03"
"2008-01-01","775415944332.866"
"2009-01-01","653894449921.288"
"2010-01-01","782545664268.333"
"2011-01-01","844192507380.795"
"2012-01-01","885327622479.052"
"2013-01-01","962167643588.925"
"2014-01-01","942343431928.654"
"2015-01-01","865460050683.656"
"2016-01-01","870818016909.84"
"2017-01-01","863874522365.276"
"2018-01-01","788356985773.667"
"2019-01-01","775853144222.613"
"2020-01-01","733628247119.077"
"2021-01-01","839938668172.134"
"2022-01-01","926097476913.818"
"2023-01-01","1141242864657.45"
"2024-01-01","1359123768774.12"
