Chapter,Table_Number,Table_Title,Page_Number
8,1,The transfer of public land to capitalist firms,169
8,2,Capitalist development of the land,169
8,3,Profiting from lending to workers,171
8,4,Market price,174
8,5,Public prices,175
8,6,Profit upon alienation real estate,175
8,7,Interest income on loans to worker households,176
8,8,Profit upon alienation finance,177
8,9,The relative size of POA,177
10,1,State taxes and expenditures used for calculating the net social wage in Turkey,212
10,2,Benefits received and taxes paid by workers (as a percentage of GDP) 1980–2019,217
11,1,Top 10 ranking of central sectors in conventional case US,247
11,2,Top 10 ranking of central sectors in Marxian case US,247
11,3,Top 10 ranking of central sectors in the conventional case Germany,247
11,4,Top 10 ranking of central sectors in Marxian case Germany,248
