Chapter_Number,Chapter_Title,Authors,Section_Number,Section_Title,Page_Number
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,,,265
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,1,The Real Subsumption of Labour Under Capital,269
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,2,Taylorism: Real Subsumption Goes "Scientific",276
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,3,Lean Production: Capital Fighting "Idle Time",282
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,,The Contradictions of the Assembly Line,284
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,,JIT,287
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,,Task Mobility and Interchangeability,289
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,,Team Work and Quality,291
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,4,The Fragmentation of the Work Force,295
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,5,The Fragmentation of the Workplace,297
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,6,"Lean and Mean": Class Struggle Under Lean Production,300
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,7,The Flexibility Onslaught,306
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,8,Conclusion,313
13,Lean Production and Flexibility: The Highest Stage of Taylorism,Sungur Savran,,References,315
14,"New" Imperialism: Moribund Competitive Capitalism,E. Ahmet Tonak,,,317
14,"New" Imperialism: Moribund Competitive Capitalism,E. Ahmet Tonak,1,Forms of Value Transfer,320
14,"New" Imperialism: Moribund Competitive Capitalism,E. Ahmet Tonak,2,The Rate of Surplus-Value and Imperialism,326
14,"New" Imperialism: Moribund Competitive Capitalism,E. Ahmet Tonak,3,Conclusion,331
14,"New" Imperialism: Moribund Competitive Capitalism,E. Ahmet Tonak,,References,332
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,,,335
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,1,The Dimensions of the Current Crisis,338
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,2,Explaining Crises: Mainstream Economics,344
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,,The Denialist School,345
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,,Keynes and the Realist School,347
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,,Schumpeter and Creative Destruction,350
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,3,Explaining Crises: Marx and the Marxists,352
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,,Marx's Theory of Crisis: An Introduction,352
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,,The Contradictory Part Played by Finance,355
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,,Marxist Theories of Crisis: Profit-squeeze Underconsumption and the Falling Rate of Profit,356
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,4,The Profit-Squeeze Theory,357
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,,The Theory of Underconsumption,358
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,,The Law of the Tendency of the Falling Rate of Profit,361
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,5,Great Depressions as the Birth Pangs of a New Society,367
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,6,The State of Productive Forces at the Dawn of the Twenty-First Century,373
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,7,Conclusion,379
15,The World in Economic Crisis: The Twilight of Capitalism,Sungur Savran and E. Ahmet Tonak,,References,382
16,The Controversy Between the Neo-Ricardians and the Marxists,Sungur Savran,,,387
16,The Controversy Between the Neo-Ricardians and the Marxists,Sungur Savran,1,Sraffa Ricardo and Neoclassical Economics,388
16,The Controversy Between the Neo-Ricardians and the Marxists,Sungur Savran,2,The Neo-Ricardian Critique of Marx's Value Theory,390
16,The Controversy Between the Neo-Ricardians and the Marxists,Sungur Savran,3,The "Transformation Problem" and Negative Values,391
16,The Controversy Between the Neo-Ricardians and the Marxists,Sungur Savran,4,Sraffa as a Solution to Marx's Problems?,394
16,The Controversy Between the Neo-Ricardians and the Marxists,Sungur Savran,5,Conclusion,396
16,The Controversy Between the Neo-Ricardians and the Marxists,Sungur Savran,,References,396
17,The Negation of "Negative Values",Sungur Savran,,,399
17,The Negation of "Negative Values",Sungur Savran,1,Social Values,400
17,The Negation of "Negative Values",Sungur Savran,2,The Equalisation Process,402
17,The Negation of "Negative Values",Sungur Savran,3,Fixed Capital,405
17,The Negation of "Negative Values",Sungur Savran,4,Conclusion,408
17,The Negation of "Negative Values",Sungur Savran,,References,408
18,On the Theoretical Consistency of Sraffa's Economics,Sungur Savran,,,409
18,On the Theoretical Consistency of Sraffa's Economics,Sungur Savran,1,Introduction,409
18,On the Theoretical Consistency of Sraffa's Economics,Sungur Savran,2,The Problem,410
18,On the Theoretical Consistency of Sraffa's Economics,Sungur Savran,3,The Choice of the Independent Variable,411
18,On the Theoretical Consistency of Sraffa's Economics,Sungur Savran,4,Sraffa's Own Procedure,416
18,On the Theoretical Consistency of Sraffa's Economics,Sungur Savran,5,Conclusion,419
18,On the Theoretical Consistency of Sraffa's Economics,Sungur Savran,,References,419
19,Confusions Concerning Sraffa (and Marx): Reply to Critics,Sungur Savran,,,421
19,Confusions Concerning Sraffa (and Marx): Reply to Critics,Sungur Savran,1,Steedman on the Three Alternative Methods,423
19,Confusions Concerning Sraffa (and Marx): Reply to Critics,Sungur Savran,2,The So-Called "Fourth Alternative",427
19,Confusions Concerning Sraffa (and Marx): Reply to Critics,Sungur Savran,3,The Question of a Reformulation,429
19,Confusions Concerning Sraffa (and Marx): Reply to Critics,Sungur Savran,4,Marx in Defence of Sraffa,430
19,Confusions Concerning Sraffa (and Marx): Reply to Critics,Sungur Savran,5,Conclusion,435
19,Confusions Concerning Sraffa (and Marx): Reply to Critics,Sungur Savran,,References,435
