TableID,Frequency,Year,Quarter,Industry,IndustrYDescription,DataValue,NoteRef
1,A,1997,1997,11,"Agriculture, forestry, fishing, and hunting",108.6,1
1,A,1997,1997,111CA,Farms,88.1,1
1,A,1997,1997,113FF,"Forestry, fishing, and related activities",20.5,1
1,A,1997,1997,21,Mining,95.1,1
1,A,1997,1997,211,Oil and gas extraction,55.1,1
1,A,1997,1997,212,"Mining, except oil and gas",26.5,1
1,A,1997,1997,213,Support activities for mining,13.5,1
1,A,1997,1997,22,Utilities,171.5,1
1,A,1997,1997,23,Construction,339.6,1
1,A,1997,1997,311FT,Food and beverage and tobacco products,135.2,1
1,A,1997,1997,313TT,Textile mills and textile product mills,27.4,1
1,A,1997,1997,315AL,Apparel and leather and allied products,25.2,1
1,A,1997,1997,31G,Manufacturing,1382.9,1
1,A,1997,1997,31ND,Nondurable goods,559.1,1
1,A,1997,1997,321,Wood products,26.8,1
1,A,1997,1997,322,Paper products,55.4,1
1,A,1997,1997,323,Printing and related support activities,37.4,1
1,A,1997,1997,324,Petroleum and coal products,47.5,1
1,A,1997,1997,325,Chemical products,173.4,1
1,A,1997,1997,326,Plastics and rubber products,57.6,1
1,A,1997,1997,327,Nonmetallic mineral products,39.8,1
1,A,1997,1997,331,Primary metals,48.1,1
1,A,1997,1997,332,Fabricated metal products,110.0,1
1,A,1997,1997,333,Machinery,102.2,1
1,A,1997,1997,334,Computer and electronic products,195.3,1
1,A,1997,1997,335,"Electrical equipment, appliances, and components",46.9,1
1,A,1997,1997,3361MV,"Motor vehicles, bodies and trailers, and parts",112.0,1
1,A,1997,1997,3364OT,Other transportation equipment,62.5,1
1,A,1997,1997,337,Furniture and related products,27.9,1
1,A,1997,1997,339,Miscellaneous manufacturing,52.3,1
1,A,1997,1997,33DG,Durable goods,823.8,1
1,A,1997,1997,42,Wholesale trade,527.5,1
1,A,1997,1997,441,Motor vehicle and parts dealers,118.5,1
1,A,1997,1997,445,Food and beverage stores,90.9,1
1,A,1997,1997,44RT,Retail trade,579.9,1
1,A,1997,1997,452,General merchandise stores,79.8,1
1,A,1997,1997,481,Air transportation,54.7,1
1,A,1997,1997,482,Rail transportation,20.0,1
1,A,1997,1997,483,Water transportation,6.6,1
1,A,1997,1997,484,Truck transportation,77.1,1
1,A,1997,1997,485,Transit and ground passenger transportation,15.1,1
1,A,1997,1997,486,Pipeline transportation,7.0,1
1,A,1997,1997,487OS,Other transportation and support activities,55.9,1
1,A,1997,1997,48TW,Transportation and warehousing,257.3,1
1,A,1997,1997,493,Warehousing and storage,21.0,1
1,A,1997,1997,4A0,Other retail,290.7,1
1,A,1997,1997,51,Information,394.1,1
1,A,1997,1997,511,"Publishing industries, except internet (includes software)",95.6,1
1,A,1997,1997,512,Motion picture and sound recording industries,40.3,1
1,A,1997,1997,513,Broadcasting and telecommunications,226.2,1
1,A,1997,1997,514,"Data processing, internet publishing, and other information services",32.0,1
1,A,1997,1997,52,Finance and insurance,577.2,1
1,A,1997,1997,521CI,"Federal Reserve banks, credit intermediation, and related activities",233.1,1
1,A,1997,1997,523,"Securities, commodity contracts, and investments",121.3,1
1,A,1997,1997,524,Insurance carriers and related activities,215.6,1
1,A,1997,1997,525,"Funds, trusts, and other financial vehicles",7.2,1
1,A,1997,1997,53,Real estate and rental and leasing,1035.2,1
1,A,1997,1997,531,Real estate,929.2,1
1,A,1997,1997,532RL,Rental and leasing services and lessors of intangible assets,106.0,1
1,A,1997,1997,54,"Professional, scientific, and technical services",499.7,1
1,A,1997,1997,5411,Legal services,104.0,1
1,A,1997,1997,5412OP,"Miscellaneous professional, scientific, and technical services",320.2,1
1,A,1997,1997,5415,Computer systems design and related services,75.5,1
1,A,1997,1997,55,Management of companies and enterprises,125.5,1
1,A,1997,1997,56,Administrative and waste management services,215.4,1
1,A,1997,1997,561,Administrative and support services,193.5,1
1,A,1997,1997,562,Waste management and remediation services,21.9,1
1,A,1997,1997,6,"Educational services, health care, and social assistance",590.6,1
1,A,1997,1997,61,Educational services,77.1,1
1,A,1997,1997,62,Health care and social assistance,513.5,1
1,A,1997,1997,621,Ambulatory health care services,250.9,1
1,A,1997,1997,622,Hospitals,165.2,1
1,A,1997,1997,623,Nursing and residential care facilities,57.9,1
1,A,1997,1997,624,Social assistance,39.5,1
1,A,1997,1997,7,"Arts, entertainment, recreation, accommodation, and food services",301.8,1
1,A,1997,1997,71,"Arts, entertainment, and recreation",80.1,1
1,A,1997,1997,711AS,"Performing arts, spectator sports, museums, and related activities",37.2,1
1,A,1997,1997,713,"Amusements, gambling, and recreation industries",43.0,1
1,A,1997,1997,72,Accommodation and food services,221.6,1
1,A,1997,1997,721,Accommodation,70.7,1
1,A,1997,1997,722,Food services and drinking places,150.9,1
1,A,1997,1997,81,"Other services, except government",230.3,1
1,A,1997,1997,FIRE,"Finance, insurance, real estate, rental, and leasing",1612.4,1
1,A,1997,1997,G,Government,1145.6,1
1,A,1997,1997,GDP,Gross domestic product,8577.6,1
1,A,1997,1997,GF,Federal,390.7,1
1,A,1997,1997,GFE,Government enterprises,57.2,1
1,A,1997,1997,GFG,General government,333.5,1
