TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
T10705,A191RC,1,Gross domestic product (GDP),1929,Current Dollars,Level,6,"104,556",T10705
T10705,A191RC,1,Gross domestic product (GDP),1930,Current Dollars,Level,6,"92,160",T10705
T10705,A191RC,1,Gross domestic product (GDP),1931,Current Dollars,Level,6,"77,391",T10705
T10705,A191RC,1,Gross domestic product (GDP),1932,Current Dollars,Level,6,"59,522",T10705
T10705,A191RC,1,Gross domestic product (GDP),1933,Current Dollars,Level,6,"57,154",T10705
T10705,A191RC,1,Gross domestic product (GDP),1934,Current Dollars,Level,6,"66,800",T10705
T10705,A191RC,1,Gross domestic product (GDP),1935,Current Dollars,Level,6,"74,241",T10705
T10705,A191RC,1,Gross domestic product (GDP),1936,Current Dollars,Level,6,"84,830",T10705
T10705,A191RC,1,Gross domestic product (GDP),1937,Current Dollars,Level,6,"93,003",T10705
T10705,A191RC,1,Gross domestic product (GDP),1938,Current Dollars,Level,6,"87,352",T10705
T10705,A191RC,1,Gross domestic product (GDP),1939,Current Dollars,Level,6,"93,437",T10705
T10705,A191RC,1,Gross domestic product (GDP),1940,Current Dollars,Level,6,"102,899",T10705
T10705,A191RC,1,Gross domestic product (GDP),1941,Current Dollars,Level,6,"129,309",T10705
T10705,A191RC,1,Gross domestic product (GDP),1942,Current Dollars,Level,6,"165,952",T10705
T10705,A191RC,1,Gross domestic product (GDP),1943,Current Dollars,Level,6,"203,084",T10705
T10705,A191RC,1,Gross domestic product (GDP),1944,Current Dollars,Level,6,"224,447",T10705
T10705,A191RC,1,Gross domestic product (GDP),1945,Current Dollars,Level,6,"228,007",T10705
T10705,A191RC,1,Gross domestic product (GDP),1946,Current Dollars,Level,6,"227,535",T10705
T10705,A191RC,1,Gross domestic product (GDP),1947,Current Dollars,Level,6,"249,616",T10705
T10705,A191RC,1,Gross domestic product (GDP),1948,Current Dollars,Level,6,"274,468",T10705
T10705,A191RC,1,Gross domestic product (GDP),1949,Current Dollars,Level,6,"272,475",T10705
T10705,A191RC,1,Gross domestic product (GDP),1950,Current Dollars,Level,6,"299,827",T10705
T10705,A191RC,1,Gross domestic product (GDP),1951,Current Dollars,Level,6,"346,914",T10705
T10705,A191RC,1,Gross domestic product (GDP),1952,Current Dollars,Level,6,"367,341",T10705
T10705,A191RC,1,Gross domestic product (GDP),1953,Current Dollars,Level,6,"389,218",T10705
T10705,A191RC,1,Gross domestic product (GDP),1954,Current Dollars,Level,6,"390,549",T10705
T10705,A191RC,1,Gross domestic product (GDP),1955,Current Dollars,Level,6,"425,478",T10705
T10705,A191RC,1,Gross domestic product (GDP),1956,Current Dollars,Level,6,"449,353",T10705
T10705,A191RC,1,Gross domestic product (GDP),1957,Current Dollars,Level,6,"474,039",T10705
T10705,A191RC,1,Gross domestic product (GDP),1958,Current Dollars,Level,6,"481,229",T10705
T10705,A191RC,1,Gross domestic product (GDP),1959,Current Dollars,Level,6,"521,654",T10705
T10705,A191RC,1,Gross domestic product (GDP),1960,Current Dollars,Level,6,"542,382",T10705
T10705,A191RC,1,Gross domestic product (GDP),1961,Current Dollars,Level,6,"562,209",T10705
T10705,A191RC,1,Gross domestic product (GDP),1962,Current Dollars,Level,6,"603,922",T10705
T10705,A191RC,1,Gross domestic product (GDP),1963,Current Dollars,Level,6,"637,450",T10705
T10705,A191RC,1,Gross domestic product (GDP),1964,Current Dollars,Level,6,"684,460",T10705
T10705,A191RC,1,Gross domestic product (GDP),1965,Current Dollars,Level,6,"742,289",T10705
T10705,A191RC,1,Gross domestic product (GDP),1966,Current Dollars,Level,6,"813,414",T10705
T10705,A191RC,1,Gross domestic product (GDP),1967,Current Dollars,Level,6,"859,959",T10705
T10705,A191RC,1,Gross domestic product (GDP),1968,Current Dollars,Level,6,"940,651",T10705
T10705,A191RC,1,Gross domestic product (GDP),1969,Current Dollars,Level,6,"1,017,615",T10705
T10705,A191RC,1,Gross domestic product (GDP),1970,Current Dollars,Level,6,"1,073,303",T10705
T10705,A191RC,1,Gross domestic product (GDP),1971,Current Dollars,Level,6,"1,164,850",T10705
T10705,A191RC,1,Gross domestic product (GDP),1972,Current Dollars,Level,6,"1,279,110",T10705
T10705,A191RC,1,Gross domestic product (GDP),1973,Current Dollars,Level,6,"1,425,376",T10705
T10705,A191RC,1,Gross domestic product (GDP),1974,Current Dollars,Level,6,"1,545,243",T10705
T10705,A191RC,1,Gross domestic product (GDP),1975,Current Dollars,Level,6,"1,684,904",T10705
T10705,A191RC,1,Gross domestic product (GDP),1976,Current Dollars,Level,6,"1,873,412",T10705
T10705,A191RC,1,Gross domestic product (GDP),1977,Current Dollars,Level,6,"2,081,826",T10705
T10705,A191RC,1,Gross domestic product (GDP),1978,Current Dollars,Level,6,"2,351,599",T10705
T10705,A191RC,1,Gross domestic product (GDP),1979,Current Dollars,Level,6,"2,627,333",T10705
T10705,A191RC,1,Gross domestic product (GDP),1980,Current Dollars,Level,6,"2,857,307",T10705
T10705,A191RC,1,Gross domestic product (GDP),1981,Current Dollars,Level,6,"3,207,041",T10705
T10705,A191RC,1,Gross domestic product (GDP),1982,Current Dollars,Level,6,"3,343,789",T10705
T10705,A191RC,1,Gross domestic product (GDP),1983,Current Dollars,Level,6,"3,634,038",T10705
T10705,A191RC,1,Gross domestic product (GDP),1984,Current Dollars,Level,6,"4,037,613",T10705
T10705,A191RC,1,Gross domestic product (GDP),1985,Current Dollars,Level,6,"4,338,979",T10705
T10705,A191RC,1,Gross domestic product (GDP),1986,Current Dollars,Level,6,"4,579,631",T10705
T10705,A191RC,1,Gross domestic product (GDP),1987,Current Dollars,Level,6,"4,855,215",T10705
T10705,A191RC,1,Gross domestic product (GDP),1988,Current Dollars,Level,6,"5,236,438",T10705
T10705,A191RC,1,Gross domestic product (GDP),1989,Current Dollars,Level,6,"5,641,580",T10705
T10705,A191RC,1,Gross domestic product (GDP),1990,Current Dollars,Level,6,"5,963,144",T10705
T10705,A191RC,1,Gross domestic product (GDP),1991,Current Dollars,Level,6,"6,158,129",T10705
T10705,A191RC,1,Gross domestic product (GDP),1992,Current Dollars,Level,6,"6,520,327",T10705
T10705,A191RC,1,Gross domestic product (GDP),1993,Current Dollars,Level,6,"6,858,559",T10705
T10705,A191RC,1,Gross domestic product (GDP),1994,Current Dollars,Level,6,"7,287,236",T10705
T10705,A191RC,1,Gross domestic product (GDP),1995,Current Dollars,Level,6,"7,639,749",T10705
T10705,A191RC,1,Gross domestic product (GDP),1996,Current Dollars,Level,6,"8,073,122",T10705
T10705,A191RC,1,Gross domestic product (GDP),1997,Current Dollars,Level,6,"8,577,552",T10705
T10705,A191RC,1,Gross domestic product (GDP),1998,Current Dollars,Level,6,"9,062,817",T10705
T10705,A191RC,1,Gross domestic product (GDP),1999,Current Dollars,Level,6,"9,631,172",T10705
T10705,A191RC,1,Gross domestic product (GDP),2000,Current Dollars,Level,6,"10,250,952",T10705
T10705,A191RC,1,Gross domestic product (GDP),2001,Current Dollars,Level,6,"10,581,929",T10705
T10705,A191RC,1,Gross domestic product (GDP),2002,Current Dollars,Level,6,"10,929,108",T10705
T10705,A191RC,1,Gross domestic product (GDP),2003,Current Dollars,Level,6,"11,456,450",T10705
T10705,A191RC,1,Gross domestic product (GDP),2004,Current Dollars,Level,6,"12,217,196",T10705
T10705,A191RC,1,Gross domestic product (GDP),2005,Current Dollars,Level,6,"13,039,197",T10705
T10705,A191RC,1,Gross domestic product (GDP),2006,Current Dollars,Level,6,"13,815,583",T10705
T10705,A191RC,1,Gross domestic product (GDP),2007,Current Dollars,Level,6,"14,474,228",T10705
T10705,A191RC,1,Gross domestic product (GDP),2008,Current Dollars,Level,6,"14,769,862",T10705
T10705,A191RC,1,Gross domestic product (GDP),2009,Current Dollars,Level,6,"14,478,067",T10705
T10705,A191RC,1,Gross domestic product (GDP),2010,Current Dollars,Level,6,"15,048,971",T10705
T10705,A191RC,1,Gross domestic product (GDP),2011,Current Dollars,Level,6,"15,599,732",T10705
T10705,A191RC,1,Gross domestic product (GDP),2012,Current Dollars,Level,6,"16,253,970",T10705
T10705,A191RC,1,Gross domestic product (GDP),2013,Current Dollars,Level,6,"16,880,683",T10705
T10705,A191RC,1,Gross domestic product (GDP),2014,Current Dollars,Level,6,"17,608,138",T10705
T10705,A191RC,1,Gross domestic product (GDP),2015,Current Dollars,Level,6,"18,295,019",T10705
T10705,A191RC,1,Gross domestic product (GDP),2016,Current Dollars,Level,6,"18,804,913",T10705
T10705,A191RC,1,Gross domestic product (GDP),2017,Current Dollars,Level,6,"19,612,102",T10705
T10705,A191RC,1,Gross domestic product (GDP),2018,Current Dollars,Level,6,"20,656,516",T10705
