TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
T20100,A065RC,1,Personal income,1996,Current Dollars,Level,6,"6,666,199",T20100
T20100,A065RC,1,Personal income,1997,Current Dollars,Level,6,"7,073,974",T20100
T20100,A065RC,1,Personal income,1998,Current Dollars,Level,6,"7,588,358",T20100
T20100,A065RC,1,Personal income,1999,Current Dollars,Level,6,"7,978,599",T20100
T20100,A065RC,1,Personal income,2000,Current Dollars,Level,6,"8,621,299",T20100
T20100,A065RC,1,Personal income,2001,Current Dollars,Level,6,"8,993,143",T20100
T20100,A065RC,1,Personal income,2002,Current Dollars,Level,6,"9,150,049",T20100
T20100,A065RC,1,Personal income,2003,Current Dollars,Level,6,"9,481,755",T20100
T20100,A065RC,1,Personal income,2004,Current Dollars,Level,6,"10,015,873",T20100
T20100,A065RC,1,Personal income,2005,Current Dollars,Level,6,"10,546,102",T20100
T20100,A065RC,1,Personal income,2006,Current Dollars,Level,6,"11,301,996",T20100
T20100,A065RC,1,Personal income,2007,Current Dollars,Level,6,"11,932,119",T20100
T20100,A065RC,1,Personal income,2008,Current Dollars,Level,6,"12,425,679",T20100
T20100,A065RC,1,Personal income,2009,Current Dollars,Level,6,"12,065,682",T20100
T20100,A065RC,1,Personal income,2010,Current Dollars,Level,6,"12,556,628",T20100
T20100,A065RC,1,Personal income,2011,Current Dollars,Level,6,"13,309,571",T20100
T20100,A065RC,1,Personal income,2012,Current Dollars,Level,6,"13,917,794",T20100
T20100,A065RC,1,Personal income,2013,Current Dollars,Level,6,"14,068,770",T20100
T20100,A065RC,1,Personal income,2014,Current Dollars,Level,6,"14,784,074",T20100
T20100,A065RC,1,Personal income,2015,Current Dollars,Level,6,"15,473,741",T20100
T20100,A065RC,1,Personal income,2016,Current Dollars,Level,6,"15,887,651",T20100
T20100,A065RC,1,Personal income,2017,Current Dollars,Level,6,"16,662,756",T20100
T20100,A065RC,1,Personal income,2018,Current Dollars,Level,6,"17,528,192",T20100
T20100,A065RC,1,Personal income,2019,Current Dollars,Level,6,"18,363,160",T20100
T20100,A065RC,1,Personal income,2020,Current Dollars,Level,6,"19,631,652",T20100
T20100,A065RC,1,Personal income,2021,Current Dollars,Level,6,"21,498,910",T20100
T20100,A065RC,1,Personal income,2022,Current Dollars,Level,6,"22,153,803",T20100
T20100,A065RC,1,Personal income,2023,Current Dollars,Level,6,"23,585,016",T20100
T20100,A065RC,1,Personal income,2024,Current Dollars,Level,6,"24,905,900",T20100
T20100,A065RC,1,Personal income,2025,Current Dollars,Level,6,"26,081,296",T20100
T20100,A033RC,2,Compensation of employees,1929,Current Dollars,Level,6,"51,408",T20100
T20100,A033RC,2,Compensation of employees,1930,Current Dollars,Level,6,"47,167",T20100
T20100,A033RC,2,Compensation of employees,1931,Current Dollars,Level,6,"40,071",T20100
T20100,A033RC,2,Compensation of employees,1932,Current Dollars,Level,6,"31,339",T20100
T20100,A033RC,2,Compensation of employees,1933,Current Dollars,Level,6,"29,787",T20100
T20100,A033RC,2,Compensation of employees,1934,Current Dollars,Level,6,"34,553",T20100
T20100,A033RC,2,Compensation of employees,1935,Current Dollars,Level,6,"37,667",T20100
T20100,A033RC,2,Compensation of employees,1936,Current Dollars,Level,6,"43,289",T20100
T20100,A033RC,2,Compensation of employees,1937,Current Dollars,Level,6,"48,310",T20100
T20100,A033RC,2,Compensation of employees,1938,Current Dollars,Level,6,"45,412",T20100
T20100,A033RC,2,Compensation of employees,1939,Current Dollars,Level,6,"48,553",T20100
T20100,A033RC,2,Compensation of employees,1940,Current Dollars,Level,6,"52,749",T20100
T20100,A033RC,2,Compensation of employees,1941,Current Dollars,Level,6,"66,187",T20100
T20100,A033RC,2,Compensation of employees,1942,Current Dollars,Level,6,"88,036",T20100
T20100,A033RC,2,Compensation of employees,1943,Current Dollars,Level,6,"112,698",T20100
T20100,A033RC,2,Compensation of employees,1944,Current Dollars,Level,6,"124,321",T20100
T20100,A033RC,2,Compensation of employees,1945,Current Dollars,Level,6,"126,304",T20100
T20100,A033RC,2,Compensation of employees,1946,Current Dollars,Level,6,"122,485",T20100
T20100,A033RC,2,Compensation of employees,1947,Current Dollars,Level,6,"132,361",T20100
T20100,A033RC,2,Compensation of employees,1948,Current Dollars,Level,6,"144,313",T20100
T20100,A033RC,2,Compensation of employees,1949,Current Dollars,Level,6,"144,334",T20100
T20100,A033RC,2,Compensation of employees,1950,Current Dollars,Level,6,"158,269",T20100
T20100,A033RC,2,Compensation of employees,1951,Current Dollars,Level,6,"185,705",T20100
T20100,A033RC,2,Compensation of employees,1952,Current Dollars,Level,6,"201,088",T20100
T20100,A033RC,2,Compensation of employees,1953,Current Dollars,Level,6,"215,245",T20100
T20100,A033RC,2,Compensation of employees,1954,Current Dollars,Level,6,"214,139",T20100
T20100,A033RC,2,Compensation of employees,1955,Current Dollars,Level,6,"230,571",T20100
T20100,A033RC,2,Compensation of employees,1956,Current Dollars,Level,6,"249,275",T20100
T20100,A033RC,2,Compensation of employees,1957,Current Dollars,Level,6,"262,576",T20100
T20100,A033RC,2,Compensation of employees,1958,Current Dollars,Level,6,"264,670",T20100
T20100,A033RC,2,Compensation of employees,1959,Current Dollars,Level,6,"285,829",T20100
T20100,A033RC,2,Compensation of employees,1960,Current Dollars,Level,6,"301,283",T20100
T20100,A033RC,2,Compensation of employees,1961,Current Dollars,Level,6,"310,422",T20100
T20100,A033RC,2,Compensation of employees,1962,Current Dollars,Level,6,"332,202",T20100
T20100,A033RC,2,Compensation of employees,1963,Current Dollars,Level,6,"350,408",T20100
T20100,A033RC,2,Compensation of employees,1964,Current Dollars,Level,6,"375,975",T20100
T20100,A033RC,2,Compensation of employees,1965,Current Dollars,Level,6,"405,415",T20100
T20100,A033RC,2,Compensation of employees,1966,Current Dollars,Level,6,"449,249",T20100
T20100,A033RC,2,Compensation of employees,1967,Current Dollars,Level,6,"481,790",T20100
T20100,A033RC,2,Compensation of employees,1968,Current Dollars,Level,6,"530,751",T20100
T20100,A033RC,2,Compensation of employees,1969,Current Dollars,Level,6,"584,458",T20100
T20100,A033RC,2,Compensation of employees,1970,Current Dollars,Level,6,"623,347",T20100
T20100,A033RC,2,Compensation of employees,1971,Current Dollars,Level,6,"664,995",T20100
T20100,A033RC,2,Compensation of employees,1972,Current Dollars,Level,6,"731,333",T20100
T20100,A033RC,2,Compensation of employees,1973,Current Dollars,Level,6,"812,683",T20100
T20100,A033RC,2,Compensation of employees,1974,Current Dollars,Level,6,"887,715",T20100
T20100,A033RC,2,Compensation of employees,1975,Current Dollars,Level,6,"947,230",T20100
T20100,A033RC,2,Compensation of employees,1976,Current Dollars,Level,6,"1,048,347",T20100
T20100,A033RC,2,Compensation of employees,1977,Current Dollars,Level,6,"1,165,825",T20100
T20100,A033RC,2,Compensation of employees,1978,Current Dollars,Level,6,"1,316,765",T20100
T20100,A033RC,2,Compensation of employees,1979,Current Dollars,Level,6,"1,477,231",T20100
T20100,A033RC,2,Compensation of employees,1980,Current Dollars,Level,6,"1,622,247",T20100
T20100,A033RC,2,Compensation of employees,1981,Current Dollars,Level,6,"1,792,525",T20100
T20100,A033RC,2,Compensation of employees,1982,Current Dollars,Level,6,"1,892,983",T20100
