year,taxes_paid_by_labor,benefits_received_by_labor,net_tax
1952,34.58,18.56,16.02
1953,36.31,20.38,15.93
1954,34.89,23.35,11.54
1955,38.56,25.26,13.30
1956,44.14,28.61,15.53
1957,47.36,32.80,14.56
1958,47.49,38.79,8.70
1959,53.68,41.28,12.40
1960,59.98,44.82,15.16
1961,62.27,51.04,11.23
1962,67.43,54.46,12.97
1963,74.28,58.04,16.24
1964,74.52,62.69,11.83
1965,80.73,69.05,11.68
1966,97.65,79.08,18.57
1967,108.51,91.36,17.15
1968,125.12,102.82,22.30
1969,147.74,113.46,34.28
1970,151.34,130.75,20.59
1971,157.06,148.70,8.36
1972,184.52,163.62,20.90
1973,210.90,186.01,24.89
1974,236.29,214.01,22.28
1975,241.20,256.90,-15.70
1976,276.97,275.97,1.00
1977,315.12,300.45,14.67
1978,361.31,330.31,31.00
1979,413.55,363.49,50.06
1980,455.99,421.04,34.95
