year,avg_output_multiplier,prod_output_multiplier,avg_va_share,n_sectors
1997,1.9562638448254286,2.0743761900113613,0.5266347872429725,68.0
2002,1.9240151857375556,2.0323860620319176,0.5315801078991965,68.0
2007,2.016652956561566,2.123548964864576,0.5103900360268941,68.0
2012,1.9984147634485794,2.1029637403948978,0.518720685857446,68.0
2017,1.9281922778651241,2.0097799760685335,0.5341756732444872,68.0
