year,value
1929,0.448
1930,0.416
1931,0.339
1932,0.306
1933,0.262
1934,0.257
1935,0.272
1936,0.298
1937,0.311
1938,0.317
1939,0.305
1940,0.314
1941,0.333
1942,0.383
1943,0.471
1944,0.627
1945,0.66
1946,0.511
1947,0.542
1948,0.613
1949,0.652
1950,0.583
1951,0.636
1952,0.678
1953,0.722
1954,0.785
1955,0.797
1956,0.904
1957,0.995
1958,1.037
1959,0.656
1960,0.772
1961,1.016
1962,1.111
1963,1.191
1964,1.419
1965,1.798
1966,2.057
1967,2.348
1968,2.434
1969,2.595
1970,2.712
1971,2.916
1972,3.453
1973,3.635
1974,4.118
1975,4.685
1976,5.46
1977,6.457
1978,7.767
1979,8.855
1980,10.319
1981,11.689
1982,13.996
1983,16.015
1984,18.599
1985,22.225
1986,24.972
1987,26.26
1988,27.005
1989,31.588
1990,35.338
1991,43.824
1992,49.548
1993,54.208
1994,58.795
1995,57.505
1996,65.657
1997,68.03
1998,74.163
1999,81.674
2000,91.519
2001,97.608
2002,103.151
2003,109.54
2004,119.807
2005,125.677
2006,132.99
2007,140.47
2008,152.144
2009,167.884
2010,165.728
2011,169.476
2012,160.0
2013,177.335
2014,210.011
2015,214.819
2016,207.005
2017,208.39
2018,224.248
2019,216.817
2020,210.421
2021,225.815
2022,259.643
2023,255.263
2024,284.384
