year,q_star,y_orthodox
1948,33.665103817387106,11.583394293949127
1949,33.617957764091955,11.80644717844876
1950,35.77532329158746,12.42863949973988
1951,36.020859983613434,12.681985448333467
1952,36.15721671430421,12.936561943215557
1953,36.631951113561556,13.163737869056552
1954,36.869448106885585,13.413549564783999
1955,38.40524273455619,13.904367545418436
1956,37.792382294088554,13.731427613849352
1957,37.819026446560834,13.890628804601151
1958,37.95610363904937,14.199736357813462
1959,39.21495226484205,14.628282144673213
1960,39.14710504702205,14.750555580101326
1961,39.69363160137385,15.183047528402236
1962,40.79884748355203,15.662277390556234
1963,41.563619019594306,16.02640439994218
1964,42.435389740402144,16.477021012916783
1965,43.39857327056997,16.832588776381005
1966,43.55718658884164,17.06143129922547
1967,42.91186267773344,17.020675926247442
1968,43.553559443511055,17.309671264136412
1969,43.15589296151219,17.218309025534207
1970,42.31212531534342,17.12982397358105
1971,43.347016746610365,17.61477405565166
1972,44.37427615414219,17.925272907335206
1973,46.2149047377891,18.169270260771246
1974,45.442216239597066,17.724942823860726
1975,46.56376565777932,17.996799124089474
1976,48.71674636303242,18.382595088363587
1977,50.170220440840275,18.514951337510986
1978,50.462111337713196,18.59241241183671
1979,49.886682117575624,18.51180233206549
1980,49.191516264982326,18.340147024223175
1981,50.175970464971186,18.64924279402233
1982,49.45321141298225,18.641852037687464
1983,50.68032285321085,19.37014349237225
1984,52.292090475646944,19.834890187635484
1985,52.08382944456864,20.02890007760885
1986,51.98633729767843,20.31136135298828
1987,52.54256866117719,20.47605274705421
1988,53.7350664505697,20.671610904777467
1989,53.24804659745838,20.899444818830663
1990,52.25485140122293,21.004161968507326
1991,51.48305989918182,21.19433370462343
1992,51.89976851365159,21.869286648938765
1993,51.15080800171602,22.0367406129012
1994,50.488466627805124,22.23297326185199
1995,49.32230051584089,22.240809409901516
1996,49.05170518828415,22.616695338268563
1997,48.64979662070928,23.024327821226834
1998,48.629536288416276,23.44569926492252
1999,49.3033879904021,23.980414688381266
2000,50.413294995674825,24.430685576297723
2001,49.28986109996868,24.65120874989519
2002,49.19632930490008,25.34822458078585
2003,50.67392411634136,26.120298432241082
2004,52.665791348095425,26.831146248605947
2005,54.504305415760236,27.295355200374132
2006,55.03211273168327,27.558808389121946
2007,55.57379249941066,27.79648428794492
2008,56.341844708585754,27.978532718662706
2009,51.72468059419139,28.49109020830386
2010,55.60642916814891,29.474315455832294
2011,58.074297316449034,29.576463221270632
2012,58.37961173882372,29.747999847536608
2013,58.78571321234724,29.887475539860507
2014,59.23889193352666,30.076839273779814
2015,57.25004814229884,30.333345627776477
2016,56.247290043967716,30.344201663924174
2017,57.067387346131774,30.60756596311501
2018,58.20305208322081,31.031424951204585
2019,57.43725021975882,31.40937586596932
2020,56.81215364317761,32.65057481247285
2021,61.95221869960192,33.68647980358759
2022,62.86600849459559,33.11277949792428
2023,60.56869606832981,33.351968744596284
2024,60.31191663813058,33.8918913447012
