year,value
1939,
1940,
1941,
1942,
1943,
1944,
1945,
1946,
1947,
1948,19799.02
1949,19429.164999999997
1950,20012.339999999997
1951,21095.885
1952,21565.170000000002
1953,22188.25
1954,21806.565
1955,22549.164999999997
1956,23313.354999999996
1957,23524.870000000003
1958,22973.85
1959,23820.725
1960,24282.46
1961,24234.914999999997
1962,24895.565
1963,25402.16
1964,26150.685
1965,27249.299999999996
1966,28578.42
1967,29446.989999999998
1968,30447.9
1969,31636.095
1970,32000.89
1971,32316.829999999994
1972,33510.815
1973,34905.89
1974,35598.895
1975,35198.13
1976,36358.95999999999
1977,37822.08499999999
1978,39802.67
1979,41244.89
1980,41613.454999999994
1981,42047.545
1982,41519.674999999996
1983,41983.340000000004
1984,43996.79
1985,45544.145
1986,46661.255
1987,47965.165
1988,49434.115000000005
1989,50603.64
1990,51202.72
1991,50598.56
1992,50677.295
1993,51670.575
1994,53289.77
1995,54583.42999999999
1996,55682.80999999999
1997,57085.90999999999
1998,58552.55
1999,59991.365000000005
2000,61184.899999999994
2001,61254.935
2002,60645.119999999995
2003,60546.45999999999
2004,61155.899999999994
2005,62150.615000000005
2006,63150.765
2007,63784.92
2008,63277.774999999994
2009,60465.375
2010,59983.485
2011,60683.11
2012,61631.37999999999
2013,62623.895000000004
2014,63761.94
2015,65024.56
2016,66160.4
2017,67069.76
2018,67914.01
2019,68614.41500000001
2020,65042.75
2021,66842.56
2022,69355.37
2023,70632.22499999999
2024,71213.385
2025,71468.025
