year,value
1929,0.09287023682401299
1930,-11761.802698412697
1931,-11820.944999999998
1932,-1741.587175572519
1933,-8340.36
1934,3239.34375
1935,4143.370000000001
1936,4449.147222222223
1937,27309.358823529412
1938,-15340.999272727277
1939,8595.037023809524
1940,13078.64911764706
1941,9676.706962025315
1942,32113.43044776119
1943,392963.83874999994
1944,708348.9751612903
1945,-2232365.789090909
1946,-1916333.5
1947,-638883.9487804879
1948,522930.4084905659
1949,3018926.0275000003
1950,325346.0139130435
1951,1477720.2279411766
1952,1838806.1257142858
1953,1490661.3104166666
1954,4613165.885714286
1955,1130795.8938805969
1956,1900254.4843750002
1957,3927127.0523076933
1958,10202499.16
1959,2747141.495681818
1960,5338271.247692308
1961,4190697.0
1962,3495239.6142857135
1963,5030383.477894737
1964,2757273.5598591557
1965,3770621.0580645166
1966,5626462.287169811
1967,7989063.679545454
1968,10259652.719333334
1969,17964519.92588235
1970,13967038.106521739
1971,14702894.885869566
1972,18837919.19166667
1973,17355631.932419356
1974,-121897795.74545455
1975,55927111.444
1976,56568476.5115625
1977,72091339.1171875
1978,67198614.55222224
1979,209077168.37
1980,607353054.33
1981,269486649.7826087
1982,305237485.62227273
1983,197268084.95305556
1984,124987086.97791043
1985,321759678.1974194
1986,292876429.941579
1987,740474498.1861112
1988,292451293.0966667
1989,614641853.012069
1990,945910919.6019046
1991,2257791469.9066668
1992,561977121.3230001
1993,1547801347.9125001
1994,1028364262.2281481
1995,952084377.52
1996,1192694024.8799999
1997,1218826527.105
1998,887381248.3216949
1999,1877286797.9212496
2000,1475305340.21102
2001,2579929991.157242
2002,2082333235.635484
2003,2550434023.2111998
2004,2202196700.7999997
2005,7139453190.660001
2006,2819345439.996667
2007,5112407510.554348
2008,7591045782.39125
2009,44706613985.909996
2010,5162418516.7263155
2011,5435598437.238636
2012,4789834959.845184
2013,-10586490820.617859
2014,4719403263.268572
2015,4827047677.967179
2016,10274281040.64
2017,6889598600.125161
2018,6313147883.003333
2019,8118464542.288065
2020,4074250095.1209373
2021,8687838051.857435
2022,-7785839816.686607
2023,7068160569.824385
2024,15484311678.392069
2025,29978097972.755886
