year,ep,eu,eu_ep
1948,1.6956226671191046,1.6422440004434788,0.9685197256968042
1949,1.7477064220183491,1.69329639385957,0.968867752917024
1950,1.7721124946328897,1.7172191779074857,0.9690237968009048
1951,1.7776413936361057,1.7226385937621238,0.9690585513642459
1952,1.754796865147284,1.7002464321740707,0.9689135340638788
1953,1.740182298321833,1.6859212627114997,0.9688187636073183
1954,1.8602054488610986,1.8035677172004827,0.9695529697027325
1955,1.8930467972120812,1.835758741821743,0.9697376443758774
1956,1.8377581120943955,1.7815648821519323,0.9694229455048233
1957,1.878796992481203,1.821791111441971,0.9696583072746204
1958,2.0046194801127464,1.945122064664969,0.9703198457173373
1959,1.9943397578276136,1.9350459012369678,0.9702689291742179
1960,1.9825279068155028,1.9234679482647006,0.9702097719039582
1961,2.025251488400739,1.9653455183333977,0.9704204784391263
1962,2.0543268612575543,1.993845141232652,0.9705588622893835
1963,2.070963381666257,2.010152225593658,0.9706362958365436
1964,2.116279069767442,2.0545705733364037,0.9708410401479709
1965,2.093297245661519,2.0320438348563403,0.9707383120423391
1966,2.0769787994398037,2.01604852618357,0.970663988831919
1967,2.096596689170443,2.035277942850236,0.9707531989166363
1968,2.0826962875364283,2.0216527966941227,0.9706901619753149
1969,2.003062552637623,1.943595967436878,0.9703121676742247
1970,2.022186887549458,1.9623416026474882,0.9704056606882207
1971,2.0729315201891976,2.0120813910765403,0.9706453741862618
1972,1.9904717853839038,1.931254522306995,0.9702496345279833
1973,1.9423736133228964,1.8841087892967003,0.9700032868926179
1974,1.9543789209535758,1.8958763680634059,0.9700659108308304
1975,2.1151308581862445,2.0534450986182,0.9708359606549634
1976,2.1131127211017557,2.0514669246442954,0.9708270193814749
1977,2.106705957620054,2.045187027766192,0.9707985209652322
1978,2.073608282416836,2.012744752071948,0.970648491877188
1979,2.026896116008304,1.9669575790576443,0.9704284119559612
1980,2.071631777843829,2.010807386203357,0.9706393808537837
1981,2.161455298763514,2.098852223540474,0.9710366088723404
1982,2.194525320076793,2.1312673929465595,0.9711746651763307
1983,2.223512319436009,2.159680392318464,0.9712922988734617
1984,2.265258215962442,2.200599637428532,0.9714564202534243
1985,2.3329889771588554,2.2669891954329375,0.9717102042178127
1986,2.3927194431926293,2.325536879961092,0.9719220891430986
1987,2.4088226977094918,2.341321258150888,0.9719774146836171
1988,2.4037095845474683,2.336309394754449,0.9719599280103098
1989,2.4414041777188324,2.3732575603382613,0.9720871218282894
1990,2.4409503586777395,2.3728127278128337,0.9720856138582777
1991,2.353186929655045,2.286787188473757,0.9717830571194692
1992,2.3586054220683237,2.2920983840075646,0.9718023890564801
1993,2.331115122420721,2.2651524467292217,0.9717033813315057
1994,2.3335697562173348,2.2675584739160013,0.9717123166661465
1995,2.2773331128078222,2.212435427405687,0.9715027700439836
1996,2.250504741732424,2.1861383112030692,0.9713991135696047
1997,2.221447486338725,2.1576564470052846,0.9712840210152447
1998,2.3804960427370623,2.3135555270392985,0.9718795937922263
1999,2.211077482324783,2.1474917896054806,0.9712422141568522
2000,2.0904102302690077,2.029213988085463,0.9707252474670154
2001,1.9688390194909904,1.910050128015921,0.9701403259011657
2002,1.930574626783366,1.8725434460549826,0.9699409803053962
2003,1.9621540938346622,1.9034975771250648,0.9701060600215327
2004,1.8834924815328182,1.8263936205123668,0.9696845824550446
2005,1.8406372471015024,1.7843870045846408,0.969439799935897
2006,1.7051260586955928,1.6515592060481552,0.9685848137888317
2007,1.6147790680276695,1.5630012647003886,0.9679350541801836
2008,1.5158373904213316,1.4660188282347706,0.9671346263778902
2009,1.5542116660958853,1.5036332172623035,0.967457168198568
2010,1.5806296488803746,1.5295280716748225,0.9676701134628536
2011,1.4695103894693,1.4206091936382248,0.9667227968025899
2012,1.473773670261791,1.4247880530288843,0.9667617774551467
2013,1.469097876942653,1.420204849676462,0.9667190130531381
2014,1.4339436142608362,1.3857467110081463,0.966388564533945
2015,1.3927100090956688,1.3453296128759527,0.9659797115621495
2016,1.3434839888941863,1.297078365351727,0.9654587446325613
2017,1.3637671518040535,1.3169598814712997,0.9656779602948825
2018,1.3751154304671431,1.3280834417450214,0.9657977885491806
2019,1.3343367812210314,1.2881122905037832,0.9653577032666754
2020,1.1926827339135921,1.149263273836095,0.9635951298338803
2021,1.3115016412539586,1.2657293315261575,0.9650993118971342
2022,1.2822985107026872,1.2371044807877825,0.9647554531665651
2023,1.3210304730099167,1.2750694735443742,0.9652082216083765
2024,1.2614781887118445,1.216696442400719,0.9645005782011544
