year,tp_star,cm_star,gfp_star,va_star,gdp,tp_gdp_ratio,source,productive_go_share,go_total
1948,446.21,198.46999999999997,247.74,238.35,274.8,1.6237627365356622,book_H1,,
1949,431.96,189.05999999999997,242.9,233.66,272.8,1.583431085043988,book_H1,,
1950,481.62,212.56,269.06,258.42,300.2,1.6043304463690873,book_H1,,
1951,551.62,244.59000000000003,307.03,294.17,347.3,1.5883098186006335,book_H1,,
1952,573.95,254.34000000000003,319.61,305.52,367.7,1.5609192276312214,book_H1,,
1953,605.37,268.66,336.71,321.91,389.7,1.5534257120862203,book_H1,,
1954,596.6,261.40000000000003,335.2,320.1,391.1,1.5254410636665814,book_H1,,
1955,652.91,287.16999999999996,365.74,349.07,426.2,1.5319333646175504,book_H1,,
1956,687.21,303.11,384.1,365.79,450.1,1.5267940457676072,book_H1,,
1957,717.3,314.62999999999994,402.67,383.25,474.9,1.5104232469993684,book_H1,,
1958,711.67,307.99999999999994,403.67,383.87,482.0,1.4764937759336099,book_H1,,
1959,774.29,334.92999999999995,439.36,417.99,522.5,1.4818947368421052,book_H1,,
1960,795.67,343.71999999999997,451.95,430.69,543.3,1.464513160316584,book_H1,,
1961,811.42,347.53999999999996,463.88,442.67,563.3,1.440475767796911,book_H1,,
1962,869.52,371.4,498.12,475.73,605.1,1.4369856222112047,book_H1,,
1963,913.42,389.67999999999995,523.74,500.46,638.6,1.4303476354525524,book_H1,,
1964,973.35,412.30000000000007,561.05,536.54,685.8,1.4192913385826773,book_H1,,
1965,1057.19,447.4100000000001,609.78,583.42,743.7,1.4215274976469006,book_H1,,
1966,1149.69,483.75,665.94,637.72,815.0,1.4106625766871166,book_H1,,
1967,1199.81,500.65999999999997,699.15,670.66,861.7,1.3923755367297201,book_H1,,
1968,1307.46,545.14,762.32,730.4,942.5,1.3872254641909814,book_H1,,
1969,1406.26,586.54,819.72,785.04,1019.9,1.3788214530836356,book_H1,,
1970,1456.35,602.4699999999999,853.88,818.11,1075.9,1.3536109303838644,book_H1,,
1971,1567.82,644.6999999999999,923.12,884.22,1167.8,1.3425415310840898,book_H1,,
1972,1728.41,714.33,1014.08,970.28,1282.4,1.347793200249532,book_H1,,
1973,1979.91,837.3900000000001,1142.52,1090.24,1428.5,1.3860063003150158,book_H1,,
1974,2162.38,926.5600000000002,1235.82,1176.75,1548.8,1.3961647727272728,book_H1,,
1975,2368.48,1023.77,1344.71,1277.77,1688.9,1.4023802474983718,book_H1,,
1976,2694.39,1187.33,1507.06,1428.45,1877.6,1.4350181082232638,book_H1,,
1977,3058.1,1367.27,1690.83,1598.95,2086.0,1.4660115052732503,book_H1,,
1978,3456.76,1545.8900000000003,1910.87,1810.27,2356.6,1.4668420605957737,book_H1,,
1979,3833.25,1710.4899999999998,2122.76,2011.02,2632.1,1.456346643364614,book_H1,,
1980,4141.1,1851.2600000000002,2289.84,2169.23,2862.5,1.4466724890829696,book_H1,,
1981,4654.4,2078.3399999999997,2576.06,2440.54,3211.0,1.449517284335098,book_H1,,
1982,4763.86,2114.6099999999997,2649.25,2511.2,3345.0,1.4241733931240657,book_H1,,
1983,5086.97,2235.61,2851.36,2705.53,3638.1,1.3982490860614059,book_H1,,
1984,5691.02,2497.2500000000005,3193.77,3030.46,4040.7,1.408424282921276,book_H1,,
1985,6014.18,2618.65,3395.53,3226.68,4346.7,1.3836197575171971,book_H1,,
1986,6224.47,2664.4800000000005,3559.99,3399.66,4590.2,1.3560345954424644,book_H1,,
1987,6606.59,2808.6600000000003,3797.93,3624.28,4870.2,1.3565336125826455,book_H1,,
1988,7226.22,3122.9900000000007,4103.23,3899.03,5252.6,1.3757415375242736,book_H1,,
1989,7641.82,3278.25,4363.57,4149.75,5657.7,1.3506937448079608,book_H1,,
1990,7900.020720153218,3480.1403021736296,4419.880417979588,,5979.6,1.3211620710671645,interpolated,,
1991,7978.512518859463,3606.748388291214,4371.764130568249,,6174.0,1.2922760801521644,interpolated,,
1992,8265.816807254087,3831.97116730622,4433.845639947866,,6539.3,1.2640216548031267,interpolated,,
1993,8504.721406094759,4040.825931410236,4463.895474684523,,6878.7,1.2363849864210912,interpolated,,
1994,8838.916051332728,4301.566197361182,4537.349853971546,,7308.8,1.209352568319386,interpolated,,
1995,9065.949644554476,4516.628894300449,4549.320750254026,,7664.1,1.1829111891225943,interpolated,,
1996,9372.319612694999,4777.369445285297,4594.950167409702,,8100.2,1.157047926309844,interpolated,,
1997,9707.7,5060.299999999999,4647.4,4647.4,8577.6,1.1317501398992724,detail_412,0.537785122211825,15068.1
1998,10071.6,5187.1,4884.5,4884.5,9062.8,1.1113121772520635,detail_412,0.5302401553946672,15856.4
1999,10609.1,5462.900000000001,5146.2,5146.2,9631.2,1.1015345958966691,detail_412,0.523385815569203,16869.2
2000,11349.5,5892.0,5457.5,5457.5,10252.3,1.1070198882202045,detail_412,0.5209502431724654,18176.4
2001,11345.7,5849.9,5495.799999999999,5495.799999999999,10581.9,1.0721798542794772,detail_412,0.5154590473708216,18416.4
2002,11364.3,5757.9,5606.4,5606.4,10936.4,1.0391262206941956,detail_412,0.5037755107493841,18712.7
2003,11900.1,6001.799999999998,5898.3,5898.3,11458.2,1.0385662669529243,detail_412,0.5009828870975116,19686.9
2004,12849.7,6511.799999999999,6337.9,6337.9,12213.7,1.0520726724907274,detail_412,0.501130390549935,21231.6
2005,13962.9,7237.799999999999,6725.1,6725.1,13036.6,1.071053802371784,detail_412,0.5039634847426446,23047.9
2006,14818.5,7640.2,7178.3,7178.3,13814.6,1.0726694945926774,detail_412,0.5040422554803656,24441.8
2007,15560.7,8103.199999999999,7457.5,7457.5,14451.9,1.0767234758059494,detail_412,0.5030968348212379,25752.1
2008,16027.8,8461.9,7565.9,7565.9,14712.8,1.089377956609211,detail_412,0.506249198578939,26515.4
2009,14179.3,6940.1,7239.200000000001,7239.200000000001,14448.9,0.9813411401559982,detail_412,0.4832314392622733,24453.5
2010,15325.0,7760.200000000001,7564.799999999999,7564.799999999999,14992.1,1.0222050279814034,detail_412,0.4878313684559183,25964.3
2011,16540.2,8655.400000000001,7884.799999999999,7884.799999999999,15542.6,1.0641848854117073,detail_412,0.4969037547424882,27517.200000000004
2012,17243.9,9046.100000000002,8197.8,8197.8,16197.0,1.064635426313515,detail_412,0.4944128431413554,28690.8
2013,17954.3,9387.1,8567.2,8567.2,16785.0,1.0696633899314865,detail_412,0.4929752592384055,29837.4
2014,18763.2,9840.0,8923.2,8923.2,17527.3,1.0705128570858031,detail_412,0.4910818394987378,31217.200000000004
2015,18695.5,9485.7,9209.8,9209.8,18224.8,1.0258274439225672,detail_412,0.4775503753457131,31637.5
2016,18879.2,9496.3,9382.9,9382.9,18745.1,1.0071538695445743,detail_412,0.4706979453243116,32277.6
2017,19838.4,10007.799999999996,9830.6,9830.6,19485.4,1.0181161279727384,detail_412,0.4706983777270458,33859.9
2018,21071.8,10712.4,10359.4,10359.4,20533.1,1.0262356877432048,detail_412,0.4727258032601396,35881.899999999994
2019,21479.6,10751.899999999998,10727.7,10727.7,21381.0,1.004611571021,detail_412,0.4661252467853756,37026.100000000006
2020,20176.3,9918.8,10257.5,10257.5,21060.5,0.958016191448446,detail_412,0.4428574595679115,36085.2
2021,23695.7,12015.2,11680.5,11680.5,23315.1,1.0163241847558022,detail_412,0.4535962313632169,41182.0
2022,26976.5,13871.4,13105.1,13105.1,25462.7,1.0594516685190494,detail_412,0.4658097708754091,45948.8
2023,27623.5,13698.8,13924.7,13924.7,27360.9,1.0095976375046145,detail_412,0.4595387551735514,47887.8
2024,28592.300000000003,14068.000000000004,14524.3,14524.3,28780.8,0.993450494774294,detail_412,0.45557891458382,50087.7
