year,value
1948,25134.98
1949,24404.835000000003
1950,25269.660000000003
1951,26830.115
1952,27337.829999999998
1953,28115.75
1954,27280.435
1955,28187.835000000003
1956,29154.645000000004
1957,29432.129999999997
1958,28451.15
1959,29551.275
1960,30011.54
1961,29868.085000000003
1962,30764.435
1963,31364.84
1964,32243.315
1965,33629.700000000004
1966,35446.58
1967,36488.01
1968,37579.1
1969,38878.905
1970,39006.11
1971,39014.170000000006
1972,40277.185
1973,41996.11
1974,42784.105
1975,41872.87
1976,43148.04000000001
1977,44777.91500000001
1978,47026.33
1979,48691.11
1980,48918.545000000006
1981,49244.455
1982,48165.325000000004
1983,48305.659999999996
1984,50546.21
1985,51984.855
1986,52836.745
1987,54148.835
1988,55940.884999999995
1989,57443.36
1990,58325.28
1991,57835.44
1992,58113.705
1993,59263.425
1994,61096.23
1995,62827.57000000001
1996,64137.19000000001
1997,65844.09000000001
1998,67582.45
1999,69236.635
2000,70833.1
2001,70824.065
2002,69988.88
2003,69778.54000000001
2004,70599.1
2005,71872.385
2006,73282.235
2007,74193.08
2008,73948.225
2009,70825.625
2010,70351.515
2011,71233.89
2012,72523.62000000001
2013,73737.105
2014,75161.06
2015,76776.44
2016,78171.6
2017,79540.24
2018,80979.99
2019,82290.58499999999
2020,77119.25
2021,79441.44
2022,83193.63
2023,85262.77500000001
2024,86480.615
2025,86970.975
