year,value
1948,198.47
1949,189.06
1950,212.56
1951,244.59000000000003
1952,254.34000000000003
1953,268.66
1954,261.40000000000003
1955,287.17
1956,303.11
1957,314.62999999999994
1958,307.99999999999994
1959,334.92999999999995
1960,343.72
1961,347.54
1962,371.4
1963,389.68
1964,412.30000000000007
1965,447.4100000000001
1966,483.75
1967,500.66
1968,545.14
1969,586.54
1970,602.4699999999999
1971,644.6999999999999
1972,714.33
1973,837.3900000000001
1974,926.5600000000002
1975,1023.77
1976,1187.33
1977,1367.27
1978,1545.8900000000003
1979,1710.4899999999998
1980,1851.26
1981,2078.34
1982,2114.61
1983,2235.61
1984,2497.2500000000005
1985,2618.65
1986,2664.4800000000005
1987,2808.6600000000003
1988,3122.9900000000007
1989,3278.25
1990,3480.1403021736296
1991,3606.748388291214
1992,3831.97116730622
1993,4040.825931410236
1994,4301.566197361182
1995,4516.628894300449
1996,4777.369445285297
1997,5060.299999999999
1998,5187.1
1999,5462.900000000001
2000,5892.0
2001,5849.9
2002,5757.9
2003,6001.799999999998
2004,6511.799999999999
2005,7237.799999999999
2006,7640.2
2007,8103.199999999999
2008,8461.9
2009,6940.1
2010,7760.200000000001
2011,8655.400000000001
2012,9046.100000000002
2013,9387.1
2014,9840.0
2015,9485.7
2016,9496.3
2017,10007.799999999996
2018,10712.4
2019,10751.899999999998
2020,9918.8
2021,12015.2
2022,13871.4
2023,13698.8
2024,14068.000000000004
