year,value
1948,149.91000000000003
1949,148.59000000000003
1950,165.09
1951,188.26999999999995
1952,194.8
1953,204.27999999999997
1954,208.25
1955,228.15000000000003
1956,236.74
1957,249.88
1958,256.03
1959,278.35
1960,285.93999999999994
1961,295.95
1962,319.53
1963,337.07
1964,364.0
1965,394.44
1966,430.0800000000001
1967,453.40999999999997
1968,493.1200000000001
1969,523.24
1970,546.8599999999999
1971,596.03
1972,645.51
1973,719.6299999999999
1974,778.8199999999999
1975,868.79
1976,971.2499999999999
1977,1086.66
1978,1221.7699999999998
1979,1347.4400000000003
1980,1463.6700000000003
1981,1669.4
1982,1726.0600000000002
1983,1867.15
1984,2103.7000000000003
1985,2258.3100000000004
1986,2389.25
1987,2555.52
1988,2755.1799999999994
1989,2945.31
1990,2953.6243372781682
1991,2855.996823595555
1992,2871.1875832615488
1993,2846.262679790141
1994,2857.834180479218
1995,2797.3562708998115
1996,2772.720765876867
1997,2745.1573062951925
1998,2950.554429684312
1999,3039.3946949165284
2000,3159.026225889985
2001,3097.868998795981
2002,3143.0903044905162
2003,3336.5889073730773
2004,3543.549424805843
2005,3713.9888718340276
2006,3849.832018734065
2007,3905.5317965081404
2008,3839.050507032065
2009,3707.7258507071515
2010,3919.184121517223
2011,3960.300291376345
2012,4125.283161957642
2013,4310.870387828697
2014,4441.265389228668
2015,4548.217770060002
2016,4567.354665343035
2017,4816.575964960979
2018,5091.12299123009
2019,5205.530281880361
2020,4706.743694978082
2021,5631.098456499324
2022,6235.741797558499
2023,6729.867886887148
2024,6882.848165872432
