year,value
1959,-23107.54731480456
1960,-43577.15498909328
1961,-33192.15202080339
1962,-26134.22094585552
1963,-35578.09985480721
1964,-18673.770462659686
1965,-22737.35296773167
1966,-28525.49210193254
1967,-35640.6081202761
1968,-41329.10105644015
1969,-64316.644892292716
1970,-45570.50451985486
1971,-42830.93378173016
1972,-47808.52072913456
1973,-37613.656744729524
1974,230416.84335348473
1975,-87579.93168155817
1976,-82609.12364428998
1977,-96550.26751941121
1978,-79644.15621916727
1979,-216887.74104515783
1980,-586029.824147241
1981,-251890.73670306042
1982,-261127.94042497373
1983,-153951.42144856084
1984,-89248.19746714807
1985,-220630.46974222283
1986,-189143.7319373092
1987,-462237.3217279878
1988,-166050.6766842317
1989,-325304.82919889886
1990,-469958.533938751
1991,-1012293.9708040393
1992,-232037.40795797584
1993,-609405.3441132588
1994,-415982.98020992684
1995,-370414.82555806683
1996,-486495.53252839757
1997,-526684.8306024064
1998,-407398.0591366398
1999,-787609.9118255926
2000,-571358.596180007
2001,-834466.6325929435
2002,-481880.9531086557
2003,-470441.2496887529
2004,-354686.08790686436
2005,-1305634.4377680717
2006,-482151.16628222563
2007,-804777.0625082214
2008,-946097.6149946392
2009,10789.687584194622
2010,-32050.22078385773
2011,-295477.8378772045
2012,-285649.5652239907
2013,814214.331822606
2014,-342512.6847642939
2015,-353736.1185114781
2016,-653364.0879555299
2017,-452911.82206892135
2018,-367367.77170488355
2019,-458407.8406957512
2020,-117873.31611164463
2021,-462788.8332938013
2022,498555.0256589286
2023,-206801.848796089
2024,-351210.169895497
