year,value
1929,0.29323146146307216
1930,-41752.527873015875
1931,-62878.47035294117
1932,-12573.876641221375
1933,-56402.19806896552
1934,21955.552083333336
1935,24821.38804123712
1936,23255.125650793656
1937,101632.8729411765
1938,-58999.270400000016
1939,42291.97504761905
1940,60785.46529411766
1941,37044.61255696202
1942,60505.69743283582
1943,233491.473
1944,439887.80154838716
1945,-1386588.2763636364
1946,-1499394.5600000003
1947,-467615.27141463425
1948,429693.31894339615
1949,3017157.936
1950,315849.87391304347
1951,1081240.0529411768
1952,1246561.7481142858
1953,1043974.1241666668
1954,3535006.6120000007
1955,866313.7500895521
1956,1422404.6958333338
1957,2958302.4049230777
1958,7986681.920000001
1959,2133427.656
1960,4129616.5541538466
1961,3332548.6848000004
1962,2732571.6186122447
1963,3938290.8395789484
1964,2426108.425352113
1965,3175785.707741936
1966,4286411.8549433965
1967,5951157.678181818
1968,7209438.5168
1969,11531837.658352941
1970,9909916.401913045
1971,11622146.527826088
1972,13155218.004
1973,12291961.452903226
1974,-80638093.76727273
1975,41008845.17120001
1976,38366355.159
1977,46535070.699999996
1978,40005778.661333345
1979,112021381.19200002
1980,324984741.51000005
1981,146920960.3826087
1982,165848026.596
1983,117744470.31311113
1984,76668642.03653732
1985,189835691.8947097
1986,173059902.84189475
1987,420514775.8777779
1988,173163137.87733337
1989,345457443.3288276
1990,540809570.007619
1991,1401955385.7386668
1992,354627682.05
1993,960288924.27
1994,647220200.1825186
1995,567788094.4155152
1996,661974791.5680001
1997,639995336.0560001
1998,439709265.1218982
1999,909791388.7425
2000,676413123.457306
2001,1212150470.6537933
2002,1203321665.4064515
2003,1637941328.41472
2004,1458293523.456
2005,4439578499.244001
2006,1657228595.4142225
2007,2841263080.2695656
2008,4228786262.62
2009,31868370450.092
2010,3547471915.3418946
2011,3301606745.281818
2012,2884000310.3354073
2013,-5986738544.05543
2014,2616935644.3648
2015,2533695163.738667
2016,5493427832.2560005
2017,3669300929.3450327
2018,3547992805.328001
2019,4530293915.136001
2020,2205480175.5712504
2021,4379551963.110564
2022,-3523071241.706286
2023,3710897272.857403
2024,8102942571.424828
2025,16402911169.235298
