year,gdp,go_total,go_productive,go_trading,go_unproductive,go_government,tp_star,cm_star,gfp_star,va_productive,va_trading,tp_gdp_ratio,go_gdp_ratio,productive_go_share
1997,8577.6,15068.1,8103.4,1604.3,3752.8,1607.6,9707.699999999999,5060.299999999999,4647.4,3540.0,1107.4,1.1317501398992724,1.7566801902630107,0.537785122211825
1998,9062.8,15856.4,8407.7,1663.9,4114.7,1670.1,10071.6,5187.1,4884.5,3694.9,1189.6,1.1113121772520635,1.7496138058878052,0.5302401553946672
1999,9631.2,16869.2,8829.1,1780.0,4487.5,1772.6,10609.1,5462.900000000001,5146.2,3909.9,1236.3,1.1015345958966691,1.7515159066367638,0.523385815569203
2000,10252.3,18176.399999999998,9469.0,1880.5,4939.3,1887.6,11349.5,5892.0,5457.5,4150.2,1307.3,1.1070198882202043,1.7729094934795118,0.5209502431724654
2001,10581.9,18416.4,9492.9,1852.8,5054.3,2016.4,11345.699999999999,5849.9,5495.799999999999,4173.7,1322.1,1.0721798542794772,1.7403679868454627,0.5154590473708216
2002,10936.4,18712.7,9427.0,1937.3,5199.0,2149.4,11364.3,5757.9,5606.4,4261.4,1345.0,1.0391262206941956,1.71104751106397,0.5037755107493841
2003,11458.2,19686.899999999998,9862.8,2037.3,5510.3,2276.5,11900.099999999999,6001.799999999998,5898.3,4488.0,1410.3,1.0385662669529243,1.7181494475572077,0.5009828870975116
2004,12213.7,21231.6,10639.8,2209.9,5970.2,2411.7000000000003,12849.699999999999,6511.799999999999,6337.9,4846.3,1491.6,1.0520726724907274,1.7383430082612146,0.501130390549935
2005,13036.6,23047.9,11615.3,2347.6,6529.0,2556.0,13962.9,7237.799999999999,6725.1,5131.6,1593.5,1.071053802371784,1.7679379592838624,0.5039634847426446
2006,13814.6,24441.8,12319.7,2498.8,6918.0,2705.3,14818.5,7640.2,7178.3,5499.0,1679.3,1.0726694945926774,1.7692730878925194,0.5040422554803656
2007,14451.9,25752.1,12955.8,2604.9,7332.1,2859.3,15560.699999999999,8103.199999999999,7457.5,5731.9,1725.6,1.0767234758059494,1.7819179485050407,0.5030968348212379
2008,14712.8,26515.399999999998,13423.4,2604.4,7437.9,3049.7,16027.8,8461.9,7565.9,5831.7,1734.1999999999998,1.089377956609211,1.8021994453808927,0.506249198578939
2009,14448.9,24453.5,11816.7,2362.6,7113.6,3160.6,14179.300000000001,6940.1,7239.200000000001,5574.8,1664.4,0.9813411401559982,1.6924125711991918,0.4832314392622733
2010,14992.1,25964.3,12666.2,2658.8,7367.7,3271.6,15325.0,7760.200000000001,7564.799999999999,5813.7,1751.1,1.0222050279814034,1.731865449136545,0.48783136845591835
2011,15542.6,27517.200000000004,13673.4,2866.8,7675.1,3301.9,16540.2,8655.400000000001,7884.799999999999,6066.4,1818.4,1.0641848854117073,1.770437378559572,0.49690375474248827
2012,16197.0,28690.8,14185.1,3058.8,8117.6,3329.2999999999997,17243.9,9046.100000000002,8197.8,6276.6,1921.1999999999998,1.064635426313515,1.771365067605112,0.4944128431413554
2013,16785.0,29837.399999999998,14709.1,3245.2,8514.9,3368.2000000000003,17954.3,9387.099999999999,8567.2,6544.8,2022.4,1.0696633899314865,1.7776228775692582,0.4929752592384055
2014,17527.3,31217.200000000004,15330.2,3433.0,9024.6,3429.4,18763.2,9840.0,8923.2,6812.9,2110.3,1.0705128570858033,1.7810615439913737,0.49108183949873785
2015,18224.8,31637.5,15108.5,3587.0,9440.6,3501.4,18695.5,9485.7,9209.8,6980.0,2229.8,1.0258274439225672,1.7359586936482156,0.47755037534571315
2016,18745.1,32277.6,15193.0,3686.2000000000003,9817.4,3581.0,18879.2,9496.3,9382.900000000001,7106.8,2276.1000000000004,1.0071538695445745,1.7219219956148542,0.47069794532431164
2017,19485.4,33859.9,15937.8,3900.6,10343.6,3677.9,19838.399999999998,10007.799999999997,9830.6,7475.6,2355.0,1.0181161279727384,1.737706180011701,0.4706983777270458
2018,20533.1,35881.899999999994,16962.3,4109.5,10939.4,3870.7000000000003,21071.8,10712.4,10359.4,7913.7,2445.7,1.0262356877432048,1.7475149879949934,0.4727258032601396
2019,21381.0,37026.100000000006,17258.8,4220.8,11489.2,4057.3,21479.6,10751.899999999998,10727.7,8153.3,2574.3999999999996,1.004611571021,1.7317291052803894,0.46612524678537565
2020,21060.5,36085.2,15980.6,4195.7,11716.800000000001,4192.1,20176.3,9918.8,10257.5,7620.0,2637.5,0.9580161914484461,1.7134066142779134,0.44285745956791156
2021,23315.1,41182.0,18680.0,5015.7,12978.6,4507.7,23695.7,12015.2,11680.5,8728.2,2952.3,1.0163241847558022,1.766323112489331,0.4535962313632169
2022,25462.7,45948.8,21403.4,5573.1,14138.8,4833.5,26976.5,13871.400000000001,13105.099999999999,9862.9,3242.2,1.0594516685190494,1.80455332702345,0.46580977087540915
2023,27360.9,47887.8,22006.3,5617.2,15209.0,5055.3,27623.5,13698.800000000001,13924.699999999999,10492.3,3432.3999999999996,1.0095976375046143,1.7502275144457968,0.45953875517355147
2024,28780.8,50087.700000000004,22818.9,5773.4,16149.4,5346.0,28592.300000000003,14068.000000000004,14524.3,10969.0,3555.3,0.9934504947742941,1.740316460973983,0.45557891458382
