year,value
1959,1655426.5119545455
1960,3182730.835769231
1961,2672849.161
1962,2162866.4759795913
1963,3177953.3111052634
1964,1971463.221633803
1965,2661974.778096774
1966,4006064.5815660385
1967,6232539.486636363
1968,7683548.55
1969,12695506.642470587
1970,11553253.225130433
1971,14009779.716434782
1972,16488741.603208335
1973,15712003.546967741
1974,-110714903.19636363
1975,60962339.241
1976,56965025.49693749
1977,68824630.724
1978,60277857.967222236
1979,176915695.542
1980,518289879.46325
1981,221859499.26460868
1982,265700220.04981816
1983,185734570.02416667
1984,118772347.0076567
1985,298026896.77135485
1986,277066451.22447366
1987,670601273.5096668
1988,275283369.906
1989,567651055.781345
1990,918055793.1085236
1991,2431153507.992
1992,634139350.663
1993,1764013167.1934998
1994,1166145154.4952223
1995,1064873559.8023332
1996,1255284087.544
1997,1207969360.8939998
1998,822131778.0551693
1999,1704411731.3459997
2000,1288280859.370163
2001,2479088201.337276
2002,2501122893.9375486
2003,3388401762.5996
2004,2993192565.4960003
2005,8944555877.563503
2006,3387972111.195445
2007,6007221689.910957
2008,9423718020.0445
2009,76600722348.45099
2010,8630419515.746683
2011,7940896325.771453
2012,6874263002.718555
2013,-14184029002.216858
2014,6275493120.666573
2015,6205533007.033691
2016,13546507175.965
2017,8959295251.160902
2018,8501023411.0303335
2019,10860409521.390032
2020,5814556880.003063
2021,11080343153.187231
2022,-8884471244.975216
2023,9725520973.071648
2024,21670985224.598965
