period,start_year,end_year,e_start,e_end,e_mean,e_change,r_mean,tp_gdp_mean
Golden Age,1948,1973,1.6956226671191046,1.9423736133228964,1.9456451083947488,0.2467509462037918,0.8997145744257631,1.4684360490317088
Stagflation,1973,1980,1.9423736133228964,2.071631777843829,2.0504797809316866,0.12925816452093253,0.7614639274186039,1.4319302658850663
Reagan Era,1980,1989,2.071631777843829,2.4414041777188324,2.289602781240986,0.36977239987500354,0.7462290447406374,1.3949659783399357
Transition,1990,1996,2.4409503586777395,2.250504741732424,2.3350379205113443,-0.19044561694531525,0.6543387036340651,1.2375937823136245
Clinton-Bush,1997,2007,2.221447486338725,1.6147790680276695,1.9826394397396527,-0.6066684183110553,0.4890217375832578,1.0794553262232678
GFC+Recovery,2008,2015,1.5158373904213316,1.3927100090956688,1.48621428317848,-0.12312738132566281,0.39691604826729354,1.0484685159264615
Late Expansion,2016,2019,1.3434839888941863,1.3343367812210314,1.3541758380966036,-0.009147207673154911,0.40210451120755697,1.0140293140703793
COVID+Post,2020,2024,1.1926827339135921,1.2614781887118445,1.2737983095184,0.06879545479825233,0.37751340828381796,1.007368035400441
