year,P_plus_over_S_star,Eu_share
1948,0.8682209325595358,0.1317790674404642
1949,0.8623797025371828,0.13762029746281723
1950,0.8574595675086316,0.14254043249136839
1951,0.8562649386519361,0.1437350613480639
1952,0.8534548254620123,0.14654517453798765
1953,0.8516399060113571,0.14836009398864292
1954,0.8471068427370947,0.1528931572629053
1955,0.8542932281393819,0.1457067718606181
1956,0.8451381262144124,0.15486187378558758
1957,0.8462582039378901,0.15374179606210991
1958,0.8458344725227512,0.15416552747724876
1959,0.8472247170828093,0.15277528291719067
1960,0.8431803874938798,0.1568196125061202
1961,0.8507754688291939,0.14922453117080614
1962,0.8503739867931025,0.1496260132068975
1963,0.8515797905479575,0.14842020945204248
1964,0.8474862637362638,0.1525137362637362
1965,0.8540563837339011,0.14594361626609886
1966,0.8467378162202378,0.1532621837797622
1967,0.8340552700646213,0.16594472993537868
1968,0.831237832576249,0.16876216742375105
1969,0.8278361746043881,0.17216382539561192
1970,0.8227992539223937,0.17720074607760627
1971,0.8386406724493732,0.16135932755062676
1972,0.8485956840327802,0.15140431596721982
1973,0.851400025012854,0.14859997498714606
1974,0.8442618320022598,0.1557381679977402
1975,0.8490820566535066,0.15091794334649344
1976,0.8494877734877736,0.1505122265122264
1977,0.8429508769992453,0.1570491230007547
1978,0.8469957520646277,0.15300424793537226
1979,0.8535459834946267,0.14645401650537326
1980,0.8438104217480713,0.1561895782519287
1981,0.8473199952078591,0.15268000479214094
1982,0.84053045664693,0.15946954335306995
1983,0.8684620946362102,0.13153790536378984
1984,0.8659699576935874,0.13403004230641258
1985,0.8642104051259569,0.13578959487404307
1986,0.8528065292455792,0.1471934707544208
1987,0.8345894377660906,0.16541056223390938
1988,0.8305994526673396,0.1694005473326604
1989,0.8494790022102936,0.1505209977897064
1990,0.8879839480253413,0.11201605197465869
1991,0.948044821909589,0.05195517809041095
1992,0.9933454075334763,0.006654592466523668
1993,1.0685131142654187,-0.06851311426541873
1994,1.1480876050862459,-0.14808760508624585
1995,1.230326303375343,-0.2303263033753431
1996,1.3186253895435955,-0.31862538954359554
1997,1.4092941016998268,-0.40929410169982683
1998,1.3528572663636915,-0.3528572663636915
1999,1.391227670125327,-0.391227670125327
2000,1.3940390756836232,-0.3940390756836232
2001,1.466679514778033,-0.46667951477803293
2002,1.525248254290005,-0.525248254290005
2003,1.5293595170576497,-0.5293595170576497
2004,1.551469258905914,-0.551469258905914
2005,1.6082681467622146,-0.6082681467622146
2006,1.645761936928206,-0.6457619369282059
2007,1.6888232752059866,-0.6888232752059866
2008,1.7486188284586508,-0.7486188284586508
2009,1.8121749747809743,-0.8121749747809743
2010,1.8176237143056855,-0.8176237143056855
2011,1.8618681558204335,-0.8618681558204335
2012,1.863291972508462,-0.863291972508462
2013,1.8663618425448503,-0.8663618425448503
2014,1.8818803353364912,-0.8818803353364912
2015,1.8898831222601293,-0.8898831222601293
2016,1.935213191799756,-0.9352131917997559
2017,1.9075231174256861,-0.9075231174256861
2018,1.9051026692357618,-0.9051026692357618
2019,1.9389707586820595,-0.9389707586820595
2020,2.0772626753464056,-1.0772626753464056
2021,1.9831425584667082,-0.9831425584667082
2022,2.0224116728081527,-1.0224116728081527
2023,2.021454838141331,-1.0214548381413309
2024,2.07340822521124,-1.07340822521124
