year,value
1929,0.8341016982870852
1930,-53513.91457142857
1931,-74699.07635294116
1932,-14315.157816793895
1933,-64742.296068965516
1934,25195.152833333337
1935,28965.03004123712
1936,27704.57087301588
1937,128942.54276470591
1938,-74339.95267272729
1939,50887.31707142858
1940,73864.42841176472
1941,46721.652518987335
1942,92619.51088059701
1943,626455.78275
1944,1148237.4037096775
1945,-3618953.4054545453
1946,-3415727.5490000006
1947,-1106498.6781951222
1948,952624.3404339621
1949,6036084.6155
1950,641196.4708260869
1951,2558960.9168823534
1952,3085368.5518285716
1953,2534636.1565833334
1954,8148173.282714287
1955,1997110.440970149
1956,3322660.084208334
1957,6885430.452230771
1958,18189182.117000002
1959,4880569.807681818
1960,9467888.573846154
1961,7523246.7008
1962,6227812.343897958
1963,8968675.508473685
1964,5183383.404211269
1965,6946408.563806453
1966,9912876.199113209
1967,13940223.705727272
1968,17469093.670133334
1969,29496360.17923529
1970,23876957.220434785
1971,26325044.329695653
1972,31993140.648666672
1973,29647597.020322584
1974,-202535885.3947273
1975,96935961.30020002
1976,94934837.1305625
1977,118626416.2741875
1978,107204400.9805556
1979,321098558.417
1980,932337806.1590002
1981,416407621.8542174
1982,471085526.21427274
1983,315012571.2811667
1984,201655747.61344776
1985,511595392.31712914
1986,465936357.75547373
1987,1160989300.323889
1988,465614457.9790001
1989,960099327.9288967
1990,1486720524.9475236
1991,3659746899.4693336
1992,916604852.921
1993,2508090326.3905
1994,1675584521.2056665
1995,1519872529.440515
1996,1854668882.105
1997,1858821931.191
1998,1327090587.6065931
1999,2787078268.3377495
2000,2151718555.187326
2001,3792080559.419035
2002,3285655004.1929355
2003,4188375461.16592
2004,3660490344.0629997
2005,11579031815.581001
2006,4476574168.400889
2007,7953670731.293914
2008,11819832197.15525
2009,76574984603.886
2010,8709890597.79621
2011,8737205351.996454
2012,7673835430.180592
2013,-16573229187.338291
2014,7336339117.644371
2015,7360743056.524847
2016,15767709079.901
2017,10558899737.860195
2018,9861140912.579334
2019,12648758674.241066
2020,6279730481.113188
2021,13067390240.783
2022,-11308910798.749893
2023,10779058097.944786
2024,23587254534.200897
