year,value
1959,-3225120.378727272
1960,-6285133.064076923
1961,-4850369.174799999
1962,-4064916.725918367
1963,-5790691.532368422
1964,-3211888.519577466
1965,-4284399.419709679
1966,-5906773.649547171
1967,-7707637.912090909
1968,-9785491.257133335
1969,-16800793.978764705
1970,-12323631.537304351
1971,-12315178.390260871
1972,-15504303.272458337
1973,-13935483.687354842
1974,91821112.07636367
1975,-35973456.93820002
1976,-37969631.50062501
1977,-49801593.489187494
1978,-46926336.84433336
1979,-144182632.492
1980,-414047651.65475017
1981,-194547810.49260873
1982,-205384958.98245457
1983,-129277627.13299999
1984,-82883016.02379106
1985,-213568088.4057743
1986,-188869473.52600008
1987,-490387574.62122226
1988,-190330606.62900007
1989,-392447745.94555163
1990,-568664151.0009999
1991,-1228592734.6983337
1992,-282464764.283
1993,-744076374.0630002
1994,-509438544.1764443
1995,-454998098.1181818
1996,-599383880.6620002
1997,-650851627.0290003
1998,-504957843.42842376
1999,-1082665536.0577497
2000,-863436642.0451629
2001,-1312991202.4537592
2002,-784530849.3243866
2003,-799972367.2133198
2004,-667296363.0659995
2005,-2634474435.519499
2006,-1088600451.7714443
2007,-1946447330.7579565
2008,-2396112242.3147507
2009,25739868.287994385
2010,-79468784.1495266
2011,-796306699.0380011
2012,-799570086.9250364
2013,2389202589.894434
2014,-1060843478.8417988
2015,-1155207393.9431553
2016,-2221199165.720999
2017,-1599601657.4662933
2018,-1360114552.8040009
2019,-1788346038.1040344
2020,-465169379.61712456
2021,-1987042488.4517708
2022,2424443595.571678
2023,-1053532942.3481388
2024,-1916264819.583931
