year,value
1939,
1940,
1941,
1942,
1943,
1944,
1945,
1946,
1947,
1948,0.5314067521253393
1949,0.5289180373682529
1950,0.5301483370875845
1951,0.5318326013020073
1952,0.5310704558002576
1953,0.530970946644402
1954,0.5279689785482918
1955,0.5277892514338649
1956,0.5278819995044599
1957,0.5279854126933171
1958,0.5255924647544968
1959,0.5260007354043318
1960,0.5251217998305522
1961,0.524456698334658
1962,0.5250846793029105
1963,0.5248929483678898
1964,0.5245598734459019
1965,0.5247821909032672
1966,0.5259547208121828
1967,0.5257239629938576
1968,0.5247937583606509
1969,0.5237886938949159
1970,0.5218612883236864
1971,0.519598232185165
1972,0.5185575669485553
1973,0.5187941080856154
1974,0.5185422827653955
1975,0.5161374122562313
1976,0.5155601142037809
1977,0.5150002330508475
1978,0.5145171947160511
1979,0.5143274606386764
1980,0.5133280801263642
1981,0.5124461316435175
1982,0.5101974549813235
1983,0.5082609952485906
1984,0.5079053922553759
1985,0.5063684878343877
1986,0.5044815750065328
1987,0.5037643540552715
1988,0.5043306358244365
1989,0.5050690162614418
1990,0.5058890512015193
1991,0.5067014773963886
1992,0.507468630217573
1993,0.507511256693169
1994,0.5074171533229591
1995,0.5083526373167762
1996,0.5085155274578536
1997,0.5088414992272025
1998,0.5090048559083521
1999,0.5089825985854458
2000,0.5097141677650018
2001,0.5094137731963446
2002,0.5089749682318538
2003,0.5086484788029925
2004,0.5090444005920078
2005,0.5094555841161591
2006,0.5102733447919492
2007,0.510830900578353
2008,0.5119351562386137
2009,0.512482529267048
2010,0.5127858153987801
2011,0.512990710067694
2012,0.5135659423800828
2013,0.5137117632607564
2014,0.51397541803733
2015,0.5143660340900276
2016,0.5145291411468004
2017,0.5154029602346362
2018,0.51668294558545
2019,0.5180481478413571
2020,0.5153507090502385
2021,0.5159099286319762
2022,0.5180889320808395
2023,0.5195781535648996
2024,0.5209873822085812
2025,0.5214778321625358
