year,value
1929,0.791
1930,0.869
1931,1.921
1932,1.274
1933,1.274
1934,1.347
1935,1.584
1936,2.687
1937,1.6
1938,2.142
1939,2.237
1940,2.394
1941,2.306
1942,2.322
1943,2.102
1944,2.674
1945,5.142
1946,10.12
1947,10.428
1948,9.881
1949,10.857
1950,13.417
1951,10.538
1952,10.994
1953,11.674
1954,13.747
1955,14.754
1956,15.592
1957,18.132
1958,22.226
1959,22.917
1960,24.674
1961,28.365
1962,29.142
1963,30.665
1964,31.663
1965,34.366
1966,37.968
1967,46.307
1968,53.863
1969,59.558
1970,72.458
1971,86.223
1972,95.773
1973,109.786
1974,129.878
1975,165.121
1976,180.133
1977,192.061
1978,206.169
1979,230.383
1980,275.041
1981,312.097
1982,347.182
1983,374.124
1984,384.582
1985,407.14
1986,433.005
1987,452.193
1988,481.444
1989,526.202
1990,580.838
1991,656.779
1992,737.975
1993,785.134
1994,822.534
1995,871.52
1996,913.899
1997,943.268
1998,966.123
1999,1000.934
2000,1053.772
2001,1155.628
2002,1260.931
2003,1331.353
2004,1415.501
2005,1502.498
2006,1605.434
2007,1710.625
2008,1934.796
2009,2123.723
2010,2297.9
2011,2327.187
2012,2340.537
2013,2404.773
2014,2518.136
2015,2655.548
2016,2738.215
2017,2829.233
2018,2948.745
2019,3114.747
2020,4221.493
2021,4599.144
2022,4041.797
2023,4182.525
2024,4490.018
