year,value
1939,
1940,
1941,
1942,
1943,
1944,
1945,
1946,
1947,
1948,0.5593755285529888
1949,0.5567558288086873
1950,0.5580508811448258
1951,0.5598237908442182
1952,0.5590215324213238
1953,0.5589167859414759
1954,0.5557568195245177
1955,0.5555676330882788
1956,0.5556652626362736
1957,0.5557741186245444
1958,0.5532552260573651
1959,0.5536849846361388
1960,0.5527597892953181
1961,0.5520596824575348
1962,0.5527207150556953
1963,0.5525188930188314
1964,0.5521682878377915
1965,0.5524023062139655
1966,0.5536365482233503
1967,0.5533936452566922
1968,0.5524144824848957
1969,0.5513565198893852
1970,0.5493276719196699
1971,0.5469455075633316
1972,0.5458500704721635
1973,0.5460990611427531
1974,0.5458339818583111
1975,0.5433025392170856
1976,0.5426948570566115
1977,0.5421055084745764
1978,0.5415970470695275
1979,0.5413973269880804
1980,0.540345347501436
1981,0.5394169806773869
1982,0.5370499526119196
1983,0.5350115739458848
1984,0.5346372550056588
1985,0.5330194608783029
1986,0.531033236848982
1987,0.5302782674266017
1988,0.5308743534994068
1989,0.5316515960646756
1990,0.5325147907384413
1991,0.5333699762067249
1992,0.5341775054921822
1993,0.5342223754664936
1994,0.5341233192873254
1995,0.5351080392808171
1996,0.5352795025872142
1997,0.5356226307654763
1998,0.5357945851666864
1999,0.5357711564057325
2000,0.5365412292263176
2001,0.5362250244172049
2002,0.5357631244545831
2003,0.5354194513715711
2004,0.535836211149482
2005,0.5362690359117465
2006,0.5371298366231044
2007,0.537716737450898
2008,0.5388791118301197
2009,0.5394552939653137
2010,0.5397745425250317
2011,0.5399902211238885
2012,0.5405957288211398
2013,0.5407492244850067
2014,0.5410267558287685
2015,0.5414379306210817
2016,0.5416096222597899
2017,0.5425294318259328
2018,0.5438767848267896
2019,0.5453138398330075
2020,0.5424744305791984
2021,0.5430630827705012
2022,0.5453567706114101
2023,0.5469243721735785
2024,0.548407770745875
2025,0.5489240338553009
