year,L,Lp_mohun,Lu_mohun,Luw_mohun,Lum_mohun,Luw_Lu_ratio,Lum_Lu_ratio,Lp_L_ratio,Luw_L_ratio,Lum_L_ratio
1948,32496,18400.170694142387,14095.829305857613,6426.474620491641,7669.354685365971,0.4559131982267321,0.5440868017732678,0.5662287879782861,0.19776202057150544,0.23600919145020835
1949,35598,20095.911552249705,15502.088447750297,7106.109482528167,8395.97896522213,0.4583969125501554,0.5416030874498446,0.5645236123447863,0.19962103158964456,0.23585535606556912
1950,37400,21094.430689511373,16305.569310488629,7483.248699239114,8822.320611249512,0.4589382042873831,0.5410617957126168,0.564022210949502,0.2000868636160191,0.23589092543447893
1951,40473,22861.55230433821,17611.44769566179,8103.83283219278,9507.61486346901,0.46014575134496116,0.5398542486550388,0.5648593458438517,0.2002281232474188,0.23491253090872954
1952,41533,23543.64269249179,17989.35730750821,8220.910671663627,9768.44663584458,0.4569874582585821,0.5430125417414178,0.566865930524927,0.19793683749460975,0.23519723198046327
1953,42615,24193.39947302131,18421.60052697869,8510.931198120761,9910.669328857928,0.4620082378649121,0.5379917621350878,0.5677202739181346,0.1997167945118095,0.2325629315700558
1954,43396,24576.769333526503,18819.230666473497,8584.46848106546,10234.762185408037,0.45615406034417283,0.5438459396558272,0.5663372046623307,0.19781704491348187,0.23584575042418743
1955,43898,24864.79705655845,19033.202943441545,8733.495218965976,10299.707724475567,0.4588557819153271,0.5411442180846727,0.5664220934110541,0.19894972934908142,0.2346281772398644
1956,45539,25487.07547216768,20051.92452783232,9026.6250735293,11025.299454303018,0.45016252983598815,0.5498374701640116,0.5596757827832776,0.19821746357033093,0.2421067536463914
1957,49024,27356.19312289422,21667.80687710578,9813.301272711682,11854.505604394097,0.45289776341326093,0.547102236586739,0.5580163414428488,0.20017341042574416,0.241810248131407
1958,52339,29165.10818728672,23173.89181271328,10566.310076681522,12607.581736031756,0.455957512966588,0.544042487033412,0.5572347233857491,0.20188215435299722,0.24088312226125366
1959,55860,31478.52589708225,24381.474102917746,11052.225369353306,13329.248733564442,0.4533042310198414,0.5466957689801587,0.5635253472445803,0.19785580682694784,0.23861884592847193
1960,58681,32410.483800344755,26270.516199655245,11923.434684691072,14347.081514964171,0.45387135121644645,0.5461286487835535,0.5523164874549642,0.20319072075614036,0.2444927917888954
1961,61234,34181.83232271453,27052.16767728547,12305.37608076324,14746.791596522226,0.45487578768393966,0.5451242123160602,0.558216551633317,0.20095659406152205,0.24082685430516096
1962,61934,34491.41891805189,27442.581081948112,12472.658624370393,14969.922457577719,0.4545002012429137,0.5454997987570863,0.5569060438216793,0.20138629225256552,0.24170766392575513
1963,62672,34311.19732511231,28360.802674887687,12809.822814872481,15550.979860015204,0.4516734932264469,0.548326506773553,0.5474725128464436,0.2043946709036329,0.24813281624992348
1964,62736,34689.76425034491,28046.23574965509,12724.587706883132,15321.648042771954,0.4537003760670313,0.5462996239329686,0.5529482952426822,0.20282752656980255,0.2442241781875152
1965,63011,34775.78988473813,28235.21011526187,12733.753959949967,15501.456155311904,0.450988461143664,0.549011538856336,0.551900301292443,0.2020877935590606,0.24601190514849636
1966,65318,36059.2038232165,29258.7961767835,13206.137972657203,16052.658204126297,0.4513561628737177,0.5486438371262823,0.5520561533301157,0.20218221581581192,0.24576163085407235
