year,L,Lp_mohun,Lp_mohun_L_ratio,Lu_mohun
1948,32496,18400.170694142387,0.5662287879782861,14095.829305857613
1949,35598,20095.911552249705,0.5645236123447863,15502.088447750295
1950,37400,21094.430689511373,0.564022210949502,16305.569310488627
1951,40473,22861.55230433821,0.5648593458438517,17611.44769566179
1952,41533,23543.64269249179,0.566865930524927,17989.35730750821
1953,42615,24193.39947302131,0.5677202739181346,18421.60052697869
1954,43396,24576.769333526503,0.5663372046623307,18819.230666473497
1955,43898,24864.797056558455,0.5664220934110541,19033.202943441545
1956,45539,25487.075472167682,0.5596757827832777,20051.924527832318
1957,49024,27356.19312289422,0.5580163414428488,21667.80687710578
1958,52339,29165.10818728672,0.5572347233857491,23173.89181271328
1959,55860,31478.525897082254,0.5635253472445803,24381.474102917746
1960,58681,32410.483800344755,0.5523164874549642,26270.516199655245
1961,61234,34181.83232271453,0.558216551633317,27052.16767728547
1962,61934,34491.41891805189,0.5569060438216793,27442.581081948112
1963,62672,34311.19732511231,0.5474725128464436,28360.802674887687
1964,62736,34689.76425034491,0.5529482952426822,28046.23574965509
1965,63011,34775.78988473813,0.551900301292443,28235.21011526187
1966,65318,36059.2038232165,0.5520561533301157,29258.7961767835
1967,68472,37221.89288615575,0.5436075021345331,31250.10711384425
1968,72265,39314.74501886334,0.5440357713812127,32950.25498113666
1969,76532,41572.29311489075,0.5432014466483399,34959.70688510925
1970,78966,42650.70281741397,0.5401147686018536,36315.29718258603
1971,81989,45118.693136514754,0.5503017860507478,36870.306863485246
1972,83454,44802.57954896301,0.5368535905883841,38651.42045103699
1973,81918,44238.59470586346,0.5400350924810599,37679.40529413654
1974,81867,44123.24319821582,0.5389625025738799,37743.75680178418
1975,81901,44130.865528670576,0.538831827800278,37770.134471329424
1976,83840,44916.83421552428,0.5357446829141732,38923.16578447572
1977,86903,46920.47432800207,0.5399177741620206,39982.52567199793
1978,91277,49684.919775135364,0.5443312091231676,41592.080224864636
1979,96442,50430.81632620099,0.5229134228469027,46011.18367379901
1980,100896,54044.43336604109,0.5356449548648221,46851.56663395891
1981,102251,54338.04208151314,0.531418197196244,47912.95791848686
1982,102620,54942.99064969256,0.535402364545825,47677.00935030744
1983,102084,53677.29886109578,0.5258150039290759,48406.70113890422
1984,101052,53132.285859987576,0.5257915316865335,47919.714140012424
1985,101239,53202.88780198007,0.5255177135489294,48036.11219801993
1986,103605,54414.266935698804,0.5252088889117206,49190.733064301196
1987,106911,56452.902627558666,0.528036428688897,50458.097372441334
1988,112428,58472.30262289827,0.5200866565526228,53955.69737710173
1989,117819,61837.68523795661,0.5248532514955704,55981.31476204339
