year,Wp_mohun,Lp_mohun,V_star_mohun,V_star_per_worker
1948,1112758.1973726365,18400.170694142387,1112758.1973726365,60.47542796583285
1949,1288243.390005534,20095.911552249705,1288243.390005534,64.10475019538575
1950,1395946.6588565577,21094.430689511373,1395946.6588565577,66.17607649163311
1951,1643471.5756494335,22861.55230433821,1643471.5756494335,71.88801327972678
1952,1763442.9504342042,23543.64269249179,1763442.9504342042,74.90102417314449
1953,1913274.5813064391,24193.39947302131,1913274.5813064391,79.0825027892414
1954,2040518.3531820788,24576.769333526503,2040518.3531820788,83.02630526781635
1955,2120979.8997765514,24864.79705655845,2120979.8997765514,85.30051119870741
1956,2258434.7034675893,25487.07547216768,2258434.7034675893,88.61097876583912
1957,2567275.6164013026,27356.19312289422,2567275.6164013026,93.84623090165154
1958,2835403.9547110503,29165.10818728672,2835403.9547110503,97.21904463728418
1959,3174332.8272317406,31478.52589708225,3174332.8272317406,100.84121593273115
1960,3374474.820311998,32410.483800344755,3374474.820311998,104.11676792915085
1961,3708144.2743815067,34181.83232271453,3708144.2743815067,108.48289931834253
1962,3850714.120405576,34491.41891805189,3850714.120405576,111.64267058871896
1963,3989215.7700842586,34311.19732511231,3989215.7700842586,116.26571151932835
1964,4158773.6064608996,34689.76425034491,4158773.6064608996,119.8847468794646
1965,4269809.345328181,34775.78988473813,4269809.345328181,122.78108878274682
1966,4582809.215446544,36059.2038232165,4582809.215446544,127.09124799078148
1967,4872903.560371063,37221.89288615575,4872903.560371063,130.91498530918298
1968,5275487.514373867,39314.74501886334,5275487.514373867,134.1859781067554
1969,5734164.09146803,41572.29311489075,5734164.09146803,137.93235017421046
1970,5963161.333108355,42650.70281741397,5963161.333108355,139.81390549732373
1971,6558073.503368195,45118.693136514754,6558073.503368195,145.3515837332779
1972,6734029.942004005,44802.57954896301,6734029.942004005,150.304513931941
1973,6738794.645374365,44238.59470586346,6738794.645374365,152.3284066815349
1974,6909413.411320562,44123.24319821582,6909413.411320562,156.5935074237687
1975,7045222.088317276,44130.865528670576,7045222.088317276,159.643868388219
1976,7348946.917551412,44916.83421552428,7348946.917551412,163.6123080778353
1977,7807051.120586049,46920.47432800207,7807051.120586049,166.38900676941392
1978,8422882.491092399,49684.91977513536,8422882.491092399,169.52593521762313
1979,8770014.957014091,50430.81632620099,8770014.957014091,173.9019035560939
1980,9663779.765838673,54044.43336604109,9663779.765838673,178.81175107131247
1981,9851615.976073265,54338.04208151314,9851615.976073265,181.30237304639613
1982,10169635.719928645,54942.99064969256,10169635.719928645,185.09432412896058
1983,10156004.947108459,53677.29886109578,10156004.947108459,189.2048438091084
1984,10286167.905213697,53132.285859987576,10286167.905213697,193.59543333632328
1985,10505126.238944277,53202.88780198007,10505126.238944277,197.4540607277582
1986,11008238.431600828,54414.2669356988,11008238.431600828,202.30426782390057
1987,11546649.788365938,56452.902627558666,11546649.788365938,204.5359804533629
1988,12209558.599403473,58472.30262289827,12209558.599403473,208.8092661263198
1989,13158852.996920101,61837.68523795661,13158852.996920101,212.7966618783308
