year,tax_to_gdp_pct,source
2000,23.5,OECD Revenue Statistics 2024 chart (text confirms 23.5% in 2000)
2001,24.2,OECD chart digitization
2002,24.0,OECD chart digitization
2003,24.5,OECD chart digitization
2004,24.0,OECD chart digitization
2005,24.3,OECD chart digitization
2006,24.5,OECD chart digitization
2007,24.1,OECD chart digitization
2008,24.2,OECD chart digitization
2009,24.6,OECD chart digitization
2010,25.2,OECD chart digitization
2011,25.7,OECD Revenue Statistics 2024 text (confirmed highest)
2012,24.9,OECD chart digitization
2013,25.2,OECD chart digitization
2014,24.6,OECD chart digitization
2015,25.1,OECD chart digitization
2016,25.3,OECD chart digitization
2017,24.9,OECD chart digitization
2018,24.4,OECD chart digitization
2019,23.1,OECD chart digitization
2020,23.5,OECD chart digitization
2021,23.5,OECD chart digitization
2022,20.9,OECD Revenue Statistics 2024 text
2023,23.5,OECD Revenue Statistics 2024 text
