Year,Total corporate sector profits (billion $),Total potential POA (billion $),POA as a share of total profits (%)
2010,76.49,4.85,6.34
2011,43.47,6.44,10.68
2012,78.28,6.85,8.75
2013,59.77,5.35,8.96
2014,65.36,4.72,7.23
2015,57.40,5.54,9.65
2016,47.52,6.62,13.93
2017,73.65,6.24,8.48
2018,42.19,5.14,12.19
2019,65.61,5.39,8.22
2020,55.98,5.07,9.06
2021,83.75,4.11,7.30
