,Dairy farm products,Poultry & eggs,Meat animals & misc livestock,"Cotton, food grains, tobacco, fruits, vegetables",Coal mining,Crude petroleum & natural gas,Stone & clay mining,Chemical & fertilizer mineral mining,New construction,Maintenance & repair construction,Ordnance & accessories,Meat products,Dairy products,Canned & frozen foods,Grain mill products,Bakery products,Sugar,Confectionery products,Alcoholic beverages,Soft drinks & flavorings,Tobacco manufactures,Fabrics & yarn,"Floor covering, misc textiles",Lumber & wood products,Wooden containers,Household furniture,Other furniture & fixtures,Paper & paperboard,Paper containers & products,Printing & publishing,Basic chemicals,Synthetic materials,"Drugs, cleaning & toilet items",Paints & allied products,Petroleum refining,Rubber & plastic products,Leather tanning & finishing,Footwear & leather products,Glass & glass products,Stone & clay products,Primary iron & steel,Primary nonferrous metals,Metal containers,"Heating, plumbing, structural metal",Screw machine products,Other fabricated metal products,Engines & turbines,Farm machinery,Construction & mining machinery,Materials handling equipment,Metalworking machinery,Special industry machinery,General industrial machinery,Machine shop products,Office & computing machines,Service industry machines,Electric industrial equipment,Household appliances,Electric lighting & wiring,"Radio, TV, communication equipment",Electronic components,Misc electrical machinery,Motor vehicles & equipment,Aircraft & parts,Transportation & warehousing,Communications except radio & TV,Radio & TV broadcasting,"Electric, gas, water & sanitary services",Wholesale trade,Retail trade,Finance & insurance,Real estate & rental,Hotels & personal services,Business services,Eating & drinking places,Automobile repair & services,Amusements,"Medical, educational services & nonprofit orgs",Federal government enterprises,State & local government enterprises,Gross imports of goods & services,"Business travel, entertainment, gifts",Office supplies,"Scrap, used & secondhand goods",Government industry
Dairy farm products,1.3155392,0.0337406,0.0317537,0.100391,0.0011293,0.001362,0.0008735,0.0011102,0.001287,0.0019636,0.0019983,0.002022,0.001885,0.3251959,0.0089345,0.0123037,0.0146747,0.0056888,0.0080207,0.0059465,0.0037978,0.0047871,0.002499,0.0047312,0.0029964,0.0038045,0.0054061,0.004524,0.0129188,0.0116462,0.0016586,0.0033514,0.1135873,0.0251497,0.0016531,0.0021413,0.0013133,0.001622,0.0020578,0.0016967,0.0018355,0.0017077,0.0014001,0.0014299,0.0014448,0.0016046,0.0014794,0.0018015,0.0019403,0.0016607,0.0023982,0.0017711,0.0017238,0.001956,0.0019227,0.0020968,0.0023832,0.0018354,0.0016767,0.0032539,0.0019365,0.0032371,0.0024352,0.0039924,0.0018666,0.0006951,0.0048844,0.0009644,0.0028385,0.0017922,0.0011908,0.0025725,0.0026035,0.1007252,0.0012605,0.0128558,0.0074455,0.0044423,0.0018793,0.0,0.0,0.0,0.0,0.0,0.0
Poultry & eggs,0.3929302,1.0554022,0.1467217,0.1303987,0.0012309,0.0015627,0.0011532,0.0010537,0.0012646,0.0021452,0.0038551,0.0029268,0.0017293,0.2050834,0.2536031,0.1027003,0.0298472,0.0319316,0.0429389,0.0260139,0.0104483,0.0130442,0.0045529,0.0076556,0.0043492,0.0039222,0.0071657,0.010358,0.0114418,0.009915,0.0015873,0.0062662,0.0721907,0.0214422,0.001999,0.0029454,0.0013676,0.0018306,0.001994,0.0016839,0.001781,0.0018606,0.0013329,0.0015122,0.0014025,0.0015134,0.0013759,0.0028951,0.0018621,0.0015058,0.0022011,0.0018347,0.001663,0.0025479,0.0021146,0.0021194,0.0023099,0.001904,0.0028526,0.0029177,0.0031925,0.0041174,0.0025566,0.0068979,0.0018052,0.0006588,0.0107423,0.0009893,0.0024291,0.0014673,0.0013932,0.0035136,0.0025663,0.0712039,0.0013221,0.0422664,0.0058178,0.0035114,0.0020678,0.0,0.0,0.0,0.0,0.0,0.0
Meat animals & misc livestock,0.0029495,0.0006501,0.8709178,0.0023443,0.0006783,0.0014373,0.0008662,0.000436,0.0004486,0.0006049,0.0108666,0.0042587,0.0007506,0.009294,0.0005878,0.0007316,0.0009883,0.0068253,0.0009775,0.1222761,0.0424429,0.0156979,0.00866,0.0116047,0.0051385,0.0025299,0.0014764,0.0011884,0.0014899,0.0036426,0.000566,0.0012132,0.0035479,0.0020883,0.0022749,0.001502,0.0007241,0.000958,0.0008796,0.0009883,0.0009155,0.0012566,0.0005253,0.0008385,0.0006069,0.0007006,0.0005645,0.0008352,0.000804,0.0004863,0.0006337,0.0010658,0.0007606,0.001442,0.000946,0.0008107,0.0006916,0.0005754,0.0008169,0.0006647,0.0055767,0.0009632,0.0008248,0.0038276,0.000562,0.0002973,0.0005175,0.0005966,0.0006004,0.00035,0.0004248,0.0007013,0.0006554,0.0103879,0.0004407,0.0010616,0.0007728,0.0006086,0.0014237,0.0,0.0,0.0,0.0,0.0,0.0
"Cotton, food grains, tobacco, fruits, vegetables",0.0579352,0.0381031,0.0836321,0.8918609,0.0006643,0.0008682,0.0007877,0.0010675,0.0006291,0.0016848,0.0028087,0.0062096,0.0005445,0.0190425,0.0093713,0.0048216,0.0024444,0.0024429,0.0024547,0.0139788,0.0054422,0.0027265,0.0015846,0.0022422,0.001331,0.0010215,0.0032625,0.002299,0.0017477,0.0022055,0.001093,0.0012209,0.0071537,0.0022493,0.0009014,0.0009172,0.000773,0.0008045,0.0007542,0.0007224,0.0006762,0.0007407,0.0005583,0.0006252,0.0005794,0.0005905,0.0004829,0.0006967,0.0006014,0.0004914,0.0006496,0.000689,0.0006403,0.0007745,0.0007167,0.000759,0.0007341,0.0007049,0.0006867,0.0006253,0.0012258,0.0007839,0.0008201,0.0013315,0.0007522,0.0004505,0.0016322,0.0009459,0.002038,0.0004493,0.0055631,0.0015012,0.0006319,0.0072554,0.0006489,0.0052932,0.0016217,0.0005987,0.002693,0.0,0.0,0.0,0.0,0.0,0.0
Coal mining,0.0009262,0.0008248,0.0008587,0.0008064,1.0051638,0.0094573,0.001874,0.0011239,0.0020114,0.0022616,0.00369,0.0029485,0.0035854,0.001373,0.0004382,0.0009724,0.0011526,0.0005947,0.0007982,0.0013203,0.0012652,0.0028815,0.0082128,0.0009204,0.0013182,0.000655,0.0040107,0.0023408,0.0015215,0.0039395,0.0012073,0.0019581,0.0009607,0.000834,0.0008264,0.0018389,0.0631115,0.0029341,0.0199382,0.0152528,0.0182087,0.0120624,0.0114466,0.0109926,0.013183,0.0108947,0.0075919,0.007459,0.009764,0.006166,0.0022302,0.0075955,0.0059285,0.0074768,0.0057422,0.0016858,0.0021487,0.0042396,0.009901,0.0031729,0.0085486,0.0028464,0.0013907,0.0026095,0.0008079,0.000309,0.0002338,0.0008194,0.0002345,0.0001406,0.0002802,0.00044,0.0003414,0.0006591,0.0024574,0.0004125,0.0004016,0.0002246,0.0011658,0.0,0.0,0.0,0.0,0.0,0.0
Crude petroleum & natural gas,0.0014481,0.0020133,0.0011915,0.0017967,0.0959867,1.0870157,0.0017264,0.0007438,0.0028209,0.0049779,0.0039425,0.0033524,0.0046621,0.0016997,0.0007908,0.0025978,0.0034558,0.0014032,0.0016767,0.0013688,0.0009784,0.0024721,0.0041045,0.0019268,0.0020218,0.0012585,0.0143951,0.0078292,0.0031271,0.0083485,0.0014506,0.0033001,0.0019703,0.0014598,0.0019047,0.0028255,0.011133,0.0986888,0.0179855,0.0138834,0.0080107,0.0096422,0.0079402,0.0043796,0.0043737,0.0053894,0.0049144,0.0059128,0.0062178,0.0051831,0.004126,0.0103025,0.0090267,0.0076562,0.0089941,0.0048598,0.006982,0.014312,0.0061196,0.006073,0.0056451,0.0056518,0.0049041,0.0068734,0.0007907,0.0005274,0.0004468,0.0008087,0.0002744,0.0001968,0.0003347,0.0007262,0.0004746,0.0008053,0.0017587,0.0005583,0.000708,0.0002597,0.0014156,0.0,0.0,0.0,0.0,0.0,0.0
Stone & clay mining,0.0053557,0.0048307,0.0027929,0.0044358,0.0209725,0.0172548,1.1769023,0.0035221,0.0142084,0.0163315,0.0080822,0.0066515,0.0076046,0.0061066,0.0033919,0.010205,0.0094816,0.0054598,0.0067411,0.0050396,0.0057289,0.0076618,0.0134878,0.0155891,0.0099682,0.0052567,0.0167776,0.016857,0.0065083,0.0097906,0.0061522,0.0097237,0.0063537,0.0048586,0.0092867,0.0236332,0.0804234,0.0121539,0.0284963,0.0220434,0.0259117,0.0190005,0.0170874,0.0166178,0.0193485,0.0161477,0.0121438,0.012006,0.0150025,0.0104339,0.0054774,0.0129989,0.0106915,0.0135659,0.0109967,0.0048708,0.0065069,0.0086735,0.0160521,0.0067326,0.0137211,0.0066885,0.0056752,0.0071594,0.0031766,0.0015799,0.0021321,0.0875565,0.0026991,0.0017891,0.0016358,0.0048763,0.0020762,0.0046381,0.0056746,0.0037176,0.0036027,0.0016926,0.0182604,0.0,0.0,0.0,0.0,0.0,0.0
Chemical & fertilizer mineral mining,0.0477372,0.0630328,0.0359343,0.0550574,0.0590963,0.049033,0.0315814,1.0615112,0.0492986,0.0688785,0.0384065,0.0417687,0.019002,0.0360668,0.0249108,0.0573078,0.0591968,0.0326703,0.0370152,0.0332415,0.0305789,0.0297497,0.0278645,0.0624036,0.04925,0.0285879,0.1865587,0.1181158,0.0462434,0.0914072,0.7197673,0.059407,0.0452724,0.0286282,0.0484635,0.0520256,0.0472406,0.0504912,0.0382444,0.0291358,0.0284037,0.0313818,0.0254244,0.022414,0.0227799,0.0236124,0.0216686,0.0252473,0.0257347,0.0260366,0.0208403,0.0273961,0.0252386,0.0280872,0.0274526,0.0187412,0.0267827,0.0302054,0.0267491,0.0202388,0.0266523,0.024814,0.0323849,0.0320555,0.0672318,0.0078033,0.0109847,0.2365032,0.0197282,0.0102224,0.0079386,0.0239615,0.0139749,0.0239236,0.0267168,0.0218332,0.0223008,0.014339,0.0667737,0.0,0.0,0.0,0.0,0.0,0.0
New construction,0.0023057,0.003922,0.0017299,0.0018336,0.0089432,0.0027654,0.0014635,0.0014653,0.9828661,0.0130361,0.0112198,0.0172685,0.0010225,0.0021508,0.0013031,0.0019355,0.0019504,0.0010769,0.0012928,0.0015687,0.0013161,0.0016991,0.0018945,0.0050267,0.0028016,0.0014821,0.0066426,0.0036602,0.0025537,0.0088532,0.004329,0.0026039,0.0018232,0.0011725,0.0211627,0.0690599,0.00653,0.0020204,0.0028905,0.0027136,0.0025843,0.0025408,0.002284,0.0018834,0.0023457,0.0019292,0.0019886,0.0017636,0.0020555,0.0020595,0.0011999,0.0019612,0.0019187,0.0022447,0.0024288,0.001115,0.0021522,0.0014987,0.0023296,0.001074,0.0024054,0.0014303,0.001678,0.0029915,0.0014666,0.0008307,0.0005526,0.0018987,0.0005095,0.0003244,0.0014366,0.0010138,0.0005265,0.001187,0.0016657,0.0011554,0.0009962,0.0003761,0.0054004,0.0,0.0,0.0,0.0,0.0,0.0
Maintenance & repair construction,0.0022666,0.0043191,0.0016655,0.0036625,0.0014033,0.0022328,0.0008863,0.0005269,0.0026556,0.9436753,0.0012946,0.001269,0.0006721,0.0017884,0.0013871,0.0047732,0.0056119,0.0022107,0.0028203,0.0013053,0.0008856,0.0015132,0.0013891,0.0030784,0.0024898,0.0017001,0.0360703,0.0141945,0.0048258,0.011124,0.0019172,0.0054045,0.0049817,0.0024137,0.0026574,0.0074206,0.0026191,0.0020874,0.0015763,0.0011971,0.0013274,0.0018243,0.0008886,0.0009289,0.000938,0.000861,0.000922,0.0013833,0.0009141,0.0006626,0.000877,0.0020623,0.0010679,0.0015868,0.0014955,0.0009121,0.0015869,0.002145,0.0013741,0.0006103,0.0011775,0.0013257,0.0034611,0.0020012,0.0004406,0.0001596,0.0002893,0.0006174,0.0002016,0.0001484,0.0001887,0.000539,0.0004011,0.0007831,0.000584,0.0005025,0.0008958,0.0001713,0.0014085,0.0,0.0,0.0,0.0,0.0,0.0
