year,value
1948,1.865
1949,1.7830000000000001
1950,1.9240000000000002
1951,2.012
1952,1.956
1953,1.984
1954,1.882
1955,2.053
1956,1.9869999999999999
1957,1.935
1958,1.834
1959,1.9580000000000002
1960,1.912
1961,1.886
1962,1.984
1963,2.032
1964,2.0980000000000003
1965,2.185
1966,2.2230000000000003
1967,2.136
1968,2.158
1969,2.082
1970,1.943
1971,1.9580000000000002
1972,2.036
1973,2.064
1974,1.892
1975,1.865
1976,1.953
1977,1.986
1978,1.982
1979,1.8840000000000001
1980,1.756
1981,1.7819999999999998
1982,1.6840000000000002
1983,1.758
1984,1.886
1985,1.864
1986,1.8419999999999999
1987,1.868
1988,1.902
1989,1.8630000000000002
