year,Lp_st,Y_st,V_star_st,S_star_st,exploitation_rate,Lp_mohun,Y_mohun,lambda_m,V_star_mohun,V_star_hours,S_star_mohun,e_mohun,lambda_wage_goods,e_mohun_method1,Y_per_Wp_st,Y_per_Wp_mohun,Wp_from_Vstar_st,ratio_Lp,ratio_Y_per_Lp_st,ratio_Y_per_Lp_mohun,ratio_Wp_per_Lp_st,ratio_Wp_per_Lp_mohun,exploitation_ratio_components_st,exploitation_ratio_components_mohun
1948,16437.852171107792,32875704.342215583,8886801.292004727,23988903.050210856,2.699385556397349,18400.170694142387,2967298.385167368,12.401968596160945,1351420.373905503,16760273.03738813,20040068.35089664,1.195688656514848,7.265669510609572,1.1956886565148483,26.878512845105647,2.1956886565148483,1223122.1471094885,1.1193780368997168,2000.0,161.2647205556628,74.40887862827513,73.4460781027277,26.878512845105643,2.1956886565148483
1949,17913.64534150065,35827290.6830013,9629629.78061291,26197660.9023884,2.7205262818235734,20095.911552249705,3419247.1816541483,11.754582505806315,1564792.1215684856,18393478.097412474,21798345.007086933,1.1851127280899332,6.814805546183589,1.1851127280899334,25.35466314009309,2.1851127280899334,1413045.422257965,1.121821447792839,2000.0,170.14640877394632,78.88095333585477,77.86619270790479,25.35466314009309,2.1851127280899334
1950,18774.639945302915,37549279.89060583,10051547.607727729,27497732.2828781,2.735671496172149,21094.430689511373,3709460.803835002,11.37331369977169,1692725.6540173143,19251899.87079012,22936961.50823263,1.1914128819584016,6.5903624748613385,1.1914128819584011,24.619429246782044,2.191412881958401,1525188.8869647058,1.1235597993339324,2000.0,175.85024495017208,81.23665174981325,80.24514522020145,24.619429246782044,2.191412881958401
1951,20397.23789450679,40794475.78901358,11208579.472118594,29585896.316894986,2.639575906160997,22861.55230433821,4393803.164147216,10.406270581661508,1997906.3457889075,20790754.031097952,24932350.577578463,1.1992037681887673,6.204327394935949,1.1992037681887675,22.581120500543506,2.1992037681887675,1806574.469501268,1.120816084147113,2000.0,192.19181207189712,88.56956411670812,87.39154363589671,22.581120500543506,2.199203768188767
1952,20961.56153387609,41923123.06775219,11365066.376093308,30558056.691658884,2.688770631022314,23543.64269249179,4675073.43987052,10.071988384911384,2134337.528201524,21497022.793526225,25590262.59145736,1.190409613333238,5.910741123852349,1.1904096133332378,21.80336826524237,2.190409613333238,1922781.9554184908,1.1231817178525934,2000.0000000000005,198.57052287670967,91.7289464485302,90.65451578918912,21.80336826524237,2.1904096133332382
1953,21530.75039194939,43061500.78389878,11879824.142635414,31181676.64126337,2.6247591098049736,24193.39947302131,5073455.297822083,9.537247517843303,2333513.416343019,22255295.037871502,26131503.90817112,1.1741701857334863,5.654681902767477,1.174170185733486,20.496859740105734,2.174170185733486,2100882.834244181,1.1236672680979811,2000.0,209.70410972958248,97.57592262226618,96.45248155163894,20.496859740105734,2.174170185733486
1954,21916.769547539127,43833539.09507825,12113195.89398243,31720343.20109582,2.618660135501795,24576.769333526503,5416739.685493358,9.074377120002968,2485437.1952277897,22553794.417579405,26599744.2494736,1.1793910930012117,5.395862303587484,1.1793910930012117,19.525791814648915,2.1793910930012115,2244904.5606536088,1.1213682418030466,2000.0,220.40080256212076,102.42862461022102,101.12953258821004,19.525791814648915,2.1793910930012115
1955,22173.82043845319,44347640.87690638,12250294.142004617,32097346.734901763,2.6201286567352096,24864.79705655845,5602249.022862645,8.876719672790626,2590971.8762915744,22999331.02592466,26730263.087192245,1.1622191557250996,5.237968543573262,1.1622191557250994,18.96212002766716,2.1622191557251,2338749.0856612995,1.1213582758809866,2000.0,225.30845556951647,105.47343847005766,104.2024139749883,18.96212002766716,2.1622191557251
1956,22712.720471106128,45425440.942212254,12597123.638857769,32828317.303354487,2.606016916599158,25487.07547216768,6046042.190251585,8.430994912097074,2739543.0712627443,23097073.695286985,27877077.24904837,1.206952777517299,5.096344302683264,1.2069527775172988,18.37750376828959,2.206952777517299,2471796.034703795,1.1221498324954482,2000.0,237.21992728643843,108.82870846969996,107.48754105799122,18.37750376828959,2.206952777517299
1957,24394.06689488921,48788133.78977842,13619947.536783598,35168186.25299482,2.5821087899212216,27356.19312289422,6922586.09957203,7.90346056500054,3118485.4725668263,24646826.954958983,30065559.290829457,1.219855170232378,4.8477106705564665,1.219855170232378,17.365027003995216,2.219855170232378,2809562.7941467413,1.1214281423744723,2000.0,253.0537077462932,115.17402187395705,113.99559355928754,17.365027003995216,2.219855170232378
