year,value
1948,95.2
1949,89.1
1950,105.3
1951,118.4
1952,121.6
1953,128.3
1954,124.8
1955,142.1
1956,145.2
1957,146.8
1958,141.2
1959,155.2
1960,157.8
1961,159.4
1962,172.6
1963,182.3
1964,195.4
1965,214.6
1966,235.8
1967,240.2
1968,258.4
1969,269.1
1970,264.8
1971,278.6
1972,303.8
1973,338.5
1974,351.2
1975,354.8
1976,398.2
1977,436.8
1978,480.5
1979,510.2
1980,504.8
1981,548.3
1982,528.6
1983,574.6
1984,652.4
1985,685.2
1986,702.4
1987,742.6
1988,798.5
1989,826.4
