,Dairy farm products,Poultry & eggs,Meat animals & misc livestock,"Cotton, food grains, tobacco, fruits, vegetables",Coal mining,Crude petroleum & natural gas,Stone & clay mining,Chemical & fertilizer mineral mining,New construction,Maintenance & repair construction,Ordnance & accessories,Meat products,Dairy products,Canned & frozen foods,Grain mill products,Bakery products,Sugar,Confectionery products,Alcoholic beverages,Soft drinks & flavorings,Tobacco manufactures,Fabrics & yarn,"Floor covering, misc textiles",Lumber & wood products,Wooden containers,Household furniture,Other furniture & fixtures,Paper & paperboard,Paper containers & products,Printing & publishing,Basic chemicals,Synthetic materials,"Drugs, cleaning & toilet items",Paints & allied products,Petroleum refining,Rubber & plastic products,Leather tanning & finishing,Footwear & leather products,Glass & glass products,Stone & clay products,Primary iron & steel,Primary nonferrous metals,Metal containers,"Heating, plumbing, structural metal",Screw machine products,Other fabricated metal products,Engines & turbines,Farm machinery,Construction & mining machinery,Materials handling equipment,Metalworking machinery,Special industry machinery,General industrial machinery,Machine shop products,Office & computing machines,Service industry machines,Electric industrial equipment,Household appliances,Electric lighting & wiring,"Radio, TV, communication equipment",Electronic components,Misc electrical machinery,Motor vehicles & equipment,Aircraft & parts,Transportation & warehousing,Communications except radio & TV,Radio & TV broadcasting,"Electric, gas, water & sanitary services",Wholesale trade,Retail trade,Finance & insurance,Real estate & rental,Hotels & personal services,Business services,Eating & drinking places,Automobile repair & services,Amusements,"Medical, educational services & nonprofit orgs",Federal government enterprises,State & local government enterprises,Gross imports of goods & services,"Business travel, entertainment, gifts",Office supplies,"Scrap, used & secondhand goods",Government industry
Dairy farm products,0.23758670435587237,0.14629910652436862,0.10156554958180881,0.1611374208467216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2998829782723988,0.0,0.00483449776337695,0.060134052512090155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045402849056897345,0.0,0.0,0.0,0.0795924322407431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012872905252419095,0.0,0.0,0.0,0.0,0.0,0.04305034864155212,0.0,0.0,0.0,0.0,0.004747820859955075,0.0006108370672285512,0.0,0.0,0.0,0.004621430699582754,0.0,0.0,0.0,0.0
Poultry & eggs,0.3950279740361249,0.061801940753959665,0.1012324539261048,0.462147591454807,0.0,0.0,0.0,0.0,0.0,0.0,0.008152407192085067,3.266842883788817e-05,0.0,0.11206574478375074,0.29479400272889206,0.1375273384884605,0.009553598760140426,0.0,0.0,0.02500629259261873,0.0,0.0,0.0,0.0,0.0,0.0,0.0017349486880506096,0.0,0.0014978066224798092,0.0,0.0,0.0,0.0,0.0,0.0,0.0014079766906571842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001622151475984351,0.0,0.002665922268596687,0.005741641638914421,0.0,0.0,0.0,0.0,0.0,0.07098172206686629,0.0,0.0,0.0,0.0,0.0,0.0036521964282064034,0.20595010031713157,0.0005338870932627736,0.0,0.013782813672054337,0.0,0.0,0.0,0.0
Meat animals & misc livestock,0.0,0.0,0.03025185154342995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005587375962716372,0.0,0.0,0.0,0.010250948870770943,0.0,0.1346456035360842,0.0,0.0,0.0,0.0,0.0,0.0,0.0028140326079613568,0.0,0.00023038852803850882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009081687574076088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5741965736104364e-05,0.0,0.000960033997675491,0.0,0.0,0.0,0.0
"Cotton, food grains, tobacco, fruits, vegetables",0.022246975542282534,0.08468210209562607,0.06444013039307023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.562684357779721e-05,3.4630843291047536e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005268666912769301,0.0,0.0007662727682597137,0.0,0.0,0.0,0.0,0.0,9.0182637878231e-06,0.0,0.00019158307236280208,0.0,0.0,0.0,0.0,0.0,0.0
Coal mining,0.0,0.0,0.0,0.0,0.05762572575919732,0.0015066596370808415,9.848470341057999e-05,0.0,3.883206463430735e-05,0.004450500086273063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008295295242077358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033844739377942414,0.08248604935768594,0.0014661735115788356,0.0,0.0,0.0,0.0001218450093165453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002519427057869686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017628872888541814,9.793118962891913e-06,0.0,0.00033425207432047555,0.0,8.26890793240146e-06,0.0,0.0,0.0,0.0,-1.1326127758721118e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude petroleum & natural gas,0.0,0.0,0.0,0.0,0.02669913343906348,0.29460904645011515,0.0002480355493303496,3.8964050792637445e-05,0.005062591740752699,0.0002736938555729424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008448793380712558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.714609481330368e-05,5.511580678941946e-05,9.981888590263663e-05,0.08655651030105915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.576532957929396e-05,0.0,0.0,0.0,0.0,0.0,5.808723118502639e-05,4.529706136169371e-05,0.0,0.0002564408105413229,0.0,1.0390535625583414e-05,0.0,0.0,0.0,0.0,-2.5241084719435634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stone & clay mining,0.0002829141417104731,5.2827463333760296e-05,0.0,0.0,0.005408799361845532,0.0015256887706843884,0.3741762164912636,4.683179181807385e-06,0.005088109954655243,0.0018087593933516193,0.0,0.0,0.0003285803475591061,0.0007124117244643646,0.00047185453249046135,0.0013183770243527522,0.00045917035917547214,0.00015012091395744313,0.00011061700348443561,0.0003113951207119216,9.07223677812212e-05,0.0006056431596150946,0.0006030760478896389,0.009161400259057532,0.0002769155246814947,8.539899853297146e-05,0.006832066240842577,0.006363469974241337,0.0006570478362693031,0.00021004699324094235,0.0005619471609539156,0.001681854717179873,0.002890056391003687,0.00021225966015563628,0.0021245326179130694,0.01662801494062332,0.033159142082795176,0.0012944883826881927,0.00020367888781391697,0.00021458479708491798,0.000316024347486981,0.0004166869422381855,0.0014464992944737184,0.0009299359544108817,0.0007572776459297243,0.00040040765219162,0.00033505215341285947,0.00028821384639994704,0.000414764248476735,0.0001427392555255704,0.0004435579118658303,0.00033686111424627323,0.0004776541251178734,0.0006230002704841032,0.00028856873790577897,0.00022837479936412084,0.00018102109336740394,0.00044499196672396915,0.0005433856865955352,0.0002035638454014279,0.0006019352007587407,0.00012516218416685977,0.002453357676727335,0.00033306523177092207,0.0005911107733376647,0.0,0.0,0.04029252146852122,7.604434597851943e-05,0.0,0.00044502661122797254,0.0002167057585089489,2.1161876221737948e-05,0.0,0.0,0.0,0.0010748768405775377,0.021645848165167302,0.027250012560079046,0.0,0.0,0.0,0.0,0.0,0.0
Chemical & fertilizer mineral mining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05554381638640649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003222961242919199,0.0,0.0,0.0,0.5863114093079124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013756084321635696,0.0,0.0,0.12339710597632093,0.00020487826655700862,0.0,0.0036056887523437,0.0,6.587925990880373e-05,0.0,0.0,0.0,0.0,0.0,0.012919464773164973,0.0,0.0,0.0,0.0,0.0,0.0
New construction,7.46801296983268e-05,0.006811606893236179,0.0,1.6805366961992981e-06,0.005084900330293155,0.0004958768344924314,0.0006273840365414726,0.0,0.019303974073494674,0.015984316152102385,0.012060021217909628,0.029907196266148652,0.0,0.00013476120992281715,0.0,4.5661216346466955e-05,0.0,0.0,0.0,2.337668753219808e-05,0.0,0.0,0.0,0.006693864617578326,0.00011817859512922375,0.0,0.0032825217185875454,7.923304525078448e-05,0.0006023094715929445,0.003165344537536989,0.0047454510810507056,0.0017881001796132483,0.0,0.0,0.027680034523655042,0.16089797983407517,0.004932846032686379,0.0017806866763886893,0.0,0.0001260485676331457,0.0,0.0004151543006115623,7.498346955330302e-06,5.2738303345882466e-05,1.5072228563421086e-05,0.0,5.774141419359936e-05,8.641818679934616e-05,6.454152924699397e-05,5.977206325133261e-05,0.0,1.0418384976688863e-05,8.739322625132057e-05,2.850535045428027e-05,0.0,3.6933929816299866e-06,0.000127680771191858,0.00012100658744248284,7.434681859763633e-05,0.0,0.0,7.476684928779413e-05,0.0,0.0004516336534525117,0.0,0.0,0.0,7.72807219691736e-06,0.00012656440412042215,0.0,0.000660566054295758,0.0002656043934431081,3.236842249854519e-05,0.0,0.0,0.0,0.0,-8.413694906478545e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maintenance & repair construction,0.0,0.0028201181453652584,0.0,0.0,0.0,0.0069366788788929965,3.191633906824352e-05,0.0,0.0016242897892750276,0.09203848373604012,0.0,0.0,0.0,9.44818254911303e-05,0.0,0.0,0.0,0.0,0.0,1.220292493819145e-05,0.0,0.0,0.0,0.001416401093969695,0.0,0.0,0.047015500513859006,0.0,0.000400977267269626,0.0,3.0651663324759034e-05,3.669302053111413e-05,0.0004565451400281187,0.0,0.0010169992787453187,0.004925899523278555,0.0008345536556866834,4.1779629554599025e-06,0.0,0.0,0.0,3.697497924228497e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0736510624710873e-05,4.047632486963169e-05,0.0,0.0,4.180760368824146e-06,7.616870304471489e-06,0.0,0.00015696796727782968,0.0,8.595312192890991e-06,0.0,0.0,0.0,0.0,3.236036502491748e-07,0.000591161053706898,0.0,0.0,0.0,0.0,0.0,0.0
