year,value
1948,1.5119999999999998
1949,1.475
1950,1.5859999999999999
1951,1.6380000000000001
1952,1.6019999999999999
1953,1.625
1954,1.5719999999999998
1955,1.671
1956,1.642
1957,1.6230000000000002
1958,1.585
1959,1.6380000000000001
1960,1.624
1961,1.618
1962,1.672
1963,1.705
1964,1.7480000000000002
1965,1.794
1966,1.797
1967,1.7719999999999998
1968,1.774
1969,1.735
1970,1.675
1971,1.682
1972,1.724
1973,1.7080000000000002
1974,1.587
1975,1.6119999999999999
1976,1.665
1977,1.6840000000000002
1978,1.652
1979,1.57
1980,1.505
1981,1.524
1982,1.504
1983,1.5419999999999998
1984,1.6030000000000002
1985,1.5919999999999999
1986,1.588
1987,1.594
1988,1.605
1989,1.5619999999999998
