year,value
1948,1.195688656514848
1949,1.1851127280899332
1950,1.1914128819584016
1951,1.1992037681887673
1952,1.190409613333238
1953,1.1741701857334863
1954,1.1793910930012117
1955,1.1622191557250996
1956,1.206952777517299
1957,1.219855170232378
1958,1.2241255582989294
1959,1.1992060827480524
1960,1.248798403471587
1961,1.2089243127729654
1962,1.2097849025599925
1963,1.2593957407183507
1964,1.2391598455015658
1965,1.23547578775227
1966,1.2339482272489393
1967,1.2832401379782366
1968,1.2684498803043691
1969,1.279143278276893
1970,1.2837403911841785
1971,1.247485110729858
1972,1.29853691654528
1973,1.2921419517124544
1974,1.2989941015797293
1975,1.294272628015343
1976,1.3104778708096725
1977,1.2923842385771802
1978,1.265885313159328
1979,1.3699525220871691
1980,1.298291578393304
1981,1.329388610236865
1982,1.3081014911360112
1983,1.3541626662722954
1984,1.3558153272265945
1985,1.3505157649386814
1986,1.3597080183805546
1987,1.3397057210812051
1988,1.382463430937923
1989,1.3523278998418728
