year,value
1948,1673.1360300000001
1949,1930.38074
1950,2109.77521
1951,2530.99844
1952,2702.33027
1953,2956.86756
1954,3175.8435099999997
1955,3296.17155
1956,3585.52063
1957,4145.32363
1958,4611.5418899999995
1959,5143.686360000001
1960,5621.6113
1961,6129.09932
1962,6401.61038
1963,6787.85833
1964,7045.30407
1965,7276.1529900000005
1966,7855.28479
1967,8509.25535
1968,9244.01192
1969,10170.232960000001
1970,10663.56866
1971,11597.1378
1972,12203.34496
1973,12333.98611
1974,12638.20793
1975,12931.95134
1976,13670.18433
1977,14541.320800000001
1978,15553.98696
1979,16931.82968
1980,18290.05961
1981,18971.3117
1982,19526.42745
1983,19932.48204
1984,20373.130129999998
1985,20810.84108
1986,22098.308399999998
1987,23144.98657
1988,24850.63404
1989,26804.810100000002
