sector,employment,gross_output,hp_star
Dairy farm products,2122.717675208264,19991931.000000004,0.00010617872156562885
Poultry & eggs,1320.5142868186365,12436713.0,0.00010617872156562883
Meat animals & misc livestock,122.40516615273134,1152821.9999999998,0.00010617872156562883
"Cotton, food grains, tobacco, fruits, vegetables",126.36287182036862,1190096.0000000002,0.00010617872156562882
Coal mining,447.3838395631904,954000.9999999998,0.0004689553151025948
Crude petroleum & natural gas,418.9492029872598,893367.0,0.0004689553151025948
Stone & clay mining,514.2643707818622,1096617.0,0.0004689553151025948
Chemical & fertilizer mineral mining,2503.4025866676875,5338254.000000001,0.0004689553151025948
New construction,2852.262072521191,901317.0000000001,0.0031645492901178946
Maintenance & repair construction,1063.7379274788093,336142.0,0.0031645492901178946
Ordnance & accessories,1569.857254855462,39628785.99999999,3.961406374788928e-05
Meat products,343.1686322070879,8662798.000000002,3.961406374788929e-05
Dairy products,149.61653512247068,3776854.000000001,3.961406374788929e-05
Canned & frozen foods,2153.8263514183586,54370245.0,3.961406374788928e-05
Grain mill products,151.11715547130444,3814735.0,3.961406374788929e-05
Bakery products,382.59607410066087,9658087.000000002,3.961406374788929e-05
Sugar,119.31573776171007,3011953.9999999986,3.961406374788928e-05
Confectionery products,445.9589671357285,11257592.000000002,3.961406374788929e-05
Alcoholic beverages,95.9759236827287,2422773.9999999995,3.961406374788929e-05
Soft drinks & flavorings,269.44091746270374,6801648.000000002,3.961406374788929e-05
Tobacco manufactures,10.916289090750857,275565.99999999994,3.961406374788929e-05
Fabrics & yarn,97.19667067118368,2453590.0,3.961406374788929e-05
"Floor covering, misc textiles",44.01007601605632,1110971.0000000002,3.961406374788929e-05
Lumber & wood products,329.0448319887342,8306263.000000002,3.961406374788929e-05
Wooden containers,113.2993122159357,2860078.0,3.961406374788929e-05
Household furniture,332.5950443818199,8395882.999999998,3.961406374788929e-05
Other furniture & fixtures,396.4035164059238,10006635.999999998,3.961406374788929e-05
Paper & paperboard,149.9906899545694,3786298.999999999,3.961406374788928e-05
Paper containers & products,211.3199157990117,5334467.0,3.961406374788928e-05
Printing & publishing,62.23674443084263,1571076.9999999993,3.961406374788929e-05
Basic chemicals,662.9987575992977,16736448.999999996,3.961406374788928e-05
Synthetic materials,217.00112713735157,5477881.000000001,3.961406374788929e-05
"Drugs, cleaning & toilet items",28.373533545361937,716248.9999999997,3.961406374788928e-05
Paints & allied products,76.14512337053534,1922174.0,3.961406374788929e-05
Petroleum refining,52.50717384778731,1325467.9999999998,3.961406374788929e-05
Rubber & plastic products,196.21665785449144,4953207.0,3.961406374788929e-05
Leather tanning & finishing,561.1591998146704,14165656.0,3.961406374788929e-05
Footwear & leather products,407.71178665746,10292096.999999998,3.961406374788928e-05
Glass & glass products,153.72133031729845,1610377.9999999995,9.545667558628998e-05
Stone & clay products,536.9262361445731,5624815.999999997,9.545667558629e-05
Primary iron & steel,259.46508546149624,2718145.0000000005,9.545667558628998e-05
Primary nonferrous metals,498.25960056483495,5219746.000000001,9.545667558629e-05
Metal containers,140.03398851833157,1466990.0000000002,9.545667558628998e-05
"Heating, plumbing, structural metal",197.29071621182445,2066809.0,9.545667558629e-05
Screw machine products,234.33143823630155,2454845.999999999,9.545667558629e-05
Other fabricated metal products,97.50508038769617,1021458.9999999998,9.545667558629e-05
Engines & turbines,251.28263468691497,2632425.9999999995,9.545667558629e-05
Farm machinery,207.66294312435517,2175468.0000000005,9.545667558629e-05
Construction & mining machinery,281.00927531461963,2943841.000000001,9.545667558629e-05
Materials handling equipment,106.99977408156214,1120925.0000000002,9.545667558629e-05
Metalworking machinery,181.84973982566174,1905050.0,9.545667558628998e-05
Special industry machinery,219.89590701408932,2303619.9999999995,9.545667558629e-05
General industrial machinery,333.14122046591126,3489973.0000000005,9.545667558628998e-05
Machine shop products,301.3855527419445,3157301.999999999,9.545667558629e-05
Office & computing machines,172.0126430364678,1801997.0,9.545667558629e-05
Service industry machines,620.2860690605152,6498090.000000001,9.545667558628998e-05
Electric industrial equipment,227.27642625707009,2380937.9999999995,9.545667558629e-05
Household appliances,122.27255580534175,1280922.0,9.545667558629e-05
Electric lighting & wiring,2685.997452120533,28138393.0,9.545667558628998e-05
"Radio, TV, communication equipment",736.2161015132016,7712568.000000002,9.545667558628998e-05
Electronic components,296.70874837826995,3108308.0000000005,9.545667558629e-05
Misc electrical machinery,231.0871522031505,2420859.000000001,9.545667558629e-05
Motor vehicles & equipment,105.403356639057,1104201.0,9.545667558629e-05
Aircraft & parts,408.97897188897775,4284445.999999999,9.545667558629e-05
Transportation & warehousing,3882.0,15342302.0,0.0002530259148855237
Communications except radio & TV,2542.3265912040642,2061950.0,0.001232971988265508
Radio & TV broadcasting,1256.6734087959358,1019223.0,0.0012329719882655079
"Electric, gas, water & sanitary services",3959.0,15786601.999999996,0.00025078227727537574
