year,value
1948,17331.95
1949,18923.6
1950,19851.89
1951,21496.78
1952,22084.52
1953,22734.47
1954,23093.6
1955,23421.29
1956,24032.93
1957,25684.62
1958,27486.32
1959,29627.11
1960,30542.16
1961,32158.34
1962,32403.43
1963,32285.48
1964,32609.14
1965,32649.14
1966,33912.18
1967,35074.68
1968,37122.71
1969,38967.6
1970,40011.57
1971,42631.77
1972,42101.76
1973,41595.76
1974,41612.34
1975,41501.44
1976,42185.95
1977,44192.52
1978,46722.95
1979,47367.3
1980,50889.81
1981,51317.34
1982,51896.76
1983,50542.23
1984,50175.85
1985,50113.23
1986,51222.0
1987,53122.09
1988,55069.04
1989,58123.01
