year,value
1948,0.82
1949,0.83
1950,0.82
1951,0.81
1952,0.82
1953,0.82
1954,0.84
1955,0.81
1956,0.83
1957,0.84
1958,0.86
1959,0.84
1960,0.85
1961,0.86
1962,0.84
1963,0.84
1964,0.83
1965,0.82
1966,0.81
1967,0.83
1968,0.82
1969,0.83
1970,0.86
1971,0.86
1972,0.85
1973,0.83
1974,0.84
1975,0.86
1976,0.85
1977,0.85
1978,0.83
1979,0.83
1980,0.86
1981,0.86
1982,0.89
1983,0.88
1984,0.85
1985,0.85
1986,0.86
1987,0.85
1988,0.84
1989,0.84
