year,value
1948,0.5698
1949,0.5674
1950,0.5691
1951,0.5712
1952,0.5708
1953,0.567
1954,0.5678
1955,0.5631
1956,0.5707
1957,0.5769
1958,0.5751
1959,0.571
1960,0.5796
1961,0.5727
1962,0.5744
1963,0.5823
1964,0.5788
1965,0.5796
1966,0.578
1967,0.5862
1968,0.5818
1969,0.5888
1970,0.5885
1971,0.5775
1972,0.5898
1973,0.5884
1974,0.5882
1975,0.5889
1976,0.5927
1977,0.5882
1978,0.5834
1979,0.6025
1980,0.5893
1981,0.5927
1982,0.589
1983,0.5991
1984,0.5974
1985,0.5977
1986,0.5995
1987,0.5962
1988,0.6035
1989,0.5991
