sector,employment,gross_output,hp_star
Dairy farm products,1044.864831066507,13081026.000000004,7.98763668130089e-05
Poultry & eggs,829.3805990349824,10383303.999999998,7.98763668130089e-05
Meat animals & misc livestock,56.26555179401798,704408.0000000001,7.98763668130089e-05
"Cotton, food grains, tobacco, fruits, vegetables",57.48901810449284,719725.0000000001,7.98763668130089e-05
Coal mining,97.11863903039237,191728.00000000003,0.000506543848735669
Crude petroleum & natural gas,160.9679846196747,317777.0,0.000506543848735669
Stone & clay mining,828.9362139827296,1636455.0000000005,0.000506543848735669
Chemical & fertilizer mineral mining,872.9771623672034,1723399.0,0.0005065438487356691
New construction,1475.0206942439834,305214.00000000006,0.004832742581414952
Maintenance & repair construction,456.9793057560165,94559.00000000001,0.004832742581414952
Ordnance & accessories,658.8457274863113,17899133.000000004,3.6808806744232315e-05
Meat products,254.19628209869038,6905854.999999998,3.6808806744232315e-05
Dairy products,3.5253634659288506,95775.00000000001,3.6808806744232315e-05
Canned & frozen foods,1264.2733367435767,34347034.0,3.6808806744232315e-05
Grain mill products,112.28000131391627,3050357.0000000005,3.6808806744232315e-05
Bakery products,261.2675483447115,7097963.000000001,3.6808806744232315e-05
Sugar,43.96473324576505,1194408.0000000005,3.680880674423232e-05
Confectionery products,253.1584946013436,6877661.000000001,3.6808806744232315e-05
Alcoholic beverages,32.95934173492049,895419.9999999998,3.6808806744232315e-05
Soft drinks & flavorings,155.05621499871683,4212476.000000001,3.680880674423232e-05
Tobacco manufactures,18.191906130781707,494227.00000000006,3.6808806744232315e-05
Fabrics & yarn,53.31700443691935,1448485.0,3.6808806744232315e-05
"Floor covering, misc textiles",24.424557332748844,663552.0000000001,3.6808806744232315e-05
Lumber & wood products,136.86574441139808,3718288.0,3.6808806744232315e-05
Wooden containers,56.97499003354766,1547863.0,3.6808806744232315e-05
Household furniture,169.57059005648892,4606793.999999999,3.6808806744232315e-05
Other furniture & fixtures,143.0311091146367,3885784.999999998,3.6808806744232315e-05
Paper & paperboard,43.205846077119205,1173791.0000000002,3.6808806744232315e-05
Paper containers & products,88.41350230021672,2401966.0,3.6808806744232315e-05
Printing & publishing,41.098578699818624,1116541.9999999998,3.680880674423231e-05
Basic chemicals,353.7904962562746,9611572.000000002,3.680880674423232e-05
Synthetic materials,88.41250846243462,2401939.0,3.6808806744232315e-05
"Drugs, cleaning & toilet items",24.277322105771905,659551.9999999999,3.680880674423231e-05
Paints & allied products,69.59982180591143,1890846.9999999995,3.680880674423232e-05
Petroleum refining,29.891033222334777,812061.9999999998,3.680880674423232e-05
Rubber & plastic products,80.5986613491555,2189657.0,3.680880674423232e-05
Leather tanning & finishing,411.9353805945741,11191218.0,3.6808806744232315e-05
Footwear & leather products,200.8739035759865,5457224.000000001,3.680880674423232e-05
Glass & glass products,121.10760841074605,1156276.0,0.00010473936016205997
