,Dairy farm products,Poultry & eggs,Meat animals & misc livestock,"Cotton, food grains, tobacco, fruits, vegetables",Coal mining,Crude petroleum & natural gas,Stone & clay mining,Chemical & fertilizer mineral mining,New construction,Maintenance & repair construction,Ordnance & accessories,Meat products,Dairy products,Canned & frozen foods,Grain mill products,Bakery products,Sugar,Confectionery products,Alcoholic beverages,Soft drinks & flavorings,Tobacco manufactures,Fabrics & yarn,"Floor covering, misc textiles",Lumber & wood products,Wooden containers,Household furniture,Other furniture & fixtures,Paper & paperboard,Paper containers & products,Printing & publishing,Basic chemicals,Synthetic materials,"Drugs, cleaning & toilet items",Paints & allied products,Petroleum refining,Rubber & plastic products,Leather tanning & finishing,Footwear & leather products,Glass & glass products,Stone & clay products,Primary iron & steel,Primary nonferrous metals,Metal containers,"Heating, plumbing, structural metal",Screw machine products,Other fabricated metal products,Engines & turbines,Farm machinery,Construction & mining machinery,Materials handling equipment,Metalworking machinery,Special industry machinery,General industrial machinery,Machine shop products,Office & computing machines,Service industry machines,Electric industrial equipment,Household appliances,Electric lighting & wiring,"Radio, TV, communication equipment",Electronic components,Misc electrical machinery,Motor vehicles & equipment,Aircraft & parts,Transportation & warehousing,Communications except radio & TV,Radio & TV broadcasting,"Electric, gas, water & sanitary services",Wholesale trade,Retail trade,Finance & insurance,Real estate & rental,Hotels & personal services,Business services,Eating & drinking places,Automobile repair & services,Amusements,"Medical, educational services & nonprofit orgs",Federal government enterprises,State & local government enterprises,Gross imports of goods & services,"Business travel, entertainment, gifts",Office supplies,"Scrap, used & secondhand goods",Government industry
Dairy farm products,1.3196272,0.1011155,0.1190681,0.1853573,0.0029055,0.0026823,0.002389,0.0048277,0.0025314,0.0019339,0.0048043,0.0041104,0.0030166,0.3654684,0.0217732,0.0313316,0.080394,0.0139086,0.0242501,0.0188808,0.0093095,0.0098228,0.0063171,0.0082615,0.0049174,0.006354,0.0099449,0.0068221,0.0190831,0.0210497,0.0044548,0.0077046,0.0042761,0.0074663,0.0032686,0.0033946,0.0021105,0.0026013,0.0038626,0.0033522,0.00285,0.0036606,0.0027112,0.0030604,0.0028862,0.0031875,0.0028928,0.003419,0.003197,0.0031284,0.003388,0.003906,0.0034127,0.0039595,0.0037111,0.003287,0.0038382,0.0032764,0.0032983,0.0031847,0.0044432,0.0059355,0.0034251,0.0062224,0.0037405,0.0016385,0.006369,0.0020207,0.0055225,0.0040968,0.019165,0.0045177,0.0058988,0.0,0.0027681,0.0104301,0.008191,0.0024166,0.0019117,0.0,0.1081061,0.0065151,0.0,0.0,0.0
Poultry & eggs,0.4348124,1.0783216,0.1299866,0.3901893,0.0038053,0.0031352,0.0028475,0.0063938,0.002857,0.0022224,0.0111567,0.0047926,0.0030977,0.2268471,0.2160772,0.1742547,0.0708859,0.0625702,0.0858001,0.0426521,0.0186619,0.020871,0.0086228,0.0096796,0.0056493,0.0066719,0.0089336,0.0061139,0.0144512,0.0149055,0.0052782,0.0100867,0.0035236,0.0128296,0.0039935,0.0047434,0.0023563,0.002872,0.0036051,0.0034997,0.0032034,0.0039033,0.0027782,0.0032193,0.0030053,0.0034881,0.0029884,0.0038222,0.0031855,0.0033553,0.0033216,0.0040203,0.0035449,0.0044453,0.0037836,0.0034721,0.0038337,0.0035213,0.004439,0.0032209,0.0056019,0.0084348,0.0035137,0.010629,0.0058006,0.0016997,0.0054325,0.0022975,0.0053751,0.0042841,0.0277596,0.0057791,0.0057405,0.0,0.0031207,0.0082255,0.0081921,0.0027631,0.0023848,0.0,0.0858793,0.0076122,0.0,0.0,0.0
Meat animals & misc livestock,0.0014111,0.0007256,1.0208997,0.0013026,0.0004807,0.001341,0.001237,0.0003781,0.0003836,0.0003682,0.0074201,0.0049836,0.0007889,0.006091,0.0004864,0.0008176,0.0010188,0.0085363,0.0013139,0.1254888,0.0487796,0.0184773,0.0109654,0.0098835,0.0044303,0.0023935,0.0030975,0.0017666,0.0015137,0.0013565,0.0005604,0.0012525,0.0005216,0.002204,0.0035641,0.0010104,0.000623,0.0007503,0.0007393,0.0009716,0.0014874,0.001484,0.00064,0.0008885,0.0006166,0.0005986,0.0005961,0.0010126,0.0007193,0.000557,0.0004666,0.0010986,0.0007025,0.0011138,0.0008145,0.0008029,0.0007742,0.0006288,0.000682,0.0004838,0.0048792,0.0008256,0.0007899,0.004448,0.0004117,0.0002522,0.0002677,0.0005239,0.0004547,0.0004012,0.0006188,0.000503,0.0007723,0.0,0.0003246,0.0004126,0.0004303,0.0002137,0.0011169,0.0,0.0030282,0.0040606,0.0,0.0,0.0
"Cotton, food grains, tobacco, fruits, vegetables",0.0389773,0.043465,0.0504073,1.0183216,0.0002791,0.0002866,0.0002708,0.0004237,0.0002437,0.0001926,0.0010411,0.0006258,0.0002732,0.0152391,0.0087784,0.0074151,0.004275,0.0031353,0.0039329,0.0073723,0.0030416,0.0018744,0.0010099,0.0010236,0.0005736,0.0005516,0.0007319,0.0005167,0.0010409,0.001112,0.0003909,0.0006641,0.0003151,0.0008136,0.0004482,0.0003599,0.0002378,0.0002818,0.0003347,0.0003335,0.0003156,0.0003657,0.0002766,0.0003231,0.0002899,0.0003195,0.0002724,0.0003502,0.0002968,0.0002852,0.000277,0.0003892,0.0003153,0.0004002,0.0003535,0.0003151,0.0003482,0.0003234,0.0003555,0.0002716,0.0006007,0.0005625,0.0003108,0.0008194,0.0003779,0.0001348,0.0003822,0.0001992,0.0017808,0.0003057,0.001677,0.0004026,0.0004281,0.0,0.0003838,0.0005897,0.0005401,0.0001884,0.000304,0.0,0.0054157,0.0006667,0.0,0.0,0.0
Coal mining,0.0007396,0.0008982,0.0011064,0.0015328,1.041733,0.0037539,0.0024164,0.0006279,0.0023332,0.0047,0.0050589,0.0025838,0.0034971,0.0013193,0.0004556,0.0011381,0.0010843,0.0006648,0.0009142,0.0012847,0.0060756,0.0031447,0.00776,0.0010283,0.0010301,0.0006486,0.0078878,0.0032047,0.0020198,0.0039533,0.0009085,0.001784,0.0005698,0.0008096,0.0011042,0.003682,0.0639794,0.0038821,0.0268047,0.0176348,0.0153835,0.0130922,0.009661,0.0123773,0.0135003,0.0106049,0.0081563,0.0088432,0.0100397,0.0078311,0.0023495,0.0083443,0.0061676,0.008001,0.0079662,0.0021941,0.0031811,0.0041236,0.0107149,0.0035827,0.011656,0.0038137,0.0019803,0.0032818,0.0008764,0.0001759,0.0001732,0.0006324,0.0003106,0.0001889,0.000504,0.0005817,0.000475,0.0,0.0015303,0.0003255,0.0002889,0.0002324,0.0008635,0.0,0.0009547,0.0013986,0.0,0.0,0.0
Crude petroleum & natural gas,0.0006291,0.0009137,0.0008292,0.0014255,0.0231437,1.2108823,0.0011286,0.0005061,0.0039561,0.0015135,0.0046091,0.0026565,0.0071289,0.0006956,0.0004343,0.0013061,0.0012828,0.0008015,0.0010976,0.0009383,0.0010812,0.0025847,0.0032065,0.0012019,0.0013988,0.0008029,0.0100373,0.0039976,0.0017989,0.0040298,0.0010299,0.0019791,0.0006311,0.0008477,0.0016772,0.0015741,0.0057004,0.1175777,0.0045844,0.0118312,0.0091613,0.0121864,0.0079547,0.0041547,0.0044503,0.0051969,0.0055059,0.0058148,0.0070927,0.0072393,0.0033553,0.0096425,0.0103058,0.0086658,0.0119956,0.0048325,0.0073751,0.015828,0.0053046,0.0076047,0.0063603,0.006903,0.005167,0.0056279,0.0005759,0.0002705,0.0002105,0.0005262,0.0003363,0.0002084,0.0005003,0.000823,0.000565,0.0,0.0012295,0.0004169,0.0003162,0.0001851,0.0007838,0.0,0.0007501,0.001959,0.0,0.0,0.0
Stone & clay mining,0.00182,0.0015555,0.0011969,0.0018718,0.0065297,0.0043331,1.1869767,0.0011278,0.0062952,0.004722,0.0045608,0.0024702,0.0029534,0.0028498,0.0013434,0.0047223,0.0040003,0.0025564,0.0034498,0.0020094,0.0041604,0.0035054,0.0055984,0.0108728,0.0056218,0.0031664,0.0092521,0.0092229,0.0032986,0.0047019,0.0025762,0.004832,0.0044347,0.002541,0.0045145,0.0148722,0.0314343,0.004852,0.0141531,0.0098473,0.0088624,0.0080013,0.0069431,0.0079237,0.0082059,0.0065642,0.0053422,0.0055344,0.0063057,0.0050385,0.0022813,0.0057765,0.0046738,0.0060443,0.0048832,0.002212,0.0031778,0.0038238,0.0070195,0.0029221,0.0073488,0.0032117,0.0036796,0.0035644,0.0018675,0.0007291,0.0009198,0.0348294,0.0014045,0.0017229,0.000952,0.001572,0.0019085,0.0,0.001981,0.0011696,0.0020284,0.0143493,0.0176239,0.0,0.002043,0.0049048,0.0,0.0,0.0
Chemical & fertilizer mineral mining,0.017991,0.0257553,0.016599,0.0140451,0.0108771,0.0108894,0.0116226,1.032463,0.0206561,0.0142987,0.0164485,0.0204358,0.0064765,0.013472,0.0072728,0.0155506,0.0140253,0.0088401,0.0113845,0.0107157,0.0093635,0.0090637,0.008698,0.0144804,0.0134567,0.0085803,0.050135,0.0311689,0.0142314,0.0386616,0.5074304,0.0133855,0.007789,0.0066826,0.0117933,0.0172252,0.0127858,0.0129919,0.0105407,0.0097693,0.0095248,0.0099348,0.0087302,0.0084356,0.0082838,0.0086233,0.0079196,0.0096588,0.0093299,0.0071304,0.0051501,0.0089666,0.009234,0.0091276,0.0126041,0.0059837,0.0081078,0.0081436,0.0084165,0.0070728,0.0088017,0.0072256,0.0079299,0.0092711,0.0260508,0.0057387,0.0043135,0.0943162,0.0098103,0.0061878,0.0080373,0.0097482,0.0071137,0.0,0.0104498,0.006242,0.007819,0.006473,0.0239573,0.0,0.0172025,0.0100378,0.0,0.0,0.0
New construction,0.002448,0.0045979,0.0010678,0.0022513,0.0044745,0.0013517,0.0012027,0.0014175,1.0150763,0.0090013,0.0170478,0.0162897,0.0009998,0.0019802,0.0011883,0.0016967,0.0014364,0.000881,0.0012982,0.0015103,0.0012459,0.0013524,0.0025132,0.0065646,0.0031905,0.0016983,0.0041687,0.0022207,0.0021516,0.0043029,0.0055984,0.0029254,0.0006508,0.0008467,0.0171221,0.0962171,0.0049214,0.003171,0.0027343,0.0024938,0.0021838,0.0028317,0.0022596,0.0020132,0.0020505,0.001722,0.0029287,0.001738,0.0023558,0.0025587,0.001226,0.0024093,0.0023034,0.0028395,0.0030387,0.0010388,0.002335,0.0020448,0.0021369,0.0012623,0.0021307,0.0014822,0.0014577,0.0019201,0.0011754,0.0006503,0.0003731,0.0014978,0.0006653,0.0005161,0.0019592,0.001242,0.0007691,0.0,0.0017945,0.0007142,0.0007934,0.0004371,0.0035832,0.0,0.0014259,0.0027148,0.0,0.0,0.0
Maintenance & repair construction,0.0018008,0.0037337,0.0008121,0.0017395,0.0008978,0.0070088,0.0009026,0.0004991,0.0020176,1.0478014,0.0010635,0.0009461,0.0006255,0.0014208,0.001096,0.0041402,0.0036818,0.0019321,0.0026436,0.0009477,0.0006359,0.0013279,0.0010878,0.0033732,0.0022805,0.0018193,0.0363611,0.0138769,0.0050128,0.009051,0.0014764,0.0046043,0.0023109,0.0013707,0.0027713,0.0043973,0.0017214,0.0016799,0.0013694,0.0010697,0.0011389,0.0013971,0.0007011,0.0008483,0.0007898,0.000815,0.0006982,0.0007361,0.0007669,0.000645,0.0005142,0.001109,0.0009879,0.0013353,0.0012349,0.000644,0.0013481,0.0015934,0.0009294,0.0005888,0.0008736,0.0009138,0.002868,0.0015962,0.0003213,0.0001088,0.0002381,0.0004039,0.0002673,0.0002309,0.0004122,0.0005629,0.0006668,0.0,0.0004789,0.0005933,0.0003386,0.0001559,0.0009708,0.0,0.000779,0.0023434,0.0,0.0,0.0
