year,value
1948,1.7
1949,1.713
1950,1.726
1951,1.739
1952,1.752
1953,1.765
1954,1.778
1955,1.791
1956,1.804
1957,1.817
1958,1.83
1959,1.86
1960,1.89
1961,1.92
1962,1.95
1963,1.98
1964,2.01
1965,2.04
1966,2.07
1967,2.1
1968,2.1
1969,2.1
1970,2.1
1971,2.1
1972,2.1
1973,2.1
1974,2.1
1975,2.1
1976,2.1
1977,2.1
1978,2.128
1979,2.157
1980,2.185
1981,2.213
1982,2.242
1983,2.27
1984,2.298
1985,2.327
1986,2.355
1987,2.383
1988,2.412
1989,2.44
1990,2.538
1991,2.559
1992,2.579
1993,2.6
1994,2.621
1995,2.642
1996,2.686
1997,2.73
1998,2.776
1999,2.822
2000,2.87
2001,2.894
2002,2.919
2003,2.944
2004,2.969
2005,2.995
2006,3.021
2007,3.047
2008,3.074
2009,3.101
2010,3.128
2011,3.156
2012,3.184
2013,3.212
2014,3.241
2015,3.27
2016,3.3
2017,3.33
2018,3.361
2019,3.391
2020,3.423
2021,3.463
2022,3.503
2023,3.545
2024,3.587
